date_obj,Obsidian%20helmet price
2017-06-01,131250
2017-06-02,137813
2017-06-03,144704
2017-06-06,167514
2017-06-07,175890
2017-06-08,184359
2017-06-09,193337
2017-06-10,203004
2017-06-11,213155
2017-06-12,223538
2017-06-13,234715
2017-06-14,246451
2017-06-15,246451
2017-06-16,258774
2017-06-17,258774
2017-06-18,271713
2017-06-19,271713
2017-06-20,285299
2017-06-21,285299
2017-06-22,299564
2017-06-23,299564
2017-06-24,314543
2017-06-25,314543
2017-06-26,330271
2017-06-27,346224
2017-06-28,346224
2017-06-29,363536
2017-06-30,363536
2017-07-01,381039
2017-07-02,381039
2017-07-03,400091
2017-07-04,419549
2017-07-05,419549
2017-07-06,439194
2017-07-07,439194
2017-07-08,460691
2017-07-13,531190
2017-07-14,557750
2017-07-15,557750
2017-07-16,584361
2017-07-17,584361
2017-07-18,613580
2017-07-19,613580
2017-07-20,644259
2017-07-21,644259
2017-07-22,676472
2017-07-23,676472
2017-07-24,710296
2017-07-25,710296
2017-07-26,745811
2017-07-27,745811
2017-07-28,783102
2017-07-29,783102
2017-07-30,820709
2017-07-31,820709
2017-08-01,848504
2017-08-02,878671
2017-08-03,878671
2017-08-04,878671
2017-08-05,865674
2017-08-06,865674
2017-08-09,811513
2017-08-10,811513
2017-08-11,787977
2017-08-12,787977
2017-08-13,789293
2017-08-14,789293
2017-08-15,826442
2017-08-17,809202
2017-08-18,809202
2017-08-19,809202
2017-08-20,848013
2017-08-22,875630
2017-08-23,875630
2017-08-24,845632
2017-08-25,845632
2017-08-26,825008
2017-08-27,825008
2017-08-28,792961
2017-08-29,792961
2017-08-30,758315
2017-08-31,758315
2017-09-01,758315
2017-09-02,744896
2017-09-03,744896
2017-09-04,744896
2017-09-05,739118
2017-09-06,739118
2017-09-07,753202
2017-09-08,753202
2017-09-09,731593
2017-09-10,731593
2017-09-11,743111
2017-09-12,743111
2017-09-13,771244
2017-09-14,771244
2017-09-15,771244
2017-09-16,775802
2017-09-17,775802
2017-09-19,789793
2017-09-20,779174
2017-09-21,779174
2017-09-22,767527
2017-09-23,767527
2017-09-24,767527
2017-09-25,753612
2017-09-26,753612
2017-09-27,753612
2017-09-28,744296
2017-09-29,744296
2017-09-30,773956
2017-10-01,773956
2017-10-02,765075
2017-10-03,765075
2017-10-04,765075
2017-10-05,740265
2017-10-06,740265
2017-10-07,716030
2017-10-08,716030
2017-10-09,685895
2017-10-10,685895
2017-10-11,685895
2017-10-12,694415
2017-10-13,694415
2017-10-14,685302
2017-10-15,685302
2017-10-16,685302
2017-10-17,667431
2017-10-18,667431
2017-10-19,664745
2017-10-20,664745
2017-10-21,664745
2017-10-22,657661
2017-10-23,657661
2017-10-24,657661
2017-10-25,661787
2017-10-26,661787
2017-10-27,668754
2017-10-28,668754
2017-10-29,698087
2017-10-30,698087
2017-10-31,698518
2017-11-01,698518
2017-11-02,698518
2017-11-03,720469
2017-11-04,720469
2017-11-05,728096
2017-11-06,728096
2017-11-07,728096
2017-11-08,764491
2017-11-09,764491
2017-11-10,802466
2017-11-11,802466
2017-11-12,834609
2017-11-13,834609
2017-11-14,834609
2017-11-15,833300
2017-11-16,833300
2017-11-17,843469
2017-11-18,843469
2017-11-19,830543
2017-11-20,830543
2017-11-21,825535
2017-11-22,825535
2017-11-23,804587
2017-11-24,804587
2017-11-25,774209
2017-11-26,774209
2017-11-27,774209
2017-11-28,750745
2017-11-29,750745
2017-11-30,750745
2017-12-01,787573
2017-12-02,787573
2017-12-03,823145
2017-12-04,823145
2017-12-05,786700
2017-12-06,786700
2017-12-07,794406
2017-12-08,794406
2017-12-09,794406
2017-12-10,765724
2017-12-11,765724
2017-12-12,741100
2017-12-14,736436
2017-12-15,736436
2017-12-16,713060
2017-12-17,713060
2017-12-18,687656
2017-12-19,687656
2017-12-20,687656
2017-12-21,673013
2017-12-22,673013
2017-12-23,642522
2017-12-24,642522
2017-12-25,622746
2017-12-26,622746
2017-12-27,618242
2017-12-28,618242
2017-12-29,643012
2017-12-30,673625
2017-12-31,673625
2018-01-01,704273
2018-01-02,704273
2018-01-03,732108
2018-01-04,732108
2018-01-05,728513
2018-01-06,728513
2018-01-07,701141
2018-01-08,701141
2018-01-09,683111
2018-01-10,683111
2018-01-11,680842
2018-01-12,680842
2018-01-13,668331
2018-01-14,668331
2018-01-15,657306
2018-01-16,657306
2018-01-17,664217
2018-01-18,664217
2018-01-19,664217
2018-01-20,674650
2018-01-21,674650
2018-01-22,679127
2018-01-23,679127
2018-01-24,686043
2018-01-25,686043
2018-01-26,703143
2018-01-27,715570
2018-01-28,717305
2018-01-29,712927
2018-01-31,712892
2018-02-01,725014
2018-02-02,725014
2018-02-03,748849
2018-02-04,777279
2018-02-05,777279
2018-02-06,790571
2018-02-07,805782
2018-02-08,805782
2018-02-09,811721
2018-02-10,811721
2018-02-11,797049
2018-02-12,779946
2018-02-13,779946
2018-02-14,783125
2018-02-15,762560
2018-02-16,762560
2018-02-17,752750
2018-02-18,752750
2018-02-19,757254
2018-02-20,757254
2018-02-21,791254
2018-02-22,791254
2018-02-23,830817
2018-02-24,830817
2018-02-25,844674
2018-02-26,805711
2018-02-27,817334
2018-03-01,847098
2018-03-02,838551
2018-03-03,844718
2018-03-04,844718
2018-03-05,868188
2018-03-06,858481
2018-03-07,849304
2018-03-08,849304
2018-03-09,837209
2018-03-10,837209
2018-03-11,821477
2018-03-12,806715
2018-03-13,777901
2018-03-14,752240
2018-03-15,752240
2018-03-16,762120
2018-03-17,786310
2018-03-18,786310
2018-03-19,787044
2018-03-20,778101
2018-03-21,778101
2018-03-23,786240
2018-03-24,802774
2018-03-26,798284
2018-03-27,821193
