date_obj,Mithril%20dragon%20mask price
2015-03-26,78968
2015-03-27,77187
2015-03-28,77187
2015-03-29,77187
2015-03-30,76836
2015-03-31,76836
2015-04-01,76836
2015-04-02,76836
2015-04-03,76402
2015-04-04,76402
2015-04-05,76402
2015-04-06,76402
2015-04-07,75509
2015-04-08,75509
2015-04-09,75509
2015-04-10,75509
2015-04-11,75409
2015-04-12,75409
2015-04-13,75409
2015-04-14,75409
2015-04-15,74798
2015-04-16,74798
2015-04-17,74798
2015-04-18,74798
2015-04-19,72930
2015-04-20,72930
2015-04-21,72930
2015-04-22,72930
2015-04-23,72930
2015-04-24,70939
2015-04-25,70939
2015-04-26,70939
2015-04-27,70939
2015-04-28,69245
2015-04-29,69245
2015-04-30,69245
2015-05-01,69245
2015-05-02,65957
2015-05-03,65957
2015-05-04,65957
2015-05-05,65957
2015-05-06,63839
2015-05-07,63839
2015-05-08,63839
2015-05-09,61394
2015-05-10,61394
2015-05-11,61394
2015-05-12,58783
2015-05-13,58783
2015-05-14,58783
2015-05-15,56126
2015-05-16,56126
2015-05-17,56126
2015-05-18,53851
2015-05-19,53851
2015-05-20,53851
2015-05-21,53851
2015-05-22,51443
2015-05-23,51443
2015-05-24,51443
2015-05-25,49385
2015-05-26,49385
2015-05-27,49385
2015-05-28,49385
2015-05-29,47616
2015-05-30,47616
2015-05-31,47616
2015-06-01,45471
2015-06-02,45471
2015-06-03,45471
2015-06-04,45471
2015-06-05,45471
2015-06-06,45860
2015-06-07,45860
2015-06-08,45860
2015-06-09,45860
2015-06-10,43939
2015-06-11,43939
2015-06-12,43939
2015-06-13,43939
2015-06-14,41868
2015-06-15,41868
2015-06-16,41868
2015-06-17,41868
2015-06-18,39825
2015-06-19,39825
2015-06-20,39825
2015-06-21,39825
2015-06-22,39209
2015-06-23,39209
2015-06-24,39209
2015-06-25,39209
2015-06-26,39209
2015-06-27,39213
2015-06-28,39213
2015-06-29,39213
2015-06-30,39213
2015-07-01,39781
2015-07-02,39781
2015-07-03,39781
2015-07-04,39781
2015-07-05,39781
2015-07-06,41102
2015-07-07,41102
2015-07-08,41102
2015-07-09,41102
2015-07-10,41796
2015-07-11,41796
2015-07-12,41796
2015-07-13,41796
2015-07-14,41796
2015-07-15,42525
2015-07-16,42525
2015-07-17,42525
2015-07-18,42525
2015-07-19,42068
2015-07-20,42068
2015-07-21,42068
2015-07-22,41479
2015-07-23,41479
2015-07-24,41479
2015-07-25,41479
2015-07-26,41244
2015-07-27,41244
2015-07-28,41244
2015-07-29,42018
2015-07-30,42018
2015-07-31,42018
2015-08-01,42018
2015-08-02,42453
2015-08-03,42453
2015-08-04,42453
2015-08-05,42453
2015-08-06,42812
2015-08-07,42812
2015-08-08,42812
2015-08-09,42812
2015-08-10,42688
2015-08-11,42688
2015-08-12,42688
2015-08-13,42688
2015-08-14,42630
2015-08-15,42630
2015-08-16,42630
2015-08-17,42630
2015-08-18,42630
2015-08-19,43492
2015-08-20,43492
2015-08-21,43492
2015-08-22,43492
2015-08-23,44194
2015-08-24,44194
2015-08-25,44194
2015-08-26,44194
2015-08-27,44415
2015-08-28,44415
2015-08-29,44415
2015-08-30,44415
2015-08-31,44415
2015-09-01,43777
2015-09-02,43777
2015-09-03,43777
2015-09-04,43777
2015-09-05,43649
2015-09-06,43649
2015-09-07,43649
2015-09-08,43649
2015-09-09,42831
2015-09-10,42831
2015-09-11,42831
2015-09-12,40799
2015-09-13,40799
2015-09-14,40799
2015-09-15,40509
2015-09-16,40509
2015-09-17,40509
2015-09-18,40509
2015-09-19,40412
2015-09-20,40412
2015-09-21,40412
2015-09-22,40412
2015-09-23,40412
2015-09-24,40289
2015-09-25,40289
2015-09-27,40289
2015-09-28,40159
2015-09-29,40159
2015-09-30,40159
2015-10-05,39853
2015-10-06,39853
2015-10-07,39853
2015-10-08,39217
2015-10-09,39217
2015-10-10,39217
2015-10-11,39217
2015-10-12,39227
2015-10-13,39227
2015-10-14,39227
2015-10-15,39227
2015-10-16,37445
2015-10-17,37445
2015-10-18,37445
2015-10-19,37445
2015-10-20,36048
2015-10-22,36048
2015-10-23,36048
2015-10-24,35168
2015-10-25,35168
2015-10-26,35168
2015-10-27,35168
2015-10-29,34062
2015-10-30,34062
2015-10-31,34062
2015-11-01,34062
2015-11-02,33081
2015-11-03,33081
2015-11-04,33081
2015-11-05,33081
2015-11-06,33081
2015-11-07,32336
2015-11-08,32336
2015-11-09,32336
2015-11-10,32336
2015-11-11,32336
2015-11-12,31815
2015-11-13,31815
2015-11-14,31815
2015-11-15,31815
2015-11-16,31815
2015-11-17,31815
2015-11-18,30917
2015-11-19,30917
2015-11-20,30917
2015-11-21,30917
2015-11-22,30917
2015-11-23,29530
2015-11-24,29530
2015-11-25,29530
2015-11-26,29530
2015-11-27,29530
2015-11-28,28794
2015-11-29,28794
2015-11-30,28794
2015-12-01,28794
2015-12-02,28436
2015-12-03,28436
2015-12-04,28436
2015-12-05,28436
2015-12-06,27547
2015-12-07,27547
2015-12-08,27547
2015-12-09,27547
2015-12-10,27547
2015-12-11,26904
2015-12-12,26904
2015-12-13,26904
2015-12-14,26904
2015-12-15,26415
2015-12-16,26415
