date_obj,Splitbark%20helm price
2015-03-26,34923
2015-03-27,34923
2015-03-28,33198
2015-03-29,33198
2015-03-30,33198
2015-03-31,33198
2015-04-01,33198
2015-04-02,33198
2015-04-03,33198
2015-04-04,31578
2015-04-05,31578
2015-04-06,31578
2015-04-07,31578
2015-04-08,31578
2015-04-09,31578
2015-04-10,31578
2015-04-11,31578
2015-04-12,30015
2015-04-13,30015
2015-04-14,30015
2015-04-15,30015
2015-04-16,30015
2015-04-17,30015
2015-04-18,30015
2015-04-19,28566
2015-04-20,28566
2015-04-21,28566
2015-04-22,28566
2015-04-23,28566
2015-04-24,28566
2015-04-25,28566
2015-04-26,28566
2015-04-27,27175
2015-04-28,27175
2015-04-29,27175
2015-04-30,27175
2015-05-01,27175
2015-05-02,27175
2015-05-03,27175
2015-05-04,27175
2015-05-05,25870
2015-05-06,25870
2015-05-07,25870
2015-05-08,25870
2015-05-09,25870
2015-05-10,25870
2015-05-11,25870
2015-05-12,25870
2015-05-13,24611
2015-05-14,24611
2015-05-15,24611
2015-05-16,24611
2015-05-17,24611
2015-05-18,24611
2015-05-19,24611
2015-05-20,24611
2015-05-21,24611
2015-05-22,23473
2015-05-23,23473
2015-05-24,23473
2015-05-25,23473
2015-05-26,23473
2015-05-27,23473
2015-05-28,22389
2015-05-29,22389
2015-05-30,22389
2015-05-31,22389
2015-06-01,21293
2015-06-02,21293
2015-06-03,21293
2015-06-04,21293
2015-06-05,21293
2015-06-06,20260
2015-06-07,20260
2015-06-08,20260
2015-06-09,20260
2015-06-10,20260
2015-06-11,19261
2015-06-12,19261
2015-06-13,19261
2015-06-14,19261
2015-06-15,19261
2015-06-16,18322
2015-06-17,18322
2015-06-18,18322
2015-06-19,18322
2015-06-20,18322
2015-06-21,17460
2015-06-22,17460
2015-06-23,17460
2015-06-24,17460
2015-06-25,17460
2015-06-26,16627
2015-06-27,16627
2015-06-28,16627
2015-06-29,16627
2015-06-30,16627
2015-07-01,15855
2015-07-02,15855
2015-07-03,15855
2015-07-04,15855
2015-07-05,15855
2015-07-06,15855
2015-07-07,15875
2015-07-08,15875
2015-07-09,15875
2015-07-10,15875
2015-07-11,15875
2015-07-12,15875
2015-07-13,15875
2015-07-14,15133
2015-07-15,15133
2015-07-16,15133
2015-07-17,15133
2015-07-18,15133
2015-07-19,15133
2015-07-20,15214
2015-07-21,15214
2015-07-22,15214
2015-07-23,15214
2015-07-24,15214
2015-07-25,15214
2015-07-26,15214
2015-07-27,15422
2015-07-28,15422
2015-07-29,15422
2015-07-30,15422
2015-07-31,15422
2015-08-01,15422
2015-08-02,15419
2015-08-03,15419
2015-08-04,15419
2015-08-05,15419
2015-08-06,15419
2015-08-07,15419
2015-08-08,15035
2015-08-09,15035
2015-08-10,15035
2015-08-11,15035
2015-08-12,15035
2015-08-13,15035
2015-08-14,14440
2015-08-15,14440
2015-08-16,14440
2015-08-17,14440
2015-08-18,14440
2015-08-19,14440
2015-08-20,14440
2015-08-21,13795
2015-08-22,13795
2015-08-23,13795
2015-08-24,13795
2015-08-25,13795
2015-08-26,13795
2015-08-27,13263
2015-08-28,13263
2015-08-29,13263
2015-08-30,13263
2015-08-31,13263
2015-09-01,13263
2015-09-02,13053
2015-09-03,13053
2015-09-04,13053
2015-09-05,13053
2015-09-06,13053
2015-09-07,13053
2015-09-08,12633
2015-09-09,12633
2015-09-10,12633
2015-09-11,12633
2015-09-12,12633
2015-09-13,12633
2015-09-14,12065
2015-09-15,12065
2015-09-16,12065
2015-09-17,12065
2015-09-18,12065
2015-09-19,12065
2015-09-20,11892
2015-09-21,11892
2015-09-22,11892
2015-09-23,11892
2015-09-24,11892
2015-09-25,11892
2015-09-27,12143
2015-09-28,12143
2015-09-29,12143
2015-09-30,12143
2015-10-05,12119
2015-10-06,12119
2015-10-07,12119
2015-10-08,12119
2015-10-09,12418
2015-10-10,12418
2015-10-11,12418
2015-10-12,12418
2015-10-13,12418
2015-10-14,12418
2015-10-15,12418
2015-10-16,12847
2015-10-17,12847
2015-10-18,12847
2015-10-19,12847
2015-10-20,12847
2015-10-22,12847
2015-10-23,13198
2015-10-24,13198
2015-10-25,13198
2015-10-26,13198
2015-10-27,13198
2015-10-29,13198
2015-10-30,13141
2015-10-31,13141
2015-11-01,13141
2015-11-02,13141
2015-11-03,13141
2015-11-04,13141
2015-11-05,13141
2015-11-06,13215
2015-11-07,13215
2015-11-08,13215
2015-11-09,13215
2015-11-10,13215
2015-11-11,13215
2015-11-12,12863
2015-11-13,12863
2015-11-14,12863
2015-11-15,12863
2015-11-16,12863
2015-11-17,12863
2015-11-18,12863
2015-11-19,12700
2015-11-20,12700
2015-11-21,12700
2015-11-22,12700
2015-11-23,12700
2015-11-24,12700
2015-11-25,12629
2015-11-26,12629
2015-11-27,12629
2015-11-28,12629
2015-11-29,12629
2015-11-30,12629
2015-12-01,12728
2015-12-02,12728
2015-12-03,12728
2015-12-04,12728
2015-12-05,12728
2015-12-06,12728
2015-12-07,12728
2015-12-08,13352
2015-12-09,13352
2015-12-10,13352
2015-12-11,13352
2015-12-12,13352
2015-12-13,13352
2015-12-14,13352
2015-12-15,14020
2015-12-16,14020
2015-12-17,14020
2015-12-18,14020
2015-12-19,14020
2015-12-20,14020
2015-12-21,14667
2015-12-22,14667
2015-12-23,14667
2015-12-24,14667
2015-12-25,14667
2015-12-26,14667
2015-12-27,14667
2015-12-28,15152
2015-12-29,15152
2015-12-30,15152
2015-12-31,15152
2016-01-01,15152
2016-01-02,15152
2016-01-03,15567
2016-01-04,15567
2016-01-05,15567
2016-01-06,15567
2016-01-07,15567
2016-01-08,15567
2016-01-09,15546
2016-01-10,15546
2016-01-11,15546
2016-01-12,15546
2016-01-13,15546
2016-01-14,15546
2016-01-15,15564
2016-01-16,15564
2016-01-17,15564
2016-01-18,15564
2016-01-19,15564
2016-01-20,16052
2016-01-21,16052
2016-01-22,16052
2016-01-23,16052
2016-01-24,16052
2016-01-25,15881
2016-01-26,15881
2016-01-27,15881
2016-01-28,15881
2016-01-29,15881
2016-01-30,15498
2016-01-31,15498
2016-02-01,15498
2016-02-02,15498
2016-02-03,15498
2016-02-04,14778
2016-02-05,14778
2016-02-06,14778
2016-02-07,14778
2016-02-08,14778
2016-02-09,14778
2016-02-10,14789
2016-02-11,14789
2016-02-12,14789
2016-02-13,14789
2016-02-14,14789
2016-02-15,14789
2016-02-16,14442
2016-02-17,14442
2016-02-18,14442
2016-02-19,14442
2016-02-20,14442
2016-02-21,14418
2016-02-22,14418
2016-02-23,14418
2016-02-24,14418
2016-02-25,14418
2016-02-26,14418
2016-02-27,14507
2016-02-28,14507
2016-02-29,14507
2016-03-01,14507
2016-03-02,14507
2016-03-03,14507
2016-03-04,13998
2016-03-05,13998
2016-03-06,13998
2016-03-07,13998
2016-03-08,13998
2016-03-09,13998
2016-03-10,13472
2016-03-11,13472
2016-03-12,13472
2016-03-13,13472
2016-03-14,13472
2016-03-15,13472
2016-03-16,13081
2016-03-17,13081
2016-03-18,13081
2016-03-19,13081
2016-03-20,13081
2016-03-21,13081
2016-03-22,12742
2016-03-23,12742
2016-03-24,12742
2016-03-25,12742
2016-03-26,12742
2016-03-27,12742
2016-03-28,12632
2016-03-29,12632
2016-03-30,12632
2016-03-31,12632
2016-04-01,12632
2016-04-02,12632
2016-04-03,12632
2016-04-04,12792
2016-04-05,12792
2016-04-06,12792
2016-04-07,12792
2016-04-08,12792
2016-04-09,12165
2016-04-10,12165
2016-04-11,12165
2016-04-12,12165
2016-04-13,12165
2016-04-14,12222
2016-04-15,12222
2016-04-16,12222
2016-04-17,12222
2016-04-18,11692
2016-04-19,11692
2016-04-20,11692
2016-04-21,11692
2016-04-22,11692
2016-04-23,11307
2016-04-24,11307
2016-04-25,11307
2016-04-26,11307
2016-04-27,10756
2016-04-28,10756
2016-04-29,10756
2016-04-30,10756
2016-05-01,10756
2016-05-02,10415
2016-05-03,10415
2016-05-04,10415
2016-05-05,10415
2016-05-06,10415
2016-05-07,10326
2016-05-08,10326
2016-05-09,10326
2016-05-10,10326
2016-05-11,10326
