date_obj,Steel%20bar price
2015-03-26,505
2015-03-27,514
2015-03-28,499
2015-03-29,477
2015-03-30,469
2015-03-31,470
2015-04-01,485
2015-04-02,489
2015-04-03,483
2015-04-04,483
2015-04-05,474
2015-04-06,472
2015-04-07,483
2015-04-08,488
2015-04-09,492
2015-04-10,502
2015-04-11,491
2015-04-12,489
2015-04-13,489
2015-04-14,492
2015-04-15,493
2015-04-16,493
2015-04-17,488
2015-04-18,478
2015-04-19,470
2015-04-20,467
2015-04-21,473
2015-04-22,484
2015-04-23,489
2015-04-24,499
2015-04-25,505
2015-04-26,499
2015-04-27,507
2015-04-28,517
2015-04-29,528
2015-04-30,516
2015-05-01,501
2015-05-02,481
2015-05-03,467
2015-05-04,467
2015-05-05,479
2015-05-06,489
2015-05-07,493
2015-05-08,485
2015-05-09,475
2015-05-10,473
2015-05-11,480
2015-05-12,493
2015-05-13,502
2015-05-14,510
2015-05-15,497
2015-05-16,483
2015-05-17,478
2015-05-18,492
2015-05-19,513
2015-05-20,535
2015-05-21,560
2015-05-22,551
2015-05-23,526
2015-05-24,520
2015-05-25,528
2015-05-26,547
2015-05-27,555
2015-05-28,545
2015-05-29,537
2015-05-30,537
2015-05-31,531
2015-06-01,546
2015-06-02,554
2015-06-03,560
2015-06-04,579
2015-06-05,606
2015-06-06,630
2015-06-07,623
2015-06-08,608
2015-06-09,591
2015-06-10,594
2015-06-11,602
2015-06-12,602
2015-06-13,585
2015-06-14,559
2015-06-15,541
2015-06-16,554
2015-06-17,545
2015-06-18,544
2015-06-19,535
2015-06-20,521
2015-06-21,518
2015-06-22,524
2015-06-23,533
2015-06-24,545
2015-06-25,539
2015-06-26,537
2015-06-27,519
2015-06-28,505
2015-06-29,509
2015-06-30,519
2015-07-01,533
2015-07-02,548
2015-07-03,554
2015-07-04,530
2015-07-05,507
2015-07-06,495
2015-07-07,482
2015-07-08,469
2015-07-09,480
2015-07-10,475
2015-07-11,468
2015-07-12,456
2015-07-13,459
2015-07-14,477
2015-07-15,485
2015-07-16,481
2015-07-17,464
2015-07-18,464
2015-07-19,453
2015-07-20,461
2015-07-21,485
2015-07-22,485
2015-07-23,485
2015-07-24,481
2015-07-25,489
2015-07-26,494
2015-07-27,501
2015-07-28,516
2015-07-29,537
2015-07-30,555
2015-07-31,575
2015-08-01,561
2015-08-02,533
2015-08-03,508
2015-08-04,494
2015-08-05,494
2015-08-06,502
2015-08-07,499
2015-08-08,481
2015-08-09,467
2015-08-10,475
2015-08-11,475
2015-08-12,474
2015-08-13,481
2015-08-14,469
2015-08-15,471
2015-08-16,459
2015-08-17,463
2015-08-18,485
2015-08-19,509
2015-08-20,534
2015-08-21,549
2015-08-22,564
2015-08-23,592
2015-08-24,622
2015-08-25,652
2015-08-26,673
2015-08-27,673
2015-08-28,650
2015-08-29,628
2015-08-30,621
2015-08-31,623
2015-09-01,636
2015-09-02,642
2015-09-03,653
2015-09-04,656
2015-09-05,642
2015-09-06,632
2015-09-07,621
2015-09-08,617
2015-09-09,616
2015-09-10,616
2015-09-11,606
2015-09-12,587
2015-09-13,600
2015-09-14,616
2015-09-15,623
2015-09-16,616
2015-09-17,618
2015-09-18,611
2015-09-19,610
2015-09-20,624
2015-09-21,636
2015-09-22,629
2015-09-23,626
2015-09-24,645
2015-09-25,650
2015-09-27,607
2015-09-28,599
2015-09-29,609
2015-09-30,636
2015-10-05,617
2015-10-06,592
2015-10-07,589
2015-10-08,585
2015-10-09,571
2015-10-10,568
2015-10-11,555
2015-10-12,556
2015-10-13,554
2015-10-14,550
2015-10-15,561
2015-10-16,590
2015-10-17,620
2015-10-18,651
2015-10-19,683
2015-10-20,704
2015-10-22,726
2015-10-23,707
2015-10-24,672
2015-10-25,642
2015-10-26,649
2015-10-27,680
2015-10-29,714
2015-10-30,714
2015-10-31,730
2015-11-01,721
2015-11-02,709
2015-11-03,697
2015-11-04,684
2015-11-05,662
2015-11-06,671
2015-11-07,691
2015-11-08,719
2015-11-09,733
2015-11-10,724
2015-11-11,705
2015-11-12,677
2015-11-13,666
2015-11-14,677
2015-11-15,668
2015-11-16,648
2015-11-17,628
2015-11-18,612
2015-11-19,628
2015-11-20,638
2015-11-21,647
2015-11-22,647
2015-11-23,663
2015-11-24,675
2015-11-25,681
2015-11-26,703
2015-11-27,718
2015-11-28,723
2015-11-29,706
2015-11-30,686
2015-12-01,686
2015-12-02,683
2015-12-03,695
2015-12-04,695
2015-12-05,693
2015-12-06,690
2015-12-07,687
2015-12-08,682
2015-12-09,679
2015-12-10,686
2015-12-11,658
2015-12-12,627
2015-12-13,606
2015-12-14,630
2015-12-15,661
2015-12-16,674
2015-12-17,664
2015-12-18,636
2015-12-19,633
2015-12-20,618
2015-12-21,610
2015-12-22,603
2015-12-23,604
2015-12-24,600
2015-12-25,574
2015-12-26,557
2015-12-27,566
2015-12-28,573
2015-12-29,588
2015-12-30,596
2015-12-31,590
2016-01-01,579
2016-01-02,569
2016-01-03,563
2016-01-04,567
2016-01-05,595
2016-01-06,625
2016-01-07,653
2016-01-08,656
2016-01-09,638
2016-01-10,622
2016-01-11,618
2016-01-12,628
2016-01-13,616
2016-01-14,590
2016-01-15,582
2016-01-16,587
2016-01-17,603
2016-01-18,631
2016-01-19,645
2016-01-20,647
2016-01-21,640
2016-01-22,615
2016-01-23,628
2016-01-24,639
2016-01-25,620
2016-01-26,619
2016-01-27,634
2016-01-28,663
2016-01-29,668
2016-01-30,650
2016-01-31,654
2016-02-01,658
2016-02-02,675
2016-02-03,673
2016-02-04,696
2016-02-05,701
2016-02-06,692
2016-02-07,668
2016-02-08,693
2016-02-09,728
2016-02-10,765
2016-02-11,804
2016-02-12,844
2016-02-13,815
2016-02-14,813
2016-02-15,774
2016-02-16,735
2016-02-17,713
2016-02-18,734
2016-02-19,708
2016-02-20,675
2016-02-21,649
2016-02-22,664
2016-02-23,686
2016-02-24,721
2016-02-25,754
2016-02-26,758
2016-02-27,768
2016-02-28,744
2016-02-29,771
2016-03-01,810
2016-03-02,846
2016-03-03,840
2016-03-04,838
2016-03-05,852
2016-03-06,852
2016-03-07,853
2016-03-08,845
2016-03-09,829
2016-03-10,793
2016-03-11,777
2016-03-12,742
2016-03-13,734
2016-03-14,750
2016-03-15,771
2016-03-16,790
2016-03-17,802
2016-03-18,786
2016-03-19,758
2016-03-20,743
2016-03-21,758
2016-03-22,761
2016-03-23,759
2016-03-24,761
2016-03-25,754
2016-03-26,755
2016-03-27,775
2016-03-28,793
2016-03-29,805
2016-03-30,791
2016-03-31,769
2016-04-01,748
2016-04-02,740
2016-04-03,770
2016-04-04,776
2016-04-05,777
2016-04-06,772
2016-04-07,779
2016-04-08,778
2016-04-09,787
2016-04-10,783
2016-04-11,787
2016-04-12,795
2016-04-13,794
2016-04-14,791
2016-04-15,786
2016-04-16,777
2016-04-17,759
2016-04-18,765
2016-04-19,763
2016-04-20,761
2016-04-21,760
2016-04-22,746
2016-04-23,723
2016-04-24,696
2016-04-25,719
2016-04-26,752
2016-04-27,749
2016-04-28,743
2016-04-29,727
2016-04-30,727
2016-05-01,725
2016-05-02,734
2016-05-03,733
2016-05-04,727
2016-05-05,719
2016-05-06,710
2016-05-07,697
2016-05-08,693
2016-05-09,696
2016-05-10,707
2016-05-11,694
2016-05-12,687
2016-05-13,681
2016-05-14,663
2016-05-15,634
2016-05-16,654
2016-05-17,670
2016-05-18,681
2016-05-19,672
2016-05-22,623
2016-05-23,642
2016-05-24,666
2016-05-25,670
2016-05-26,658
2016-05-27,649
2016-05-28,652
2016-05-29,654
2016-05-30,654
2016-05-31,660
2016-06-01,677
2016-06-02,684
2016-06-03,692
2016-06-04,685
2016-06-05,669
2016-06-06,677
2016-06-07,697
2016-06-08,697
2016-06-09,683
2016-06-10,677
2016-06-11,668
2016-06-12,644
2016-06-13,665
2016-06-14,670
2016-06-15,666
2016-06-16,669
2016-06-17,687
2016-06-18,671
2016-06-19,661
2016-06-20,664
2016-06-21,664
2016-06-22,663
2016-06-23,662
2016-06-24,657
2016-06-25,647
2016-06-26,645
2016-06-27,656
2016-06-28,660
2016-06-29,661
2016-06-30,660
2016-07-01,652
2016-07-02,644
2016-07-03,648
2016-07-04,651
2016-07-05,653
2016-07-06,653
2016-07-07,657
2016-07-08,656
2016-07-09,658
2016-07-10,674
2016-07-11,690
2016-07-12,689
2016-07-13,692
2016-07-14,689
2016-07-15,702
2016-07-16,710
2016-07-17,725
2016-07-18,695
2016-07-24,620
2016-07-25,606
2016-07-26,606
2016-07-27,615
2016-07-28,620
2016-07-29,609
2016-07-30,597
2016-07-31,594
2016-08-01,596
2016-08-02,598
2016-08-03,597
2016-08-04,601
2016-08-05,602
2016-08-06,590
2016-08-07,597
2016-08-08,610
2016-08-09,601
2016-08-10,587
2016-08-11,592
2016-08-12,594
2016-08-13,596
2016-08-14,600
2016-08-15,597
2016-08-16,592
2016-08-17,587
2016-08-18,580
2016-08-19,573
2016-08-20,553
2016-08-21,551
2016-08-22,543
2016-08-23,538
