date_obj,Light%20ballista price
2016-05-05,25000000
2016-05-06,25000000
2016-05-07,25000000
2016-05-08,25000000
2016-05-09,25000000
2016-05-10,25000000
2016-05-11,25000000
2016-05-12,25000000
2016-05-13,23924761
2016-05-14,23924761
2016-05-15,23924761
2016-05-16,23924761
2016-05-17,23924761
2016-05-18,18500000
2016-05-19,18500000
2016-05-22,18500000
2016-05-23,18500000
2016-05-24,18500000
2016-05-25,18500000
2016-05-26,18500000
2016-05-27,18500000
2016-05-28,18500000
2016-05-29,18500000
2016-05-30,18500000
2016-05-31,18500000
2016-06-01,18500000
2016-06-02,18500000
2016-06-03,18500000
2016-06-04,17575899
2016-06-05,17575899
2016-06-06,17575899
2016-06-07,17575899
2016-06-08,17575899
2016-06-09,17575899
2016-06-10,17575899
2016-06-11,17575899
2016-06-12,17575899
2016-06-13,17575899
2016-06-14,17575899
2016-06-15,17575899
2016-06-16,17575899
2016-06-17,17575899
2016-06-18,16697425
2016-06-19,16697425
2016-06-20,16697425
2016-06-21,16697425
2016-06-22,16697425
2016-06-23,16697425
2016-06-24,16697425
2016-06-25,16697425
2016-06-26,16697425
2016-06-27,16697425
2016-06-28,16697425
2016-06-29,16697425
2016-06-30,16697425
2016-07-01,15862689
2016-07-02,15862689
2016-07-03,15862689
2016-07-04,15862689
2016-07-05,15862689
2016-07-06,15862689
2016-07-07,15862689
2016-07-08,15862689
2016-07-09,15862689
2016-07-10,15862689
2016-07-11,15862689
2016-07-12,15862689
2016-07-13,15862689
2016-07-14,15862689
2016-07-15,15862689
2016-07-16,15862689
2016-07-17,15862689
2016-07-18,15071293
2016-07-23,15071293
2016-07-24,15071293
2016-07-25,15071293
2016-07-26,15071293
2016-07-27,15071293
2016-07-28,15071293
2016-07-29,15071293
2016-07-30,14319264
2016-07-31,14319264
2016-08-01,14319264
2016-08-02,14319264
2016-08-03,14319264
2016-08-04,14319264
2016-08-05,14319264
2016-08-06,14319264
2016-08-07,14319264
2016-08-08,14319264
2016-08-09,14319264
2016-08-10,14319264
2016-08-11,14319264
2016-08-12,14319264
2016-08-13,13604020
2016-08-14,13604020
2016-08-15,13604020
2016-08-16,13604020
2016-08-17,13604020
2016-08-18,13604020
2016-08-19,13604020
2016-08-20,13604020
2016-08-21,13604020
2016-08-22,13604020
2016-08-23,13604020
2016-08-24,13604020
2016-08-25,13604020
2016-08-26,13604020
2016-08-28,13604020
2016-08-31,12926333
2016-09-01,12926333
2016-09-02,12926333
2016-09-03,12926333
2016-09-04,12926333
2016-09-05,12926333
2016-09-06,12926333
2016-09-07,12926333
2016-09-08,12926333
2016-09-09,12926333
2016-09-10,12926333
2016-09-11,12281577
2016-09-12,12281577
2016-09-13,12281577
2016-09-14,12281577
2016-09-15,12281577
2016-09-16,12281577
2016-09-17,12281577
2016-09-18,12281577
2016-09-19,12281577
2016-09-20,12281577
2016-09-21,12281577
2016-09-22,12281577
2016-09-23,11668216
2016-09-24,11668216
2016-09-25,11668216
2016-09-26,11668216
2016-09-27,11668216
2016-09-28,11668216
2016-09-29,11668216
2016-09-30,11668216
2016-10-01,11668216
2016-10-02,11668216
2016-10-03,11668216
2016-10-04,11086562
2016-10-05,11086562
2016-10-06,11086562
2016-10-07,11086562
2016-10-08,11086562
2016-10-09,11086562
2016-10-10,11086562
2016-10-11,11086562
2016-10-12,11086562
2016-10-13,11086562
