date_obj,Mystic%20dust%20staff price
2016-09-14,4815000
2016-09-15,4815000
2016-09-16,4815000
2016-09-17,4815000
2016-09-18,4815000
2016-09-19,4815000
2016-09-20,4587463
2016-09-21,4587463
2016-09-22,4587463
2016-09-23,4587463
2016-09-24,4587463
2016-09-25,4587463
2016-09-26,4587463
2016-09-27,4358089
2016-09-28,4358089
2016-09-29,4358089
2016-09-30,4358089
2016-10-01,4358089
2016-10-02,4140184
2016-10-03,4140184
2016-10-04,4140184
2016-10-05,4140184
2016-10-06,3937879
2016-10-07,3937879
2016-10-08,3937879
2016-10-09,3937879
2016-10-10,3937879
2016-10-11,3740985
2016-10-12,3740985
2016-10-13,3553935
2016-10-14,3553935
2016-10-15,3553935
2016-10-16,3553935
2016-10-17,3378665
2016-10-18,3378665
2016-10-19,3378665
2016-10-20,3378665
2016-10-21,3378665
2016-10-22,3211758
2016-10-23,3211758
2016-10-24,3211758
2016-10-25,3052871
2016-10-26,3052871
2016-10-27,3052871
2016-10-28,3052871
2016-10-29,2902759
2016-10-30,2902759
2016-10-31,2902759
2016-11-01,2902759
2016-11-02,2760109
2016-11-03,2760109
2016-11-04,2760109
2016-11-05,2760109
2016-11-06,2623842
2016-11-07,2623842
2016-11-08,2623842
2016-11-09,2494724
2016-11-10,2494724
2016-11-11,2371569
2016-11-12,2371569
2016-11-13,2371569
2016-11-14,2257512
2016-12-07,1670446
2016-12-08,1587582
2016-12-09,1587582
2016-12-10,1587582
2016-12-11,1508619
2016-12-12,1508619
2016-12-13,1508619
2016-12-14,1434375
2016-12-15,1434375
2016-12-16,1434375
2016-12-17,1363757
2016-12-18,1363757
2016-12-19,1363757
2016-12-20,1296075
2016-12-21,1296075
2016-12-22,1233154
2016-12-23,1233154
2016-12-24,1172979
2016-12-25,1172979
2016-12-26,1115195
2016-12-27,1115195
2016-12-28,1062030
2016-12-29,1062030
2016-12-30,1010347
2016-12-31,1010347
2017-01-01,963624
2017-01-02,963624
2017-01-03,917377
2017-01-04,917377
2017-01-05,872945
2017-01-06,872945
2017-01-07,831303
2017-01-08,831303
2017-01-09,831303
2017-01-10,790913
2017-01-11,790913
2017-01-12,752892
2017-01-13,752892
2017-01-14,752892
2017-01-15,716038
2017-01-16,716038
2017-01-17,681291
2017-01-18,681291
2017-01-19,681291
2017-01-20,648083
2017-01-21,648083
2017-01-22,648083
2017-01-27,585251
2017-01-28,555988
2017-01-29,555988
2017-01-30,555988
2017-01-31,529230
2017-02-01,529230
2017-02-02,503107
2017-02-03,503107
2017-02-04,503107
2017-02-05,478744
2017-02-06,478744
2017-02-07,478744
2017-02-08,454806
2017-02-09,454806
2017-02-10,454806
2017-02-11,432549
2017-02-12,432549
2017-02-13,432549
2017-02-14,411694
2017-02-15,411694
2017-02-16,411694
2017-02-18,391568
2017-02-19,391568
2017-02-20,372871
2017-02-21,372871
2017-02-22,372871
2017-02-23,354729
2017-02-24,354729
2017-02-25,354729
2017-02-26,337357
2017-02-27,337357
2017-02-28,320979
2017-03-01,320979
2017-03-02,320979
2017-03-03,305235
2017-03-04,305235
2017-03-05,305235
2017-03-06,289973
2017-03-07,289973
2017-03-08,289973
2017-03-09,275650
2017-03-10,275650
2017-03-11,262450
2017-03-12,262450
2017-03-13,262450
2017-03-14,249327
2017-03-15,249327
2017-03-16,249327
2017-03-17,237067
2017-03-18,237067
2017-03-19,237067
2017-03-20,225213
2017-03-21,225213
2017-03-22,225213
2017-03-23,214161
2017-03-24,214161
2017-03-25,214161
2017-03-26,204120
2017-03-27,204120
2017-03-28,204120
2017-03-29,194396
2017-03-30,194396
2017-03-31,194396
2017-04-01,184676
2017-04-02,184676
2017-04-03,175596
2017-04-04,175596
2017-04-12,89800
2017-04-13,89800
2017-04-14,86078
2017-04-15,86078
2017-04-16,85945
2017-04-17,85945
2017-04-18,86051
2017-04-19,86051
2017-04-20,86051
2017-04-21,88023
2017-04-22,88023
2017-04-23,88023
2017-04-24,91355
2017-04-25,91355
2017-04-26,91355
2017-04-27,94995
2017-04-28,94995
2017-04-29,94995
2017-04-30,99179
2017-05-01,99179
2017-05-02,99179
2017-05-03,102224
2017-05-04,102224
2017-05-05,102224
2017-05-06,99204
2017-05-07,99204
2017-05-08,99204
2017-05-09,97849
2017-05-10,97849
2017-05-11,97849
2017-05-12,96071
2017-05-13,96071
2017-05-14,96071
2017-05-15,96206
2017-05-16,96206
2017-05-17,96206
2017-05-18,99870
2017-05-19,99870
2017-05-20,104572
2017-05-21,104572
2017-05-22,104572
2017-05-23,109237
2017-05-24,109237
2017-05-25,109237
2017-05-26,106316
2017-05-27,106316
2017-05-28,106316
2017-05-29,102083
2017-05-30,102083
2017-05-31,102083
2017-06-01,97067
2017-06-02,97067
2017-06-03,97067
2017-06-06,93112
2017-06-07,88840
2017-06-08,88840
2017-06-09,88840
2017-06-10,84398
