date_obj,Dragon%202h%20sword price
2015-03-26,200988
2015-03-27,200988
2015-03-28,206307
2015-03-29,208694
2015-03-30,214070
2015-03-31,215594
2015-04-01,215594
2015-04-02,209905
2015-04-03,200753
2015-04-04,190877
2015-04-05,181948
2015-04-06,172904
2015-04-07,166235
2015-04-08,166235
2015-04-09,160511
2015-04-10,163373
2015-04-11,166520
2015-04-12,169320
2015-04-13,174050
2015-04-14,174050
2015-04-15,174701
2015-04-16,170278
2015-04-17,164628
2015-04-18,159450
2015-04-19,153933
2015-04-20,153933
2015-04-21,154217
2015-04-22,154217
2015-04-23,157650
2015-04-24,157650
2015-04-25,159147
2015-04-26,158534
2015-04-27,157109
2015-04-28,153009
2015-04-29,153009
2015-04-30,149143
2015-05-01,150164
2015-05-02,152144
2015-05-03,152144
2015-05-04,152417
2015-05-05,152210
2015-05-06,150202
2015-05-07,150481
2015-05-08,149147
2015-05-09,148353
2015-05-10,147004
2015-05-11,147004
2015-05-12,147908
2015-05-13,147908
2015-05-14,150337
2015-05-15,150337
2015-05-16,151494
2015-05-17,150394
2015-05-18,149758
2015-05-19,149758
2015-05-20,150098
2015-05-21,150098
2015-05-22,153581
2015-05-23,153581
2015-05-24,157173
2015-05-25,152912
2015-05-26,152912
2015-05-27,153231
2015-05-28,154424
2015-05-29,154721
2015-05-30,155157
2015-05-31,155164
2015-06-01,154253
2015-06-02,150670
2015-06-03,150622
2015-06-04,146996
2015-06-05,146328
2015-06-06,142655
2015-06-07,142217
2015-06-08,142907
2015-06-09,144831
2015-06-10,145154
2015-06-11,147736
2015-06-12,152320
2015-06-13,154233
2015-06-14,154759
2015-06-15,155007
2015-06-16,151638
2015-06-17,149633
2015-06-18,150343
2015-06-19,154898
2015-06-20,153662
2015-06-21,151813
2015-06-22,150882
2015-06-23,149369
2015-06-24,151093
2015-06-25,150683
2015-06-26,149902
2015-06-27,149918
2015-06-28,149755
2015-06-29,148025
2015-06-30,151329
2015-07-01,151066
2015-07-02,151066
2015-07-03,150072
2015-07-04,153251
2015-07-05,155782
2015-07-06,158284
2015-07-07,162257
2015-07-08,165248
2015-07-09,165248
2015-07-10,163925
2015-07-11,161597
2015-07-12,161547
2015-07-13,160024
2015-07-14,159831
2015-07-15,156744
2015-07-16,154846
2015-07-17,155335
2015-07-18,155919
2015-07-19,155235
2015-07-20,153278
2015-07-21,152114
2015-07-22,152507
2015-07-23,152507
2015-07-24,149846
2015-07-25,145863
2015-07-26,144275
2015-07-27,146241
2015-07-28,148507
2015-07-29,147464
2015-07-30,147250
2015-07-31,148729
2015-08-01,150269
2015-08-02,151688
2015-08-03,151795
2015-08-04,152335
2015-08-05,153119
2015-08-06,154229
2015-08-07,155036
2015-08-08,152419
2015-08-09,153423
2015-08-10,151618
2015-08-11,151096
2015-08-12,151997
2015-08-13,150396
2015-08-14,150163
2015-08-15,150246
2015-08-16,147591
2015-08-17,148567
2015-08-18,148755
2015-08-19,151616
2015-08-20,154971
2015-08-21,159519
2015-08-22,163716
2015-08-23,168117
2015-08-24,171398
2015-08-25,171398
2015-08-26,170523
2015-08-27,166397
2015-08-28,159991
2015-08-29,154936
2015-08-30,150274
2015-08-31,145188
2015-09-01,142391
2015-09-02,143748
2015-09-03,144915
2015-09-04,149267
2015-09-05,153403
2015-09-06,154926
2015-09-07,154588
2015-09-08,151818
2015-09-09,150937
2015-09-10,148817
2015-09-11,146280
2015-09-12,144231
2015-09-13,142637
2015-09-14,143419
2015-09-15,147185
2015-09-16,150088
2015-09-17,154409
2015-09-18,153375
2015-09-19,153023
2015-09-20,152502
2015-09-21,152083
2015-09-22,152414
2015-09-23,153245
2015-09-24,154449
2015-09-25,152830
2015-09-27,154272
2015-09-28,152744
2015-09-29,151682
2015-09-30,153050
2015-10-05,153572
2015-10-06,154592
2015-10-07,153660
2015-10-08,154716
2015-10-09,154206
2015-10-10,154206
2015-10-11,153096
2015-10-12,152717
2015-10-13,152188
2015-10-14,152309
2015-10-15,152130
2015-10-16,153023
2015-10-17,153023
2015-10-18,153243
2015-10-19,153611
2015-10-20,154538
2015-10-22,153023
2015-10-23,153755
2015-10-24,156592
2015-10-25,157429
2015-10-26,157445
2015-10-27,155938
2015-10-29,156062
2015-10-30,156421
2015-10-31,157535
2015-11-01,156078
2015-11-02,156492
2015-11-03,156320
2015-11-04,156377
2015-11-05,156765
2015-11-06,157115
2015-11-07,155235
2015-11-08,155235
2015-11-09,155566
2015-11-10,156876
2015-11-11,155643
2015-11-12,155486
2015-11-13,152973
2015-11-14,150998
2015-11-15,150233
2015-11-16,148765
2015-11-17,146553
2015-11-18,148533
2015-11-19,149734
2015-11-20,150020
2015-11-21,150020
2015-11-22,150057
2015-11-23,150057
2015-11-24,150906
2015-11-25,153448
2015-11-26,153448
2015-11-27,158320
2015-11-28,161636
2015-11-29,164678
2015-11-30,163636
2015-12-01,159411
2015-12-02,157813
2015-12-03,154625
2015-12-04,153119
2015-12-05,153493
2015-12-06,155460
2015-12-07,153668
2015-12-08,153561
2015-12-09,153185
2015-12-10,155807
2015-12-11,156913
2015-12-12,159491
2015-12-13,161585
2015-12-14,161585
2015-12-15,160310
2015-12-16,158573
2015-12-17,159281
2015-12-18,155856
2015-12-19,151381
2015-12-20,150196
2015-12-21,151288
2015-12-22,153596
2015-12-23,153668
2015-12-24,151509
2015-12-25,149963
2015-12-26,151711
2015-12-27,156428
2015-12-28,153631
2015-12-29,152511
2015-12-30,150273
2015-12-31,150776
2016-01-01,151021
2016-01-02,151747
2016-01-03,151834
2016-01-04,152694
2016-01-05,154163
2016-01-06,155365
2016-01-07,154097
2016-01-08,152956
2016-01-09,156703
2016-01-10,159712
2016-01-11,155589
2016-01-12,153550
2016-01-13,152631
2016-01-14,150130
2016-01-15,148558
2016-01-16,148706
2016-01-17,150373
2016-01-18,152743
2016-01-19,151544
2016-01-20,151087
2016-01-21,153566
2016-01-22,150542
2016-01-23,147603
2016-01-24,148600
2016-01-25,150253
2016-01-26,151063
2016-01-27,150830
2016-01-28,150830
2016-01-29,151658
2016-01-30,150231
2016-01-31,150324
2016-02-01,151292
2016-02-02,152537
2016-02-03,152059
2016-02-04,151689
2016-02-05,151269
2016-02-06,151123
2016-02-07,150206
2016-02-08,150101
2016-02-09,150606
2016-02-10,153041
2016-02-11,151217
2016-02-12,151743
2016-02-13,152214
2016-02-14,151816
2016-02-15,151665
2016-02-16,151160
2016-02-17,151448
2016-02-18,149812
2016-02-19,149304
2016-02-20,151446
2016-02-21,154153
2016-02-22,154153
2016-02-23,153762
2016-02-24,154147
2016-02-25,153481
2016-02-26,153481
2016-02-27,151826
2016-02-28,152016
2016-02-29,152715
2016-03-01,153235
2016-03-02,152535
2016-03-03,152766
2016-03-04,152317
2016-03-05,153014
2016-03-06,154113
2016-03-07,153418
2016-03-08,154152
2016-03-09,155967
2016-03-10,159426
2016-03-11,163116
2016-03-12,163778
2016-03-13,162547
2016-03-14,158353
2016-03-15,153282
2016-03-16,152201
2016-03-17,155851
