date_obj,Triangle%20sandwich price
2015-03-26,31
2015-03-27,31
2015-03-28,33
2015-03-29,33
2015-03-30,35
2015-03-31,35
2015-04-01,35
2015-04-02,37
2015-04-03,37
2015-04-04,39
2015-04-05,39
2015-04-06,39
2015-04-07,41
2015-04-08,41
2015-04-09,41
2015-04-10,44
2015-04-11,44
2015-04-12,46
2015-04-13,46
2015-04-14,46
2015-04-15,49
2015-04-16,49
2015-04-17,49
2015-04-18,52
2015-04-19,52
2015-04-20,52
2015-04-21,55
2015-04-22,55
2015-04-23,58
2015-04-24,58
2015-04-25,58
2015-04-26,61
2015-04-27,61
2015-04-28,65
2015-04-29,65
2015-04-30,65
2015-05-01,69
2015-05-02,69
2015-05-03,69
2015-05-04,73
2015-05-05,73
2015-05-06,77
2015-05-07,77
2015-05-08,77
2015-05-09,77
2015-05-10,74
2015-05-11,74
2015-05-12,74
2015-05-13,74
2015-05-14,74
2015-05-15,72
2015-05-16,72
2015-05-17,72
2015-05-18,72
2015-05-19,68
2015-05-20,68
2015-05-21,68
2015-05-22,66
2015-05-23,66
2015-05-24,65
2015-05-25,65
2015-05-26,67
2015-05-27,67
2015-05-28,67
2015-05-29,71
2015-05-30,71
2015-05-31,75
2015-06-01,75
2015-06-02,75
2015-06-03,79
2015-06-04,79
2015-06-05,79
2015-06-06,83
2015-06-07,83
2015-06-08,83
2015-06-09,85
2015-06-10,85
2015-06-11,85
2015-06-12,90
2015-06-13,90
2015-06-14,85
2015-06-15,85
2015-06-16,85
2015-06-17,85
2015-06-18,85
2015-06-19,90
2015-06-20,90
2015-06-21,90
2015-06-22,92
2015-06-23,92
2015-06-24,92
2015-06-25,93
2015-06-26,93
2015-06-27,93
2015-06-28,92
2015-06-29,92
2015-06-30,92
2015-07-01,94
2015-07-02,94
2015-07-03,94
2015-07-04,94
2015-07-05,94
2015-07-06,94
2015-07-07,95
2015-07-08,95
2015-07-09,95
2015-07-10,94
2015-07-11,94
2015-07-12,94
2015-07-13,94
2015-07-14,91
2015-07-15,91
2015-07-16,91
2015-07-17,94
2015-07-18,94
2015-07-19,94
2015-07-20,95
2015-07-21,95
2015-07-22,91
2015-07-23,91
2015-07-24,91
2015-07-25,91
2015-07-26,91
2015-07-27,91
2015-07-28,92
2015-07-29,92
2015-07-30,92
2015-07-31,96
2015-08-01,96
2015-08-02,96
2015-08-03,96
2015-08-04,96
2015-08-05,96
2015-08-06,96
2015-08-07,96
2015-08-08,96
2015-08-09,96
2015-08-10,100
2015-08-11,100
2015-08-12,100
2015-08-13,104
2015-08-14,104
2015-08-15,104
2015-08-16,100
2015-08-17,100
2015-08-18,100
2015-08-19,99
2015-08-20,99
2015-08-21,99
2015-08-22,100
2015-08-23,100
2015-08-24,100
2015-08-25,100
2015-08-26,100
2015-08-27,100
2015-08-28,100
2015-08-29,100
2015-08-30,100
2015-08-31,100
2015-09-01,100
2015-09-02,100
2015-09-03,100
2015-09-04,100
2015-09-05,100
2015-09-06,97
2015-09-07,97
2015-09-08,97
2015-09-09,93
2015-09-10,93
2015-09-11,93
2015-09-12,93
2015-09-13,93
2015-09-14,93
2015-09-15,92
2015-09-16,92
2015-09-17,92
2015-09-18,92
2015-09-19,89
2015-09-20,89
2015-09-21,89
2015-09-22,89
2015-09-23,87
2015-09-24,87
2015-09-25,87
2015-09-27,87
2015-09-28,85
2015-09-29,85
2015-09-30,85
2015-10-05,83
2015-10-06,79
2015-10-07,79
2015-10-08,79
2015-10-09,80
2015-10-10,80
2015-10-11,80
2015-10-12,82
2015-10-13,82
2015-10-14,82
2015-10-15,82
2015-10-16,87
2015-10-17,87
2015-10-18,87
2015-10-19,87
2015-10-20,92
2015-10-22,92
2015-10-23,87
2015-10-24,87
2015-10-25,87
2015-10-26,85
2015-10-27,85
2015-10-29,85
2015-10-30,86
2015-10-31,86
2015-11-01,86
2015-11-02,83
