date_obj,Armadyl%20bracers price
2015-03-26,47440
2015-03-27,47440
2015-03-28,48065
2015-03-29,48346
2015-03-30,48579
2015-03-31,48521
2015-04-01,48571
2015-04-02,48800
2015-04-03,49038
2015-04-04,49128
2015-04-05,48769
2015-04-06,50056
2015-04-07,49472
2015-04-08,50060
2015-04-09,50655
2015-04-10,53045
2015-04-11,55093
2015-04-12,57637
2015-04-13,60126
2015-04-14,62798
2015-04-15,63838
2015-04-16,64364
2015-04-17,63130
2015-04-18,61034
2015-04-19,60256
2015-04-20,59573
2015-04-21,59181
2015-04-22,58940
2015-04-23,59832
2015-04-24,60428
2015-04-25,60678
2015-04-26,60983
2015-04-27,61990
2015-04-28,62698
2015-04-29,62698
2015-04-30,63289
2015-05-01,63577
2015-05-02,65017
2015-05-03,66605
2015-05-04,67903
2015-05-05,68355
2015-05-06,68614
2015-05-07,68283
2015-05-08,67681
2015-05-09,67081
2015-05-10,67111
2015-05-11,65915
2015-05-12,66002
2015-05-13,66072
2015-05-14,65515
2015-05-15,64930
2015-05-16,64678
2015-05-17,64847
2015-05-18,65699
2015-05-19,66550
2015-05-20,67132
2015-05-21,68413
2015-05-22,68107
2015-05-23,66842
2015-05-24,64832
2015-05-25,63410
2015-05-26,62472
2015-05-27,63166
2015-05-28,63484
2015-05-29,63221
2015-05-30,64208
2015-05-31,64654
2015-06-01,65498
2015-06-02,66288
2015-06-03,66836
2015-06-04,66352
2015-06-05,65986
2015-06-06,65361
2015-06-07,65684
2015-06-08,64487
2015-06-09,63514
2015-06-10,63704
2015-06-11,64585
2015-06-12,66821
2015-06-13,67693
2015-06-14,67382
2015-06-15,70231
2015-06-16,70733
2015-06-17,72091
2015-06-18,73667
2015-06-19,74339
2015-06-20,74920
2015-06-21,75042
2015-06-22,75534
2015-06-23,77407
2015-06-24,77243
2015-06-25,79454
2015-06-26,81052
2015-06-27,82201
2015-06-28,83186
2015-06-29,84978
2015-06-30,85458
2015-07-01,84771
2015-07-02,84771
2015-07-03,86402
2015-07-04,87143
2015-07-05,87167
2015-07-06,85802
2015-07-07,84084
2015-07-08,83010
2015-07-09,83495
2015-07-10,82538
2015-07-11,83141
2015-07-12,82380
2015-07-13,82287
2015-07-14,81303
2015-07-15,80266
2015-07-16,79701
2015-07-17,78876
2015-07-18,77913
2015-07-19,74757
2015-07-20,72577
2015-07-21,70664
2015-07-22,68637
2015-07-23,68637
2015-07-24,65797
2015-07-25,63497
2015-07-26,61296
2015-07-27,59013
2015-07-28,58704
2015-07-29,58589
2015-07-30,57884
2015-07-31,58325
2015-08-01,59153
2015-08-02,60262
2015-08-03,60977
2015-08-04,59364
2015-08-05,58587
2015-08-06,59010
2015-08-07,58400
2015-08-08,58777
2015-08-09,58582
2015-08-10,59361
2015-08-11,60114
2015-08-12,62020
2015-08-13,64096
2015-08-14,65929
2015-08-15,68136
2015-08-16,68553
2015-08-17,68566
2015-08-18,68319
2015-08-19,68745
2015-08-20,68551
2015-08-21,69139
2015-08-22,70161
2015-08-23,71898
2015-08-24,73154
2015-08-25,73154
2015-08-26,73111
2015-08-27,72611
2015-08-28,72513
2015-08-29,73485
2015-08-30,73868
2015-08-31,73653
2015-09-01,73442
2015-09-02,73818
2015-09-03,74622
2015-09-04,74551
2015-09-05,74343
2015-09-06,74163
2015-09-07,74248
2015-09-08,73515
2015-09-09,73332
2015-09-10,73805
2015-09-11,73017
2015-09-12,71671
2015-09-13,69397
2015-09-14,67180
2015-09-15,65291
2015-09-16,64044
2015-09-17,64038
2015-09-18,64887
2015-09-19,67256
2015-09-20,68233
2015-09-21,68982
2015-09-22,71135
2015-09-23,72175
2015-09-24,73265
2015-09-25,73405
2015-09-27,72915
2015-09-28,74911
2015-09-29,76074
2015-09-30,76497
2015-10-05,76549
2015-10-06,76620
2015-10-07,75622
2015-10-08,74492
2015-10-09,72686
2015-10-10,72686
2015-10-11,70070
2015-10-12,66577
2015-10-13,64729
2015-10-14,61560
2015-10-15,60033
2015-10-16,59659
2015-10-17,59659
2015-10-18,59654
2015-10-19,57892
2015-10-20,57708
2015-10-22,56152
2015-10-23,55751
2015-10-24,55347
2015-10-25,55627
2015-10-26,56016
2015-10-27,56556
2015-10-28,58194
2015-10-29,59952
2015-10-30,60960
2015-10-31,61294
2015-11-01,61294
2015-11-02,61064
2015-11-03,60296
2015-11-04,60233
2015-11-05,61622
2015-11-06,62627
2015-11-07,64111
2015-11-08,66239
2015-11-09,67800
2015-11-10,68299
2015-11-11,70745
2015-11-12,72848
2015-11-13,71126
2015-11-14,71862
2015-11-15,72299
2015-11-16,71323
2015-11-17,70887
2015-11-18,70386
2015-11-19,70002
2015-11-20,69158
2015-11-21,69158
2015-11-22,69912
2015-11-23,69912
2015-11-24,71900
2015-11-25,72729
2015-11-26,72729
