date_obj,Jute%20fibre price
2015-03-26,921
2015-03-27,921
2015-03-28,921
2015-03-29,921
2015-03-30,921
2015-03-31,921
2015-04-01,921
2015-04-02,921
2015-04-03,947
2015-04-04,947
2015-04-05,947
2015-04-06,947
2015-04-07,947
2015-04-08,947
2015-04-09,947
2015-04-10,947
2015-04-11,947
2015-04-12,947
2015-04-13,947
2015-04-14,947
2015-04-15,947
2015-04-16,947
2015-04-17,947
2015-04-18,947
2015-04-19,947
2015-04-20,947
2015-04-21,947
2015-04-22,947
2015-04-23,973
2015-04-24,973
2015-04-25,973
2015-04-26,973
2015-04-27,973
2015-04-28,973
2015-04-29,973
2015-04-30,973
2015-05-01,973
2015-05-02,973
2015-05-03,973
2015-05-04,973
2015-05-05,973
2015-05-06,973
2015-05-07,973
2015-05-08,973
2015-05-09,973
2015-05-10,973
2015-05-11,973
2015-05-12,973
2015-05-13,973
2015-05-14,973
2015-05-15,973
2015-05-16,1007
2015-05-17,1007
2015-05-18,1007
2015-05-19,1007
2015-05-20,1007
2015-05-21,1007
2015-05-22,1007
2015-05-23,1007
2015-05-24,1007
2015-05-25,1007
2015-05-26,1007
2015-05-27,1007
2015-05-28,1007
2015-05-29,1007
2015-05-30,1007
2015-05-31,1007
2015-06-01,1007
2015-06-02,1007
2015-06-03,1007
2015-06-04,1007
2015-06-05,1025
2015-06-06,1025
2015-06-07,1025
2015-06-08,1025
2015-06-09,1025
2015-06-10,1025
2015-06-11,1025
2015-06-12,1025
2015-06-13,1025
2015-06-14,1025
2015-06-15,1025
2015-06-16,1025
2015-06-17,1025
2015-06-18,1025
2015-06-19,1025
2015-06-20,1025
2015-06-21,1025
2015-06-22,1025
2015-06-23,1025
2015-06-24,1025
2015-06-25,1025
2015-06-26,1025
2015-06-27,1025
2015-06-28,1069
2015-06-29,1069
2015-06-30,1069
2015-07-01,1069
2015-07-02,1069
2015-07-03,1069
2015-07-04,1069
2015-07-05,1069
2015-07-06,1069
2015-07-07,1069
2015-07-08,1069
2015-07-09,1069
2015-07-10,1069
2015-07-11,1069
2015-07-12,1069
2015-07-13,1069
2015-07-14,1069
2015-07-15,1069
2015-07-16,1069
2015-07-17,1069
2015-07-18,1069
2015-07-19,1069
2015-07-20,1069
2015-07-21,1049
2015-07-22,1049
2015-07-23,1049
2015-07-24,1049
2015-07-25,1049
2015-07-26,1049
2015-07-27,1049
2015-07-28,1049
2015-07-29,1049
2015-07-30,1049
2015-07-31,1049
2015-08-01,1049
2015-08-02,1049
2015-08-03,1049
2015-08-04,1049
2015-08-05,1049
2015-08-06,1049
2015-08-07,1049
2015-08-08,1049
2015-08-09,1049
2015-08-10,1050
2015-08-11,1050
2015-08-12,1050
2015-08-13,1050
2015-08-14,1050
2015-08-15,1050
2015-08-16,1050
2015-08-17,1050
2015-08-18,1050
2015-08-19,1050
2015-08-20,1050
2015-08-21,1050
2015-08-22,1050
2015-08-23,1050
2015-08-24,1050
2015-08-25,1050
2015-08-26,1050
2015-08-27,1050
2015-08-28,1050
2015-08-29,1050
2015-08-30,1050
2015-08-31,1050
2015-09-01,1037
2015-09-02,1037
2015-09-03,1037
2015-09-04,1037
2015-09-05,1037
2015-09-06,1037
2015-09-07,1037
2015-09-08,1037
2015-09-09,1037
2015-09-10,1037
2015-09-11,1037
2015-09-12,1037
2015-09-13,1037
2015-09-14,1037
