date_obj,Granite%20hammer price
2018-09-02,1245822
2018-09-03,1263093
2018-09-04,1286968
2018-09-05,1311129
2018-09-06,1311129
2018-09-07,1309207
2018-09-08,1299989
2018-09-09,1320815
2018-09-10,1308084
2018-09-11,1302804
2018-09-12,1292419
2018-09-13,1264165
2018-09-14,1261429
2018-09-15,1250732
2018-09-16,1254669
2018-09-17,1256479
2018-09-18,1312440
2018-09-19,1354613
2018-09-20,1339704
2018-09-21,1333574
2018-09-22,1318071
2018-09-23,1325890
2018-09-24,1333990
2018-09-25,1380650
2018-09-26,1407231
2018-09-27,1474741
2018-09-28,1525615
2018-09-29,1562406
2018-09-30,1582126
2018-10-02,1590124
2018-10-03,1579548
2018-10-04,1610620
2018-10-05,1588558
2018-10-06,1579896
2018-10-07,1561181
2018-10-08,1549331
2018-10-09,1524561
2018-10-10,1498909
2018-10-11,1483917
2018-10-12,1472348
2018-10-13,1457563
2018-10-14,1432643
2018-10-15,1399839
2018-10-16,1367588
2018-10-17,1324296
2018-10-18,1259230
2018-10-19,1204826
2018-10-20,1170762
2018-10-21,1147819
2018-10-22,1150856
2018-10-23,1183872
2018-10-24,1213549
2018-10-25,1210682
2018-10-26,1179339
2018-10-27,1139962
2018-10-28,1122373
2018-10-29,1145440
2018-10-30,1125501
2018-10-31,1121968
2018-11-01,1140616
2018-11-03,1253779
2018-11-04,1316325
2018-11-05,1382142
2018-11-06,1451250
2018-11-07,1523813
2018-11-08,1599822
2018-11-09,1679814
2018-11-10,1763805
2018-11-11,1851772
2018-11-12,1944361
2018-11-13,2041580
2018-11-14,2143659
2018-11-15,2250842
2018-11-16,2363385
2018-11-17,2480962
2018-11-18,2605011
2018-11-19,2735262
2018-11-20,2872026
2018-11-21,3015628
2018-11-22,3125240
2018-11-23,3122223
2018-11-24,3080689
2018-11-25,2978677
2018-11-26,2846002
2018-11-27,2737680
2018-11-28,2715449
2018-11-29,2712071
2018-12-01,2668828
2018-12-02,2614444
2018-12-03,2583175
2018-12-04,2595221
2018-12-05,2560930
2018-12-07,2485172
2018-12-09,2662085
2018-12-10,2750680
2018-12-11,2814139
2018-12-12,2811013
2018-12-13,2811615
2018-12-14,2854295
2018-12-15,2912844
2018-12-16,2968184
2018-12-17,2972682
2018-12-18,3021080
2018-12-19,2989712
2018-12-20,2953843
2018-12-21,2897670
2018-12-22,2844655
2018-12-23,2790090
2018-12-24,2751799
2018-12-25,2758246
2018-12-26,2736285
2018-12-27,2718113
2018-12-28,2693447
2018-12-29,2670107
2018-12-30,2644226
2018-12-31,2607218
2019-01-01,2578564
2019-01-02,2542320
2019-01-03,2492415
2019-01-04,2457858
2019-01-05,2413380
2019-01-06,2369614
2019-01-08,2287292
2019-01-10,2127280
2019-01-11,2022214
2019-01-12,1933716
2019-01-13,1845498
2019-01-14,1825883
2019-01-15,1806129
2019-01-16,1775184
2019-01-17,1746194
2019-01-18,1709854
2019-01-19,1685440
2019-01-20,1681100
2019-01-21,1724635
2019-01-22,1798438
2019-01-23,1872560
2019-01-24,1935911
2019-01-25,2015637
2019-01-26,2071616
2019-01-27,2104468
2019-01-28,2133569
2019-01-29,2173041
2019-01-30,2154322
2019-01-31,2132359
2019-02-01,2098480
2019-02-02,2062859
2019-02-03,2016360
2019-02-04,1976554
2019-02-05,1916428
2019-02-06,1891700
2019-02-07,1862207
2019-02-08,1829564
2019-02-09,1831135
2019-02-10,1817939
2019-02-11,1811169
2019-02-12,1797813
2019-02-13,1774581
2019-02-14,1767718
2019-02-15,1749391
2019-02-16,1730198
2019-02-17,1724676
2019-02-18,1734494
2019-02-19,1789724
2019-02-20,1841750
2019-02-21,1837405
2019-02-22,1824521
2019-02-23,1801286
2019-02-24,1801116
2019-02-25,1784853
2019-02-26,1775612
2019-02-27,1774878
2019-02-28,1755968
2019-03-01,1737299
2019-03-02,1723574
2019-03-03,1708652
2019-03-04,1705137
2019-03-05,1697319
2019-03-06,1691338
2019-03-07,1699926
2019-03-08,1692637
2019-03-09,1696966
2019-03-10,1685066
2019-03-11,1663982
2019-03-12,1640253
2019-03-13,1609018
2019-03-14,1572073
2019-03-15,1542572
2019-03-16,1511164
2019-03-17,1467016
2019-03-18,1462313
2019-03-19,1445840
2019-03-20,1447203
2019-03-21,1516504
2019-03-22,1529900
2019-03-23,1540417
2019-03-24,1500637
2019-03-25,1456523
2019-03-26,1434540
2019-03-27,1421996
2019-03-28,1410075
2019-03-29,1389544
2019-03-30,1379488
2019-03-31,1382613
2019-04-01,1365814
2019-04-02,1359684
2019-04-03,1357136
2019-04-04,1383489
2019-04-05,1452664
2019-04-06,1525298
2019-04-07,1601520
2019-04-08,1681596
2019-04-09,1755473
2019-04-10,1828722
2019-04-11,1920097
2019-04-12,1974511
2019-04-13,2040735
2019-04-14,2140610
2019-04-15,2229548
2019-04-16,2277951
2019-04-17,2358662
2019-04-18,2318427
2019-04-19,2275651
2019-04-20,2244786
2019-04-21,2187723
2019-04-22,2158800
2019-04-23,2128877
2019-04-24,2087731
2019-04-25,2008387
2019-04-26,1911162
2019-04-27,1858690
2019-04-28,1803891
2019-04-29,1737004
2019-04-30,1736588
2019-05-01,1728514
2019-05-02,1739382
2019-05-03,1755362
2019-05-04,1815411
2019-05-05,1896053
2019-05-06,1977785
2019-05-07,2018272
2019-05-08,2069159
2019-05-09,2055178
2019-05-10,2029055
2019-05-11,2009962
2019-05-12,2000393
2019-05-13,1974908
2019-05-14,1958545
2019-05-15,1953004
2019-05-16,1955207
2019-05-17,1942067
2019-05-18,1939989
2019-05-19,1950187
2019-05-20,1949077
2019-05-21,1965053
2019-05-22,1963462
2019-05-23,2030051
2019-05-24,2106702
2019-05-25,2070427
2019-05-26,2073848
2019-05-27,2115746
2019-05-28,2091888
2019-05-29,2058566
2019-05-30,2011978
2019-05-31,1988824
2019-06-01,1972378
2019-06-02,1974677
2019-06-03,1966015
2019-06-04,1986078
2019-06-05,1969953
2019-06-06,2011234
2019-06-07,2032980
2019-06-08,1993082
2019-06-09,1971467
2019-06-10,1966738
2019-06-11,1941554
2019-06-12,1911433
2019-06-13,1883723
2019-06-14,1848791
2019-06-15,1840939
2019-06-16,1810386
2019-06-17,1744485
2019-06-18,1714336
2019-06-19,1653521
2019-06-20,1578495
2019-06-21,1511841
2019-06-22,1460042
2019-06-23,1418664
2019-06-24,1400046
2019-06-25,1351694
2019-06-26,1340001
2019-06-27,1342222
2019-06-28,1396719
2019-06-29,1463614
2019-06-30,1522695
2019-07-01,1575137
2019-07-02,1578541
2019-07-03,1556461
2019-07-04,1533721
2019-07-05,1523827
2019-07-06,1527745
2019-07-07,1518892
2019-07-08,1525179
2019-07-09,1516063
2019-07-10,1503428
2019-07-11,1444712
2019-07-12,1377719
2019-07-13,1338450
2019-07-14,1272260
2019-07-15,1245637
2019-07-16,1212671
2019-07-17,1183550
2019-07-18,1163017
2019-07-19,1141480
2019-07-20,1121373
2019-07-21,1088579
2019-07-22,1041048
2019-07-23,989643
2019-07-24,946934
2019-07-25,935603
2019-07-26,947709
2019-07-27,959169
2019-07-28,977866
2019-07-29,1007867
2019-07-30,1030737
2019-07-31,1000171
2019-08-01,1010529
2019-08-02,997245
2019-08-03,975100
2019-08-04,966423
2019-08-05,978880
2019-08-06,1010703
2019-08-07,1045340
2019-08-08,1052437
2019-08-09,1089259
2019-08-10,1123042
2019-08-11,1145614
2019-08-12,1187655
2019-08-13,1205269
2019-08-14,1207760
2019-08-15,1188579
2019-08-16,1173564
2019-08-17,1147188
2019-08-18,1136042
2019-08-19,1115239
2019-08-20,1087351
2019-08-21,1061912
2019-08-22,1044274
2019-08-23,1023821
2019-08-24,998889
2019-08-24,998889
2019-08-25,995290
2019-08-25,995290
2019-08-26,982260
2019-08-27,986471
2019-08-27,986471
2019-08-28,983462
2019-08-29,979843
2019-08-30,974116
2019-08-31,958189
2019-09-01,969140
2019-09-02,968089
2019-09-03,984922
2019-09-04,992851
2019-09-05,986553
2019-09-06,974869
2019-09-07,973057
2019-09-08,983493
2019-09-09,988493
2019-09-10,1017733
2019-09-11,1058580
2019-09-12,1039152
2019-09-13,1043604
2019-09-14,1044102
2019-09-15,1030965
2019-09-16,1019593
2019-09-17,998728
2019-09-18,1005731
2019-09-19,1000434
2019-09-20,994046
2019-09-21,992861
2019-09-22,986882
2019-09-23,984623
2019-09-24,991910
2019-09-25,984527
2019-09-26,977199
2019-09-27,978367
2019-09-28,968352
2019-09-29,970477
2019-09-30,961233
2019-10-01,948403
2019-10-02,943307
2019-10-03,938198
2019-10-04,926832
2019-10-05,914595
2019-10-06,901723
2019-10-07,876396
2019-10-08,853450
2019-10-09,841307
2019-10-10,837535
2019-10-11,822842
2019-10-12,808427
2019-10-13,782042
2019-10-14,769117
2019-10-15,761095
2019-10-16,751545
2019-10-17,747331
2019-10-18,744608
2019-10-19,741791
2019-10-20,742849
2019-10-21,729502
2019-10-22,734938
2019-10-23,731808
2019-10-24,717346
2019-10-25,708137
2019-10-26,696502
2019-10-27,685092
2019-10-28,674273
2019-10-29,671920
2019-10-30,666644
