date_obj,Willow%20seed price
2015-03-05,4094
2015-03-06,3889
2015-03-07,3694
2015-03-08,3565
2015-03-09,3609
2015-03-10,3738
2015-03-11,3891
2015-03-12,4082
2015-03-13,4262
2015-03-14,4288
2015-03-15,4452
2015-03-16,4673
2015-03-17,4907
2015-03-18,5107
2015-03-19,5356
2015-03-20,5624
2015-03-21,5906
2015-03-22,6189
2015-03-23,6488
2015-03-24,6809
2015-03-25,7142
2015-03-26,7439
2015-03-27,7439
2015-03-28,7566
2015-03-29,7538
2015-03-30,7645
2015-03-31,7556
2015-04-01,7552
2015-04-02,7841
2015-04-03,7963
2015-04-04,8202
2015-04-05,8304
2015-04-06,8251
2015-04-07,8440
2015-04-08,8739
2015-04-09,9051
2015-04-10,9113
2015-04-11,8951
2015-04-12,9092
2015-04-13,8704
2015-04-14,8326
2015-04-15,7952
2015-04-16,7884
2015-04-17,7863
2015-04-18,7790
2015-04-19,7857
2015-04-20,7783
2015-04-21,7939
2015-04-22,8230
2015-04-23,8457
2015-04-24,8861
2015-04-25,8979
2015-04-26,9060
2015-04-27,9176
2015-04-28,9311
2015-04-29,9311
2015-04-30,9413
2015-05-01,9458
2015-05-02,9152
2015-05-03,9152
2015-05-04,9213
2015-05-05,9246
2015-05-06,9394
2015-05-07,9606
2015-05-08,9979
2015-05-09,10013
2015-05-10,9659
2015-05-11,9659
2015-05-12,9746
2015-05-13,9952
2015-05-14,10017
2015-05-15,10074
2015-05-16,10144
2015-05-17,9850
2015-05-18,9715
2015-05-19,9858
2015-05-20,9858
2015-05-21,9834
2015-05-22,9929
2015-05-23,9734
2015-05-24,9431
2015-05-25,9453
2015-05-26,9300
2015-05-27,9141
2015-05-28,9139
2015-05-29,9270
2015-05-30,9361
2015-05-31,9414
2015-06-01,9075
2015-06-02,9090
2015-06-03,9125
2015-06-04,8929
2015-06-05,8667
2015-06-06,8371
2015-06-07,8235
2015-06-08,8370
2015-06-09,8475
2015-06-10,8569
2015-06-11,8391
2015-06-12,8221
2015-06-13,8102
2015-06-14,7849
