date_obj,Rune%20longsword price
2016-02-14,19751
2016-02-15,19718
2016-02-16,19749
2016-02-17,19981
2016-02-18,19976
2016-02-19,20124
2016-02-20,20285
2016-02-21,20154
2016-02-22,20228
2016-02-23,20251
2016-02-24,20170
2016-02-25,20323
2016-02-26,20536
2016-02-27,20583
2016-02-28,20714
2016-02-29,20570
2016-03-01,20318
2016-03-02,20454
2016-03-03,20487
2016-03-04,20604
2016-03-05,20414
2016-03-06,20056
2016-03-07,20266
2016-03-08,20154
2016-03-09,19814
2016-03-10,20103
2016-03-11,20158
2016-03-12,20279
2016-03-13,20057
2016-03-14,20122
2016-03-15,20356
2016-03-16,20352
2016-03-17,20442
2016-03-18,20436
2016-03-19,20496
2016-03-20,20600
2016-03-21,20690
2016-03-22,20672
2016-03-23,20763
2016-03-24,20776
2016-03-25,20506
2016-03-26,20350
2016-03-27,20343
2016-03-28,20096
2016-03-29,19909
2016-03-30,19570
2016-03-31,19796
2016-04-01,19768
2016-04-02,19882
2016-04-03,19934
2016-04-04,20096
2016-04-05,20029
2016-04-06,19952
2016-04-07,19668
2016-04-08,20080
2016-04-09,20212
2016-04-10,20388
2016-04-11,20476
2016-04-12,20447
2016-04-13,20488
2016-04-14,20539
2016-04-15,20561
2016-04-16,20313
2016-04-17,19991
2016-04-18,20274
2016-04-19,20455
2016-04-20,20557
2016-04-21,20511
2016-04-22,20498
2016-04-23,20452
2016-04-24,19884
2016-04-25,19771
2016-04-26,19970
2016-04-27,20227
2016-04-28,20273
2016-04-29,20238
2016-04-30,20258
2016-05-01,20041
2016-05-02,19997
2016-05-03,20167
2016-05-04,20277
2016-05-05,20011
2016-05-06,19801
2016-05-07,19786
2016-05-08,19865
2016-05-09,19817
2016-05-10,19883
2016-05-11,19668
2016-05-12,19694
2016-05-13,19954
2016-05-14,20016
2016-05-15,20252
2016-05-16,20278
2016-05-17,20337
2016-05-18,20486
2016-05-19,20444
2016-05-22,20071
2016-05-23,20029
2016-05-24,20258
2016-05-25,20393
2016-05-26,20553
2016-05-27,20469
2016-05-28,20513
2016-05-29,20600
2016-05-30,20649
2016-05-31,20740
2016-06-01,20777
2016-06-02,20707
2016-06-03,20557
2016-06-04,20292
2016-06-05,20188
2016-06-06,20500
2016-06-07,20370
2016-06-08,20477
2016-06-09,20336
2016-06-10,20235
2016-06-11,20162
