date_obj,Bucket%20of%20milk price
2015-03-26,953
2015-03-27,953
2015-03-28,905
2015-03-29,859
2015-03-30,816
2015-03-31,775
2015-04-01,736
2015-04-02,699
2015-04-03,664
2015-04-04,630
2015-04-05,598
2015-04-06,568
2015-04-07,539
2015-04-08,512
2015-04-09,486
2015-04-10,461
2015-04-11,437
2015-04-12,415
2015-04-13,394
2015-04-14,374
2015-04-15,355
2015-04-16,337
2015-04-17,320
2015-04-18,304
2015-04-19,288
2015-04-20,273
2015-04-21,259
2015-04-22,246
2015-04-23,233
2015-04-24,221
2015-04-25,209
2015-04-26,198
2015-04-27,188
2015-04-28,178
2015-04-29,178
2015-04-30,169
2015-05-01,160
2015-05-02,152
2015-05-03,144
2015-05-04,136
2015-05-05,129
2015-05-06,122
2015-05-07,115
2015-05-08,109
2015-05-09,103
2015-05-10,97
2015-05-11,92
2015-05-12,87
2015-05-13,82
2015-05-14,77
2015-05-15,73
2015-05-16,69
2015-05-17,65
2015-05-18,61
2015-05-19,57
2015-05-20,54
2015-05-21,51
2015-05-22,48
2015-05-23,45
2015-05-24,42
2015-05-25,39
2015-05-26,37
2015-05-27,36
2015-05-28,36
2015-05-29,37
2015-05-30,37
2015-05-31,38
2015-06-01,40
2015-06-02,41
2015-06-03,44
2015-06-04,45
2015-06-05,46
2015-06-06,46
2015-06-07,49
2015-06-08,52
2015-06-09,55
2015-06-10,58
2015-06-11,61
2015-06-12,65
2015-06-13,69
2015-06-14,73
2015-06-15,77
2015-06-16,81
2015-06-17,86
2015-06-18,91
2015-06-19,96
2015-06-20,98
2015-06-21,93
2015-06-22,88
2015-06-23,85
2015-06-24,85
2015-06-25,84
2015-06-26,85
2015-06-27,89
2015-06-28,93
2015-06-29,93
2015-06-30,92
2015-07-01,94
2015-07-02,94
2015-07-03,92
2015-07-04,87
2015-07-05,82
2015-07-06,77
2015-07-07,73
2015-07-08,69
2015-07-09,65
2015-07-10,61
2015-07-11,57
2015-07-12,54
2015-07-13,51
2015-07-14,48
2015-07-15,45
2015-07-16,42
2015-07-17,39
2015-07-18,37
2015-07-19,35
2015-07-20,33
2015-07-21,31
2015-07-22,31
2015-07-23,31
2015-07-24,30
2015-07-25,31
2015-07-26,33
2015-07-27,35
2015-07-28,37
2015-07-29,39
2015-07-30,41
2015-07-31,43
2015-08-01,46
2015-08-02,49
2015-08-03,52
2015-08-04,55
2015-08-05,58
2015-08-06,61
2015-08-07,64
2015-08-08,63
2015-08-09,59
2015-08-10,56
2015-08-11,53
2015-08-12,50
2015-08-13,47
2015-08-14,44
2015-08-15,44
2015-08-16,41
2015-08-17,38
2015-08-18,36
2015-08-19,34
2015-08-20,32
2015-08-21,30
2015-08-22,28
2015-08-23,28
2015-08-24,26
2015-08-25,26
2015-08-26,24
2015-08-27,24
2015-08-28,26
2015-08-29,26
2015-08-30,26
2015-08-31,24
2015-09-01,23
2015-09-02,23
2015-09-03,21
2015-09-04,22
2015-09-05,22
2015-09-06,22
2015-09-07,23
2015-09-08,23
2015-09-09,22
2015-09-10,21
2015-09-11,21
2015-09-12,21
2015-09-13,21
2015-09-14,20
2015-09-15,20
2015-09-16,20
2015-09-17,20
2015-09-18,20
2015-09-19,19
2015-09-20,18
2015-09-21,17
2015-09-22,16
2015-09-23,15
2015-09-24,15
2015-09-25,14
2015-09-27,12
2015-09-28,11
2015-09-29,12
2015-09-30,12
2015-10-05,12
2015-10-06,11
2015-10-07,11
2015-10-08,10
2015-10-09,9
2015-10-10,9
2015-10-11,9
2015-10-12,9
2015-10-13,9
2015-10-14,9
2015-10-15,10
2015-10-16,11
2015-10-17,11
2015-10-18,12
2015-10-19,12
2015-10-20,12
2015-10-22,13
2015-10-23,14
2015-10-24,15
2015-10-25,16
2015-10-26,17
2015-10-27,17
2015-10-29,18
2015-10-30,18
2015-10-31,18
2015-11-01,18
2015-11-02,19
2015-11-03,20
2015-11-04,20
2015-11-05,21
2015-11-06,21
2015-11-07,19
2015-11-08,19
2015-11-09,19
2015-11-10,19
2015-11-11,19
2015-11-12,19
2015-11-13,20
2015-11-14,20
2015-11-15,20
2015-11-16,20
2015-11-17,20
2015-11-18,20
2015-11-19,20
2015-11-20,20
2015-11-21,20
2015-11-22,20
2015-11-23,20
2015-11-24,21
