date_obj,Iron%20trimmed%20set%20(lg) price
2015-03-26,1048189
2015-03-27,1048189
2015-03-28,1048189
2015-03-29,1048189
2015-03-30,1048189
2015-03-31,1048189
2015-04-01,996512
2015-04-02,996512
2015-04-03,996512
2015-04-04,996512
2015-04-05,996512
2015-04-06,996512
2015-04-07,996512
2015-04-08,996512
2015-04-09,996512
2015-04-10,996512
2015-04-11,996512
2015-04-12,947852
2015-04-13,947852
2015-04-14,947852
2015-04-15,947852
2015-04-16,947852
2015-04-17,947852
2015-04-18,947852
2015-04-19,947852
2015-04-20,947852
2015-04-21,947852
2015-04-22,947852
2015-04-23,947852
2015-04-24,901927
2015-04-25,901927
2015-04-26,901927
2015-04-27,901927
2015-04-28,901927
2015-04-29,901927
2015-04-30,901927
2015-05-01,901927
2015-05-02,901927
2015-05-03,901927
2015-05-04,901927
2015-05-05,901927
2015-05-06,858424
2015-05-07,858424
2015-05-08,858424
2015-05-09,858424
2015-05-10,858424
2015-05-11,858424
2015-05-12,858424
2015-05-13,858424
2015-05-14,858424
2015-05-15,858424
2015-05-16,858424
2015-05-17,858424
2015-05-18,858424
2015-05-19,816313
2015-05-20,816313
2015-05-21,816313
2015-05-22,816313
2015-05-23,816313
2015-05-24,816313
2015-05-25,816313
2015-05-26,816313
2015-05-27,816313
2015-05-28,776861
2015-05-29,776861
2015-05-30,776861
2015-05-31,776861
2015-06-01,776861
2015-06-02,776861
2015-06-03,776861
2015-06-04,739672
2015-06-05,739672
2015-06-06,739672
2015-06-07,739672
2015-06-08,739672
2015-06-09,739672
2015-06-10,739672
2015-06-11,739672
2015-06-12,707056
2015-06-13,707056
2015-06-14,707056
2015-06-15,707056
2015-06-16,707056
2015-06-17,707056
2015-06-18,674048
2015-06-19,674048
2015-06-20,674048
2015-06-21,674048
2015-06-22,674048
2015-06-23,674048
2015-06-24,660595
2015-06-25,660595
2015-06-26,660595
2015-06-27,660595
2015-06-28,660595
2015-06-29,660595
2015-06-30,660595
2015-07-01,639909
2015-07-02,639909
2015-07-03,639909
2015-07-04,639909
2015-07-05,639909
2015-07-06,639909
2015-07-07,639909
2015-07-08,641851
2015-07-09,641851
2015-07-10,641851
2015-07-11,641851
2015-07-12,641851
2015-07-13,641851
2015-07-14,641851
2015-07-15,626743
2015-07-16,626743
2015-07-17,626743
2015-07-18,626743
2015-07-19,626743
2015-07-20,626743
2015-07-21,644715
2015-07-22,644715
2015-07-23,644715
2015-07-24,644715
2015-07-25,644715
2015-07-26,665477
2015-07-27,665477
2015-07-28,665477
2015-07-29,665477
2015-07-30,665477
2015-07-31,691348
2015-08-01,691348
2015-08-02,691348
2015-08-03,691348
2015-08-04,691348
2015-08-05,711146
2015-08-06,711146
2015-08-07,711146
2015-08-08,711146
2015-08-09,711146
2015-08-10,711146
2015-08-11,727911
2015-08-12,727911
2015-08-13,727911
2015-08-14,727911
2015-08-15,727911
2015-08-16,727911
2015-08-17,741854
2015-08-18,741854
2015-08-19,741854
2015-08-20,741854
2015-08-21,741854
2015-08-22,741854
2015-08-23,741854
2015-08-24,749869
2015-08-25,749869
2015-08-26,749869
2015-08-27,749869
2015-08-28,749869
2015-08-29,749869
2015-08-30,749869
2015-08-31,747588
2015-09-01,747588
2015-09-02,747588
2015-09-03,747588
2015-09-04,747588
2015-09-05,747588
2015-09-06,721824
2015-09-07,721824
2015-09-08,721824
2015-09-09,721824
2015-09-10,721824
2015-09-11,709370
2015-09-12,709370
2015-09-13,709370
2015-09-14,709370
2015-09-15,709370
2015-09-16,709370
2015-09-17,689652
2015-09-18,689652
2015-09-19,689652
2015-09-20,689652
2015-09-21,689652
2015-09-22,689652
2015-09-23,689652
2015-09-24,667183
2015-09-25,667183
2015-09-27,667183
2015-09-28,667183
2015-09-29,667183
2015-09-30,657769
2015-10-05,657769
2015-10-06,648138
2015-10-07,648138
2015-10-08,648138
2015-10-09,648138
2015-10-10,648138
2015-10-11,648138
2015-10-12,648138
2015-10-13,638260
2015-10-14,638260
2015-10-15,638260
2015-10-16,638260
2015-10-17,638260
2015-10-18,638260
2015-10-19,634611
2015-10-20,634611
2015-10-22,634611
2015-10-23,634611
2015-10-24,634611
2015-10-25,648345
2015-10-26,648345
2015-10-27,648345
2015-10-29,648345
2015-10-30,648345
2015-10-31,656680
2015-11-01,656680
2015-11-02,656680
2015-11-03,656680
2015-11-04,656680
2015-11-05,656680
2015-11-06,656680
2015-11-07,668387
2015-11-08,668387
2015-11-09,668387
2015-11-10,668387
2015-11-11,668387
2015-11-12,668387
2015-11-13,668387
2015-11-14,668387
2015-11-15,674720
2015-11-16,674720
2015-11-17,674720
2015-11-18,674720
2015-11-19,674720
2015-11-20,674720
2015-11-21,674720
2015-11-22,687437
2015-11-23,687437
2015-11-24,687437
2015-11-25,687437
2015-11-26,687437
2015-11-27,687437
2015-11-28,687437
2015-11-29,703332
2015-11-30,703332
2015-12-01,703332
2015-12-02,703332
2015-12-03,703332
2015-12-04,703332
2015-12-06,703332
2015-12-07,695341
2015-12-08,695341
2015-12-09,695341
2015-12-10,695341
2015-12-11,695341
2015-12-12,695341
2015-12-13,695341
2015-12-14,695341
2015-12-15,679047
2015-12-16,679047
2015-12-17,679047
2015-12-18,679047
2015-12-19,679047
2015-12-20,679047
2015-12-21,686263
2015-12-22,686263
2015-12-23,686263
2015-12-24,686263
2015-12-25,686263
2015-12-26,686263
2015-12-27,686263
2015-12-28,703575
2015-12-29,703575
2015-12-30,703575
2015-12-31,703575
2016-01-01,703575
2016-01-02,703575
2016-01-03,703575
2016-01-04,719554
2016-01-05,719554
2016-01-06,719554
2016-01-07,719554
2016-01-08,719554
2016-01-09,719554
2016-01-10,719554
2016-01-11,715682
2016-01-12,715682
2016-01-13,715682
2016-01-14,715682
2016-01-15,715682
2016-01-16,715682
2016-01-17,706333
2016-01-18,706333
2016-01-19,706333
2016-01-20,706333
2016-01-21,706333
2016-01-22,706333
2016-01-23,689898
2016-01-24,689898
2016-01-25,689898
2016-01-26,689898
2016-01-27,689898
2016-01-28,689898
2016-01-29,665120
2016-01-30,665120
2016-01-31,665120
2016-02-01,665120
2016-02-02,665120
2016-02-03,665120
2016-02-04,647545
2016-02-05,647545
2016-02-06,647545
2016-02-07,647545
2016-02-08,647545
2016-02-09,647545
2016-02-10,643952
2016-02-11,643952
2016-02-12,643952
2016-02-13,643952
2016-02-14,643952
2016-02-15,643952
2016-02-16,629331
2016-02-17,629331
2016-02-18,629331
2016-02-19,629331
2016-02-20,629331
2016-02-21,629331
2016-02-22,615941
2016-02-23,615941
2016-02-24,615941
2016-02-25,615941
2016-02-26,615941
2016-02-27,611203
2016-02-28,611203
2016-02-29,611203
2016-03-01,611203
2016-03-02,611203
2016-03-03,611203
2016-03-04,635097
2016-03-05,635097
2016-03-06,635097
2016-03-07,635097
2016-03-08,635097
2016-03-09,635097
2016-03-10,641017
2016-03-11,641017
2016-03-12,641017
2016-03-13,641017
2016-03-14,641017
2016-03-15,641017
2016-03-16,640581
2016-03-17,640581
2016-03-18,640581
2016-03-19,640581
2016-03-20,640581
2016-03-21,647120
2016-03-22,647120
2016-03-23,647120
2016-03-24,647120
2016-03-25,647120
2016-03-26,642458
2016-03-27,642458
2016-03-28,642458
2016-03-29,642458
2016-03-30,642458
2016-03-31,642458
2016-04-01,624031
2016-04-02,624031
2016-04-03,624031
2016-04-04,624031
2016-04-05,624031
2016-04-06,624031
2016-04-07,624031
2016-04-08,640143
2016-04-09,640143
2016-04-10,640143
2016-04-11,640143
2016-04-12,640143
2016-04-13,640143
2016-04-14,640143
2016-04-15,649326
