date_obj,Saradomin%20chaps price
2015-03-26,75206
2015-03-27,75788
2015-03-28,75729
2015-03-29,76727
2015-03-30,79346
2015-03-31,82358
2015-04-01,85031
2015-04-02,85513
2015-04-03,86750
2015-04-04,87878
2015-04-05,86685
2015-04-06,88246
2015-04-07,87789
2015-04-08,87641
2015-04-09,87095
2015-04-10,87584
2015-04-11,88588
2015-04-12,91435
2015-04-13,91588
2015-04-14,91650
2015-04-15,90991
2015-04-16,90882
2015-04-17,92667
2015-04-18,92305
2015-04-19,91269
2015-04-20,89602
2015-04-21,89144
2015-04-22,91177
2015-04-23,91461
2015-04-24,93619
2015-04-25,97361
2015-04-26,101828
2015-04-27,104797
2015-04-28,106169
2015-04-29,106388
2015-04-30,108804
2015-05-01,110647
2015-05-02,110644
2015-05-03,112143
2015-05-04,111585
2015-05-05,111079
2015-05-06,110400
2015-05-07,108306
2015-05-08,106429
2015-05-09,105025
2015-05-10,104533
2015-05-11,103570
2015-05-12,102630
2015-05-13,100479
2015-05-14,98275
2015-05-15,96062
2015-05-16,94791
2015-05-17,94675
2015-05-18,96281
2015-05-19,97144
2015-05-20,97114
2015-05-21,96396
2015-05-22,95587
2015-05-23,93424
2015-05-24,92315
2015-05-25,91194
2015-05-26,89581
2015-05-27,89946
2015-05-28,91132
2015-05-29,92758
2015-05-30,95940
2015-05-31,97567
2015-06-01,98995
2015-06-02,101731
2015-06-03,103793
2015-06-04,105183
2015-06-05,106871
2015-06-06,106823
2015-06-07,105696
2015-06-08,104758
2015-06-09,104641
2015-06-10,103822
2015-06-11,103319
2015-06-12,102757
2015-06-13,102760
2015-06-14,101380
2015-06-15,101986
2015-06-16,102468
2015-06-17,103471
2015-06-18,102856
2015-06-19,102824
2015-06-20,103024
2015-06-21,102589
2015-06-22,102173
2015-06-23,103523
2015-06-24,105251
2015-06-25,107973
2015-06-26,109732
2015-06-27,111208
2015-06-28,113457
2015-06-29,114263
2015-06-30,116563
2015-07-01,119156
2015-07-02,119726
2015-07-03,122122
2015-07-04,122832
2015-07-05,121283
2015-07-06,121971
2015-07-07,121564
2015-07-08,120506
2015-07-09,119515
2015-07-10,118704
2015-07-11,117526
2015-07-12,117216
2015-07-13,114811
2015-07-14,109164
2015-07-15,104376
2015-07-16,99627
2015-07-17,94989
2015-07-18,90460
2015-07-19,87165
2015-07-20,84418
2015-07-21,82256
2015-07-22,80645
2015-07-23,80315
2015-07-24,80221
2015-07-25,80374
2015-07-26,79935
2015-07-27,79648
2015-07-28,78881
2015-07-29,78454
2015-07-30,81452
2015-07-31,83492
2015-08-01,86077
2015-08-02,87081
2015-08-03,89011
2015-08-04,92440
2015-08-05,94334
2015-08-06,95166
2015-08-07,95028
2015-08-08,96163
2015-08-09,97561
2015-08-10,96054
2015-08-11,95584
2015-08-12,96050
2015-08-13,95883
2015-08-14,96612
2015-08-15,96223
2015-08-16,95741
2015-08-17,94298
2015-08-18,94745
2015-08-19,95523
2015-08-20,95016
2015-08-21,97652
2015-08-22,101300
2015-08-23,105927
2015-08-24,110608
2015-08-25,116139
2015-08-26,121349
2015-08-27,123281
2015-08-28,124413
2015-08-29,118501
2015-08-30,113055
2015-08-31,107462
2015-09-01,102088
2015-09-02,96983
2015-09-03,93728
2015-09-04,90839
2015-09-05,89368
2015-09-06,87595
2015-09-07,85352
2015-09-08,82689
2015-09-09,82358
2015-09-10,82435
2015-09-11,84321
2015-09-12,85983
2015-09-13,88232
2015-09-14,88801
2015-09-15,91019
2015-09-16,94124
2015-09-17,95090
2015-09-18,94812
2015-09-19,95763
2015-09-20,96582
2015-09-21,98907
2015-09-22,100867
2015-09-23,100951
2015-09-24,101941
2015-09-25,101924
2015-09-27,100485
2015-09-28,100175
2015-09-29,102346
2015-09-30,103841
2015-10-05,107446
2015-10-06,107625
2015-10-07,107313
2015-10-08,106606
2015-10-09,104569
2015-10-10,103217
2015-10-11,103497
2015-10-12,101874
2015-10-13,100733
2015-10-14,99699
2015-10-15,99579
2015-10-16,100245
2015-10-17,99708
2015-10-18,99262
2015-10-19,98822
2015-10-20,98342
2015-10-22,98089
2015-10-23,96932
2015-10-24,96461
2015-10-25,95800
2015-10-26,95493
2015-10-27,94671
2015-10-29,95545
2015-10-30,95999
2015-10-31,95520
2015-11-01,95534
2015-11-02,94379
2015-11-03,94455
2015-11-04,94079
2015-11-05,93680
2015-11-06,93035
2015-11-07,95722
2015-11-08,96900
2015-11-09,99002
2015-11-10,103877
2015-11-11,108240
2015-11-12,110669
2015-11-13,113616
2015-11-14,115070
2015-11-15,114841
2015-11-16,112841
2015-11-17,108517
2015-11-18,106079
2015-11-19,104607
2015-11-20,103291
2015-11-21,103291
2015-11-22,102255
2015-11-23,99955
2015-11-24,98829
2015-11-25,98869
2015-11-26,99753
2015-11-27,99522
2015-11-28,98628
2015-11-29,97419
2015-11-30,95282
2015-12-01,94405
2015-12-02,95592
2015-12-03,95869
2015-12-04,95782
2015-12-05,95913
2015-12-06,95309
2015-12-07,95165
2015-12-08,94882
2015-12-09,92736
2015-12-10,91953
2015-12-11,91624
2015-12-12,91522
2015-12-13,88475
2015-12-14,86998
2015-12-15,86583
2015-12-16,86296
2015-12-17,85414
2015-12-18,85570
2015-12-19,86217
2015-12-20,86167
2015-12-21,86019
2015-12-22,85949
2015-12-23,87218
2015-12-24,87213
2015-12-25,86919
2015-12-26,85717
2015-12-27,85808
2015-12-28,84964
2015-12-29,85014
2015-12-30,85862
2015-12-31,86675
2016-01-01,86692
2016-01-02,86909
2016-01-03,87236
2016-01-04,88758
2016-01-05,90412
