date_obj,Blue%20d'hide%20chaps%20(t) price
2016-01-04,2615
2016-01-05,2674
2016-01-06,2711
2016-01-07,2825
2016-01-08,2909
2016-01-09,2909
2016-01-10,2861
2016-01-11,2975
2016-01-12,3038
2016-01-13,3038
2016-01-14,3118
2016-01-15,3012
2016-01-16,2924
2016-01-17,2829
2016-01-18,2821
2016-01-19,2821
2016-01-20,2867
2016-01-21,2867
2016-01-22,2868
2016-01-23,2851
2016-01-24,2775
2016-01-25,2692
2016-01-26,2700
2016-01-27,2659
2016-01-28,2659
2016-01-29,2642
2016-01-30,2642
2016-01-31,2559
2016-02-01,2564
2016-02-02,2585
2016-02-03,2505
2016-02-04,2474
2016-02-05,2438
2016-02-06,2429
2016-02-07,2424
2016-02-08,2378
2016-02-09,2378
2016-02-10,2372
2016-02-11,2372
2016-02-12,2421
2016-02-13,2393
2016-02-14,2393
2016-02-15,2379
2016-02-16,2379
2016-02-17,2436
2016-02-18,2436
2016-02-19,2430
2016-02-20,2420
2016-02-21,2439
2016-02-22,2439
2016-02-23,2546
2016-02-24,2586
2016-02-25,2620
2016-02-26,2620
2016-02-27,2609
2016-02-28,2609
2016-02-29,2539
2016-03-01,2527
2016-03-02,2593
2016-03-03,2606
2016-03-04,2659
2016-03-05,2729
2016-03-06,2697
2016-03-07,2697
2016-03-08,2711
2016-03-09,2760
2016-03-10,2878
2016-03-11,2796
2016-03-12,2871
2016-03-13,2871
2016-03-14,2821
2016-03-15,2735
2016-03-16,2758
2016-03-17,2865
2016-03-18,2866
2016-03-19,2866
2016-03-20,2795
2016-03-21,2795
2016-03-22,2706
2016-03-23,2625
2016-03-24,2625
2016-03-25,2545
2016-03-26,2492
2016-03-27,2492
2016-03-28,2481
2016-03-29,2465
2016-03-30,2465
2016-03-31,2450
2016-04-01,2494
2016-04-02,2548
2016-04-03,2460
2016-04-04,2452
2016-04-05,2452
2016-04-06,2438
2016-04-07,2481
2016-04-08,2519
2016-04-09,2458
2016-04-10,2542
2016-04-11,2542
2016-04-12,2594
2016-04-13,2594
2016-04-14,2521
2016-04-15,2577
2016-04-16,2639
2016-04-17,2687
2016-04-18,2687
2016-04-19,2567
2016-04-20,2558
2016-04-21,2525
2016-04-22,2525
2016-04-23,2573
2016-04-24,2476
2016-04-25,2433
2016-04-26,2498
2016-04-27,2528
2016-04-28,2528
2016-04-29,2555
2016-04-30,2536
2016-05-01,2447
2016-05-02,2432
2016-05-03,2468
2016-05-04,2479
2016-05-05,2468
2016-05-06,2468
2016-05-07,2391
2016-05-08,2391
2016-05-09,2408
2016-05-10,2423
2016-05-11,2445
2016-05-12,2529
2016-05-13,2485
2016-05-14,2537
2016-05-15,2602
2016-05-16,2602
2016-05-17,2590
2016-05-18,2639
2016-05-19,2640
2016-05-22,2635
2016-05-23,2561
2016-05-24,2521
2016-05-25,2521
2016-05-26,2534
2016-05-27,2516
2016-05-28,2516
2016-05-29,2470
2016-05-30,2470
2016-05-31,2519
2016-06-01,2570
2016-06-02,2616
2016-06-03,2644
