date_obj,Empty%20oil%20lantern price
2015-12-30,15683
2015-12-31,15683
2016-01-01,15683
2016-01-02,15683
2016-01-03,15683
2016-01-04,15683
2016-01-05,15683
2016-01-06,15683
2016-01-07,15683
2016-01-08,15683
2016-01-09,15683
2016-01-10,15683
2016-01-11,15683
2016-01-12,15683
2016-01-13,15683
2016-01-14,15683
2016-01-15,14927
2016-01-16,14927
2016-01-17,14927
2016-01-18,14927
2016-01-19,14927
2016-01-20,14927
2016-01-21,14927
2016-01-22,14927
2016-01-23,14927
2016-01-24,14927
2016-01-25,14247
2016-01-26,14247
2016-01-27,14247
2016-01-28,14247
2016-01-29,14247
2016-01-30,14247
2016-01-31,14247
2016-02-01,14247
2016-02-02,14247
2016-02-03,14247
2016-02-04,14247
2016-02-05,14247
2016-02-06,14247
2016-02-07,14247
2016-02-08,14247
2016-02-09,14247
2016-02-10,13538
2016-02-11,13538
2016-02-12,13538
2016-02-13,13538
2016-02-14,13538
2016-02-15,13538
2016-02-16,13538
2016-02-17,13538
2016-02-18,13538
2016-02-19,13538
2016-02-20,13538
2016-02-21,13538
2016-02-22,13538
2016-02-23,12865
2016-02-24,12865
2016-02-25,12865
2016-02-26,12865
2016-02-27,12865
2016-02-28,12865
2016-02-29,12865
2016-03-01,12865
2016-03-02,12865
2016-03-03,12223
2016-03-04,12223
2016-03-05,12223
2016-03-06,12223
2016-03-07,12223
2016-03-08,12223
2016-03-09,12223
2016-03-10,12223
2016-03-11,12223
2016-03-12,12223
2016-03-13,12223
2016-03-14,11620
2016-03-15,11620
2016-03-16,11620
2016-03-17,11620
2016-03-18,11620
2016-03-19,11620
2016-03-20,11620
2016-03-21,11620
2016-03-22,11620
2016-03-23,11042
2016-03-24,11042
2016-03-25,11042
2016-03-26,11042
2016-03-27,11042
2016-03-28,11042
2016-03-29,11042
2016-03-30,11042
2016-03-31,10491
2016-04-01,10491
2016-04-02,10491
2016-04-03,10491
2016-04-04,10491
2016-04-05,10491
2016-04-06,10491
2016-04-07,10491
2016-04-08,10491
2016-04-09,10491
2016-04-10,10491
2016-04-11,10491
2016-04-12,10491
2016-04-13,10491
2016-04-14,10491
2016-04-15,10491
2016-04-16,10491
2016-04-17,10491
2016-04-18,10491
2016-04-19,10491
2016-04-20,10491
2016-04-21,9967
2016-04-22,9967
2016-04-23,9967
2016-04-24,9967
2016-04-25,9967
2016-04-26,9967
2016-04-27,9967
2016-04-28,9967
2016-04-29,9967
2016-04-30,9967
2016-05-01,9967
2016-05-02,9967
2016-05-03,9967
2016-05-04,9967
2016-05-05,9967
2016-05-06,9967
2016-05-07,9967
2016-05-08,9967
2016-05-09,9967
2016-05-10,9476
2016-05-11,9476
2016-05-12,9476
2016-05-13,9476
2016-05-14,9476
2016-05-15,9476
2016-05-16,9476
2016-05-17,9476
2016-05-18,9476
2016-05-19,9476
2016-05-22,9476
2016-05-23,9476
2016-05-24,9476
2016-05-25,9476
2016-05-26,9005
2016-05-27,9005
2016-05-28,9005
2016-05-29,9005
2016-05-30,9005
2016-05-31,9005
2016-06-01,9005
2016-06-02,9005
2016-06-03,9005
2016-06-04,9005
2016-06-05,9005
2016-06-06,8557
2016-06-07,8557
2016-06-08,8557
2016-06-09,8557
2016-06-10,8557
2016-06-11,8148
2016-06-12,8148
2016-06-13,8148
2016-06-14,8148
2016-06-15,8148
2016-06-16,8148
2016-06-17,8148
2016-06-18,8148
2016-06-19,8148
2016-06-20,8148
2016-06-21,8148
2016-06-22,7747
2016-06-23,7747
2016-06-24,7747
2016-06-25,7747
2016-06-26,7747
2016-06-27,7747
2016-06-28,7747
2016-06-29,7747
2016-06-30,7747
2016-07-01,7747
2016-07-02,7747
2016-07-03,7747
2016-07-04,7747
2016-07-05,7747
2016-07-06,7747
2016-07-07,7747
2016-07-08,7747
2016-07-09,7747
2016-07-10,7747
2016-07-11,7747
2016-07-12,7362
2016-07-13,7362
2016-07-14,7362
2016-07-15,7362
2016-07-16,7362
2016-07-17,7362
2016-07-18,7362
2016-07-23,7362
2016-07-24,7362
2016-07-25,7362
2016-07-26,7362
2016-07-27,7362
2016-07-28,7362
2016-07-29,7362
2016-07-30,7362
2016-07-31,7362
2016-08-01,7362
2016-08-02,7362
2016-08-03,7362
2016-08-04,7362
2016-08-05,7362
2016-08-06,7362
2016-08-07,7362
2016-08-08,7362
2016-08-09,7362
2016-08-10,7362
2016-08-11,7362
2016-08-12,7362
2016-08-13,7003
2016-08-14,7003
2016-08-15,7003
2016-08-16,7003
2016-08-17,7003
2016-08-18,7003
2016-08-19,7003
2016-08-20,7003
2016-08-21,7003
2016-08-22,7003
2016-08-23,7003
2016-08-24,7003
2016-08-25,7003
2016-08-26,7003
2016-08-28,7003
2016-08-31,7003
2016-09-01,7003
2016-09-02,7003
2016-09-03,7003
2016-09-04,7003
2016-09-05,7003
2016-09-06,7003
2016-09-07,7003
2016-09-08,7003
2016-09-09,7003
2016-09-10,7003
2016-09-11,7003
2016-09-12,7003
2016-09-13,7003
2016-09-14,7003
2016-09-15,7003
2016-09-16,7003
2016-09-17,6660
2016-09-18,6660
2016-09-19,6660
2016-09-20,6660
2016-09-21,6660
2016-09-22,6660
2016-09-23,6660
2016-09-24,6660
2016-09-25,6660
2016-09-26,6660
2016-09-27,6660
2016-09-28,6660
2016-09-29,6660
2016-09-30,6660
2016-10-01,6660
2016-10-02,6660
2016-10-03,6660
2016-10-04,6660
2016-10-05,6660
2016-10-06,6660
2016-10-07,6660
2016-10-08,6660
2016-10-09,6660
2016-10-10,6660
2016-10-11,6660
2016-10-12,6660
2016-10-13,6660
2016-10-14,6660
2016-10-15,6660
2016-10-16,6660
2016-10-17,6660
2016-10-18,6660
2016-10-19,6660
2016-10-20,6660
2016-10-21,6660
2016-10-22,6660
2016-10-23,6660
2016-10-24,6660
2016-10-25,6660
2016-10-26,6660
2016-10-27,6660
2016-10-28,6327
2016-10-29,6327
2016-10-30,6327
2016-10-31,6327
2016-11-01,6327
2016-11-02,6327
2016-11-03,6327
2016-11-04,6327
2016-11-05,6327
2016-11-06,6327
2016-11-07,6327
2016-11-08,6327
2016-11-09,6327
2016-11-10,6327
2016-11-11,6327
2016-11-12,6327
2016-11-13,6327
2016-11-14,6327
2016-11-15,6327
2016-12-07,6021
2016-12-08,6021
2016-12-09,6021
2016-12-10,6021
2016-12-11,6021
2016-12-12,6021
2016-12-13,6021
2016-12-14,6021
2016-12-15,6021
2016-12-16,6021
2016-12-17,6021
2016-12-18,6021
2016-12-19,6021
2016-12-20,6021
2016-12-21,6021
2016-12-22,6021
2016-12-23,6021
2016-12-24,6021
2016-12-25,6021
2016-12-26,6021
2016-12-27,6021
2016-12-28,6021
2016-12-29,6021
2016-12-30,6021
2016-12-31,6021
2017-01-01,6021
2017-01-02,6021
2017-01-03,6021
2017-01-04,6021
2017-01-05,6021
2017-01-06,6021
2017-01-07,5720
2017-01-08,5720
2017-01-09,5720
2017-01-10,5720
2017-01-11,5720
2017-01-12,5720
2017-01-13,5720
2017-01-14,5720
2017-01-15,5720
2017-01-16,5720
2017-01-17,5720
2017-01-18,5720
2017-01-19,5720
2017-01-20,5720
2017-01-21,5720
2017-01-22,5720
2017-01-23,5720
2017-01-27,5720
2017-01-28,5720
2017-01-29,5720
2017-01-30,5720
2017-01-31,5720
2017-02-01,5435
2017-02-02,5435
2017-02-03,5435
2017-02-04,5435
2017-02-05,5435
2017-02-06,5435
2017-02-07,5435
2017-02-08,5435
2017-02-09,5435
2017-02-10,5435
2017-02-11,5435
2017-02-12,5435
2017-02-13,5435
2017-02-14,5435
2017-02-15,5435
2017-02-16,5435
2017-02-18,5435
2017-02-19,5435
2017-02-20,5435
2017-02-21,5435
2017-02-22,5435
2017-02-23,5435
2017-02-24,5435
2017-02-25,5435
2017-02-26,5435
2017-02-27,5435
2017-02-28,5435
2017-03-01,5435
2017-03-02,5165
2017-03-03,5165
2017-03-04,5165
2017-03-05,5165
2017-03-06,5165
2017-03-07,5165
2017-03-08,5165
2017-03-09,5165
2017-03-10,5165
2017-03-11,5165
2017-03-12,5165
2017-03-13,5165
2017-03-14,5165
2017-03-15,5165
2017-03-16,5165
2017-03-17,5165
2017-03-18,5165
2017-03-19,5165
2017-03-20,5165
2017-03-21,5165
2017-03-22,5165
2017-03-23,5165
2017-03-24,5165
2017-03-25,5165
