date_obj,Blue%20elegant%20shirt price
2015-03-26,92719
2015-03-27,92719
2015-03-28,92275
2015-03-29,92275
2015-03-30,91600
2015-03-31,91600
2015-04-01,90721
2015-04-02,90721
2015-04-03,89317
2015-04-04,89317
2015-04-05,89534
2015-04-06,89534
2015-04-07,88671
2015-04-08,88671
2015-04-09,89797
2015-04-10,89797
2015-04-11,89734
2015-04-12,90030
2015-04-13,90030
2015-04-14,90910
2015-04-15,90910
2015-04-16,93623
2015-04-17,93623
2015-04-18,96010
2015-04-19,96010
2015-04-20,96020
2015-04-21,96020
2015-04-22,95668
2015-04-23,95668
2015-04-24,95374
2015-04-25,95374
2015-04-26,94185
2015-04-27,94185
2015-04-28,93801
2015-04-29,93801
2015-04-30,96499
2015-05-01,96499
2015-05-02,96978
2015-05-03,96978
2015-05-04,94943
2015-05-05,94943
2015-05-06,93221
2015-05-07,93221
2015-05-08,90953
2015-05-09,90953
2015-05-10,87695
2015-05-11,87695
2015-05-12,83355
2015-05-13,83355
2015-05-14,79576
2015-05-15,79576
2015-05-16,76736
2015-05-17,75398
2015-05-18,75398
2015-05-19,74609
2015-05-20,74609
2015-05-21,74609
2015-05-22,72963
2015-05-23,72963
2015-05-24,69893
2015-05-25,69893
2015-05-26,66398
2015-05-27,66398
2015-05-28,65180
2015-05-29,65180
2015-05-30,63936
2015-05-31,63936
2015-06-01,62239
2015-06-02,62239
2015-06-03,62780
2015-06-04,62780
2015-06-05,63131
2015-06-06,63131
2015-06-07,62858
2015-06-08,62858
2015-06-09,63906
2015-06-10,63906
2015-06-11,65968
2015-06-12,65968
2015-06-13,65968
2015-06-14,67918
2015-06-15,67918
2015-06-16,67918
2015-06-17,70399
2015-06-18,70399
2015-06-19,73076
2015-06-20,73076
2015-06-21,74172
2015-06-22,74172
2015-06-23,74086
2015-06-24,74086
2015-06-25,72825
2015-06-26,72825
2015-06-27,74134
2015-06-28,74134
2015-06-29,73729
2015-06-30,73729
2015-07-01,74296
2015-07-02,74296
2015-07-03,73637
2015-07-04,73637
2015-07-05,73637
2015-07-06,72279
2015-07-07,72279
2015-07-08,73604
2015-07-09,73604
2015-07-10,73604
2015-07-11,76215
2015-07-12,76215
2015-07-13,79883
2015-07-14,79883
2015-07-15,81665
2015-07-16,81665
2015-07-17,80371
2015-07-18,80371
2015-07-19,78363
2015-07-20,78363
2015-07-21,77958
2015-07-22,77958
2015-07-23,78156
2015-07-24,78156
2015-07-25,81935
2015-07-26,81935
2015-07-27,85823
2015-07-28,85823
2015-07-29,89261
2015-07-30,89261
2015-07-31,89261
2015-08-01,92052
2015-08-02,92052
2015-08-03,94670
2015-08-04,94670
2015-08-05,97170
2015-08-06,97170
2015-08-07,100273
2015-08-08,100273
2015-08-09,102323
2015-08-10,102323
2015-08-11,105508
2015-08-12,105508
2015-08-13,108952
2015-08-14,108952
2015-08-15,109223
2015-08-16,109223
2015-08-17,106745
