date_obj,Mith%20grapple%20(unf) price
2018-12-21,898
2018-12-22,920
2018-12-23,920
2018-12-24,929
2018-12-25,929
2018-12-26,929
2018-12-27,896
2018-12-28,896
2018-12-29,896
2018-12-30,914
2018-12-31,914
2019-01-01,914
2019-01-02,910
2019-01-03,910
2019-01-04,910
2019-01-05,869
2019-01-06,907
2019-01-08,907
2019-01-10,929
2019-01-11,929
2019-01-12,949
2019-01-13,949
2019-01-14,949
2019-01-15,918
2019-01-16,918
2019-01-17,918
2019-01-18,919
2019-01-19,919
2019-01-20,913
2019-01-21,913
2019-01-22,913
2019-01-23,922
2019-01-24,922
2019-01-25,922
2019-01-26,911
2019-01-27,911
2019-01-28,911
2019-01-29,924
2019-01-30,924
2019-01-31,924
2019-02-01,932
2019-02-02,932
2019-02-03,932
2019-02-04,908
2019-02-05,908
2019-02-06,908
2019-02-07,887
2019-02-08,887
2019-02-09,887
2019-02-10,896
2019-02-11,896
2019-02-12,896
2019-02-13,928
2019-02-14,928
2019-02-15,928
2019-02-16,959
2019-02-17,959
2019-02-18,959
2019-02-19,937
2019-02-20,937
2019-02-21,937
2019-02-22,899
2019-02-23,899
2019-02-24,912
2019-02-25,912
2019-02-26,912
2019-02-27,905
2019-02-28,905
2019-03-01,905
2019-03-02,915
2019-03-03,915
2019-03-04,894
2019-03-05,894
2019-03-06,894
2019-03-07,872
2019-03-08,872
2019-03-09,872
2019-03-10,851
2019-03-11,851
2019-03-12,851
2019-03-13,862
2019-03-14,862
2019-03-15,862
2019-03-16,899
2019-03-17,899
2019-03-18,899
2019-03-19,906
2019-03-20,906
2019-03-21,906
2019-03-22,915
2019-03-23,915
2019-03-24,907
2019-03-25,907
2019-03-26,907
2019-03-27,907
2019-03-28,870
2019-03-29,870
2019-03-30,870
2019-03-31,827
2019-04-01,827
2019-04-02,827
2019-04-03,812
2019-04-04,812
2019-04-05,812
2019-04-06,812
2019-04-07,771
2019-04-08,771
2019-04-09,771
2019-04-10,771
2019-04-11,767
2019-04-12,767
2019-04-13,767
2019-04-14,757
2019-04-15,757
2019-04-16,757
2019-04-17,741
2019-04-18,741
2019-04-19,741
2019-04-20,706
2019-04-21,706
2019-04-22,706
2019-04-23,703
2019-04-24,703
2019-04-25,703
2019-04-26,711
2019-04-27,711
2019-04-28,711
2019-04-29,711
2019-04-30,694
2019-05-01,694
2019-05-02,694
2019-05-03,696
2019-05-04,696
2019-05-05,704
2019-05-06,704
2019-05-07,704
2019-05-08,704
2019-05-09,732
2019-05-10,732
2019-05-11,732
2019-05-12,766
2019-05-13,766
2019-05-14,766
2019-05-15,766
2019-05-16,737
2019-05-17,737
2019-05-18,737
2019-05-19,753
2019-05-20,753
2019-05-21,753
2019-05-22,753
2019-05-23,753
2019-05-24,753
2019-05-25,753
2019-05-26,762
2019-05-27,762
2019-05-28,762
2019-05-29,755
2019-05-30,755
2019-05-31,755
2019-06-01,755
2019-06-02,754
2019-06-03,754
2019-06-04,754
2019-06-05,767
2019-06-06,767
