date_obj,Super%20potion%20set price
2015-03-26,6247
2015-03-27,6247
2015-03-28,6091
2015-03-29,6091
2015-03-30,5950
2015-03-31,5950
2015-04-01,5950
2015-04-02,5904
2015-04-03,5904
2015-04-04,5858
2015-04-05,5858
2015-04-06,6061
2015-04-07,6061
2015-04-08,6290
2015-04-09,6290
2015-04-10,6585
2015-04-11,6585
2015-04-12,6865
2015-04-13,6865
2015-04-14,6865
2015-04-15,6652
2015-04-16,6652
2015-04-17,6652
2015-04-18,6578
2015-04-19,6578
2015-04-20,6578
2015-04-21,6673
2015-04-22,6673
2015-04-23,6673
2015-04-24,6697
2015-04-25,6697
2015-04-26,6697
2015-04-27,7006
2015-04-28,7006
2015-04-29,7006
2015-04-30,7131
2015-05-01,7131
2015-05-02,7190
2015-05-03,7190
2015-05-04,7190
2015-05-05,6964
2015-05-06,6964
2015-05-07,6964
2015-05-08,6860
2015-05-09,6860
2015-05-10,6758
2015-05-11,6758
2015-05-12,6758
2015-05-13,6754
2015-05-14,6754
2015-05-15,6754
2015-05-16,7032
2015-05-17,7032
2015-05-18,7249
2015-05-19,7249
2015-05-20,7249
2015-05-21,7249
2015-05-22,7382
2015-05-23,7382
2015-05-24,7382
2015-05-25,7577
2015-05-26,7577
2015-05-27,7577
2015-05-28,7668
2015-05-29,7668
2015-05-30,7953
2015-05-31,7953
2015-06-01,7987
2015-06-02,7987
2015-06-03,8170
2015-06-04,8170
2015-06-05,8479
2015-06-06,8479
2015-06-07,8719
2015-06-08,8719
2015-06-09,9057
2015-06-10,9057
2015-06-11,9400
2015-06-12,9400
2015-06-13,9703
2015-06-14,9703
2015-06-15,9588
2015-06-16,9588
2015-06-17,9576
2015-06-18,9576
2015-06-19,9522
2015-06-20,9522
2015-06-21,9390
2015-06-22,9390
2015-06-23,9377
2015-06-24,9377
2015-06-25,9475
2015-06-26,9475
2015-06-27,9693
2015-06-28,9693
2015-06-29,9579
2015-06-30,9579
2015-07-01,9587
2015-07-02,9587
2015-07-03,9597
2015-07-04,9597
2015-07-05,9597
2015-07-06,9680
2015-07-07,9680
2015-07-08,9858
2015-07-09,9858
2015-07-10,10069
2015-07-11,10069
2015-07-12,10069
2015-07-13,10257
2015-07-14,10257
2015-07-15,10057
2015-07-16,10057
2015-07-17,10343
2015-07-18,10343
2015-07-19,10545
2015-07-20,10545
2015-07-21,10589
2015-07-22,10740
2015-07-23,10740
2015-07-24,11053
2015-07-25,11053
2015-07-26,11275
2015-07-27,11275
2015-07-28,11126
2015-07-29,11126
2015-07-30,10916
2015-07-31,10916
2015-08-01,10916
2015-08-02,10909
2015-08-03,10909
2015-08-04,10909
2015-08-05,10920
2015-08-06,10920
2015-08-07,10916
2015-08-08,10916
2015-08-09,10786
2015-08-10,10786
2015-08-11,10703
2015-08-12,10703
2015-08-13,10703
2015-08-14,10638
2015-08-15,10638
2015-08-16,10537
2015-08-17,10537
2015-08-18,10368
2015-08-19,10368
2015-08-20,10321
2015-08-21,10321
2015-08-22,10429
2015-08-23,10429
2015-08-24,10598
2015-08-25,10598
2015-08-26,10598
2015-08-27,10712
2015-08-28,10712
2015-08-29,10725
2015-08-30,10725
2015-08-31,10739
2015-09-01,10739
2015-09-02,10739
2015-09-03,10887
2015-09-04,10887
2015-09-05,11286
2015-09-06,11286
2015-09-07,11399
2015-09-08,11399
2015-09-09,11333
2015-09-10,11333
2015-09-11,11587
2015-09-12,11587
2015-09-13,11830
2015-09-14,11830
2015-09-15,12287
2015-09-16,12287
2015-09-17,12439
2015-09-18,12439
2015-09-19,12560
2015-09-20,12560
2015-09-21,12353
2015-09-22,12353
2015-09-23,11965
2015-09-24,11965
2015-09-25,11965
2015-09-27,11848
2015-09-28,11457
2015-09-29,11457
2015-09-30,11518
2015-10-05,11346
2015-10-06,11609
2015-10-07,11609
2015-10-08,12011
2015-10-09,12011
2015-10-10,12278
2015-10-11,12278
2015-10-12,12252
2015-10-13,12252
2015-10-14,12252
2015-10-15,11878
2015-10-16,11878
2015-10-17,11920
2015-10-18,11920
2015-10-19,11867
2015-10-20,11867
2015-10-22,12011
2015-10-23,12213
2015-10-24,12213
2015-10-25,12544
2015-10-26,12544
2015-10-27,12705
2015-10-29,13075
2015-10-30,13075
2015-10-31,13078
2015-11-01,13078
2015-11-02,12928
2015-11-03,12928
2015-11-04,12928
2015-11-05,12726
2015-11-06,12726
2015-11-07,12726
2015-11-08,12654
2015-11-09,12654
2015-11-10,12654
2015-11-11,12378
2015-11-12,12378
2015-11-13,12378
2015-11-14,12342
2015-11-15,12342
2015-11-16,12342
2015-11-17,12520
2015-11-18,12520
2015-11-19,12520
2015-11-20,12581
2015-11-21,12581
2015-11-22,12581
2015-11-23,12967
2015-11-24,12967
2015-11-25,13538
2015-11-26,13538
2015-11-27,13538
2015-11-28,13880
2015-11-29,13880
2015-11-30,13759
2015-12-01,13759
2015-12-02,13759
2015-12-03,13718
2015-12-04,13718
2015-12-05,13718
2015-12-06,13646
2015-12-07,13646
2015-12-08,13646
2015-12-09,13758
2015-12-10,13758
2015-12-11,13758
2015-12-13,13794
2015-12-14,13794
2015-12-15,13784
2015-12-16,13784
2015-12-17,13784
2015-12-18,13394
2015-12-19,13394
2015-12-20,13270
2015-12-21,13270
2015-12-22,13167
2015-12-23,13167
2015-12-24,13186
2015-12-25,13186
2015-12-26,13186
2015-12-27,13287
2015-12-28,13287
2015-12-29,13064
2015-12-30,13064
2015-12-31,12507
2016-01-01,12507
2016-01-02,12507
2016-01-03,12190
2016-01-04,12190
2016-01-05,11964
2016-01-06,11964
2016-01-07,11704
2016-01-08,11704
2016-01-09,11834
2016-01-10,11834
2016-01-11,12176
2016-01-12,12176
2016-01-13,12171
2016-01-14,12171
2016-01-15,12207
2016-01-16,12207
2016-01-17,12548
2016-01-18,12548
2016-01-19,12951
2016-01-20,12951
2016-01-21,13287
2016-01-22,13287
2016-01-23,13685
2016-01-24,13685
2016-01-25,13900
2016-01-26,13900
2016-01-27,13765
2016-01-28,13765
2016-01-29,13574
2016-01-30,13574
2016-01-31,13652
2016-02-01,13652
2016-02-02,13580
2016-02-03,13580
2016-02-04,13821
2016-02-05,13821
2016-02-06,13937
2016-02-07,13937
2016-02-08,13621
2016-02-09,13621
2016-02-10,13810
2016-02-11,13810
2016-02-12,13810
2016-02-13,14070
2016-02-14,14070
2016-02-15,14174
2016-02-16,14174
2016-02-17,14071
2016-02-18,14071
2016-02-19,14071
2016-02-20,14120
2016-02-21,13828
2016-02-22,13828
2016-02-23,13828
2016-02-24,13627
2016-02-25,13627
2016-02-26,13666
2016-02-27,13666
2016-02-28,13342
2016-02-29,13342
2016-03-01,13020
2016-03-02,13020
2016-03-03,12823
2016-03-04,12823
2016-03-05,12965
2016-03-06,12965
2016-03-07,12681
2016-03-08,12681
2016-03-09,12477
2016-03-10,12477
2016-03-11,12286
2016-03-12,12286
2016-03-13,11919
2016-03-14,11919
2016-03-15,11622
2016-03-16,11622
2016-03-17,11925
2016-03-18,11925
2016-03-19,12160
2016-03-20,12160
2016-03-21,11828
2016-03-22,11828
2016-03-23,11930
2016-03-24,11930
2016-03-25,11938
2016-03-26,11938
2016-03-27,11938
2016-03-28,11696
2016-03-29,11696
2016-03-30,11696
2016-03-31,11564
2016-04-01,11564
2016-04-02,11564
2016-04-03,11518
2016-04-04,11518
2016-04-05,11518
2016-04-06,11498
2016-04-07,11498
