date_obj,Frog%20slippers price
2019-04-11,30000
2019-04-11,31500
2019-04-12,33075
2019-04-13,34729
2019-04-14,36466
2019-04-15,140000
2019-04-16,140000
2019-04-17,144970
2019-04-18,148935
2019-04-19,153521
2019-04-20,152128
2019-04-21,146391
2019-04-22,140198
2019-04-23,133188
2019-04-24,126528
2019-04-25,120201
2019-04-26,114190
2019-04-27,108480
2019-04-28,103056
2019-04-29,97903
2019-04-30,93108
2019-05-01,93108
2019-05-02,90428
2019-05-03,86822
2019-05-04,85025
2019-05-05,82745
2019-05-06,80949
2019-05-07,79987
2019-05-08,78791
2019-05-09,78306
2019-05-10,76707
2019-05-11,75801
2019-05-12,75916
2019-05-13,76444
2019-05-14,76734
2019-05-15,76734
2019-05-16,75163
2019-05-17,75163
2019-05-18,75247
2019-05-19,75247
2019-05-20,75175
2019-05-21,75175
2019-05-22,77149
2019-05-23,78325
2019-05-24,79166
2019-05-25,80300
2019-05-26,80897
2019-05-27,81460
2019-05-28,83495
2019-05-29,85130
2019-05-30,85130
2019-05-31,85636
2019-06-01,84219
2019-06-02,83506
2019-06-03,83173
2019-06-04,84239
2019-06-05,86215
2019-06-06,86648
2019-06-07,83919
2019-06-08,83916
2019-06-09,83231
2019-06-10,83231
2019-06-11,81847
2019-06-12,81847
2019-06-13,81653
2019-06-14,81029
2019-06-15,81029
2019-06-16,82389
2019-06-17,83865
2019-06-18,83865
2019-06-19,84313
2019-06-20,85700
2019-06-21,85700
2019-06-22,84929
2019-06-23,84563
2019-06-24,84563
2019-06-25,84535
2019-06-26,84535
2019-06-27,83911
2019-06-28,83911
2019-06-29,83846
2019-06-30,83978
2019-07-01,83978
2019-07-02,84037
2019-07-03,85917
2019-07-04,85917
2019-07-05,85513
2019-07-06,85513
2019-07-07,85348
2019-07-08,85348
2019-07-09,85676
2019-07-10,85676
2019-07-11,84250
2019-07-12,83477
2019-07-13,83477
2019-07-14,83049
2019-07-15,83049
2019-07-16,83361
2019-07-17,83855
2019-07-18,83855
2019-07-19,82427
2019-07-20,82427
2019-07-21,81111
2019-07-22,81111
2019-07-23,79275
2019-07-24,79275
2019-07-25,77717
2019-07-26,77717
2019-07-27,76635
2019-07-28,76635
2019-07-29,76282
2019-07-30,75248
2019-07-31,74678
2019-08-01,74678
2019-08-02,74457
2019-08-03,73535
2019-08-04,73535
2019-08-05,73255
2019-08-06,73255
2019-08-07,72671
2019-08-08,72671
2019-08-09,72036
2019-08-10,71671
2019-08-11,71671
2019-08-12,70722
2019-08-13,70722
2019-08-14,68792
2019-08-15,66195
2019-08-16,65813
2019-08-17,65813
