date_obj,Chocolate%20cake price
2015-03-26,228
2015-03-27,228
2015-03-28,228
2015-03-29,234
2015-03-30,234
2015-03-31,237
2015-04-01,237
2015-04-02,237
2015-04-03,249
2015-04-04,249
2015-04-05,261
2015-04-06,261
2015-04-07,267
2015-04-08,267
2015-04-09,267
2015-04-10,272
2015-04-11,272
2015-04-12,281
2015-04-13,281
2015-04-14,286
2015-04-15,286
2015-04-16,289
2015-04-17,289
2015-04-18,287
2015-04-19,287
2015-04-20,287
2015-04-21,278
2015-04-22,278
2015-04-23,265
2015-04-24,265
2015-04-25,271
2015-04-26,271
2015-04-27,265
2015-04-28,265
2015-04-29,265
2015-04-30,260
2015-05-01,260
2015-05-02,256
2015-05-03,256
2015-05-04,256
2015-05-05,254
2015-05-06,254
2015-05-07,256
2015-05-08,256
2015-05-09,247
2015-05-10,247
2015-05-11,247
2015-05-12,237
2015-05-13,237
2015-05-14,232
2015-05-15,232
2015-05-16,232
2015-05-17,229
2015-05-18,229
2015-05-19,226
2015-05-20,226
2015-05-21,226
2015-05-22,233
2015-05-23,233
2015-05-24,242
2015-05-25,242
2015-05-26,251
2015-05-27,251
2015-05-28,255
2015-05-29,255
2015-05-30,260
2015-05-31,260
2015-06-01,270
2015-06-02,270
2015-06-03,274
2015-06-04,274
2015-06-05,272
2015-06-06,272
2015-06-07,270
2015-06-08,270
2015-06-09,275
2015-06-10,275
2015-06-11,266
2015-06-12,266
2015-06-13,258
2015-06-14,258
2015-06-15,252
2015-06-16,252
2015-06-17,263
2015-06-18,263
2015-06-19,267
2015-06-20,267
2015-06-21,278
2015-06-22,278
2015-06-23,286
2015-06-24,286
2015-06-25,286
2015-06-26,292
2015-06-27,292
2015-06-28,292
2015-06-29,292
2015-06-30,293
2015-07-01,293
2015-07-02,292
2015-07-03,291
2015-07-04,291
2015-07-05,282
2015-07-06,282
2015-07-07,277
2015-07-08,277
2015-07-09,271
2015-07-10,269
2015-07-11,269
2015-07-12,266
2015-07-13,266
2015-07-14,267
2015-07-15,267
2015-07-16,278
2015-07-17,286
2015-07-18,286
2015-07-19,277
2015-07-20,277
2015-07-21,275
2015-07-22,273
2015-07-23,273
2015-07-24,280
2015-07-25,280
2015-07-26,286
2015-07-27,286
2015-07-28,291
2015-07-29,298
2015-07-30,298
2015-07-31,290
2015-08-01,290
2015-08-02,281
2015-08-03,281
2015-08-04,275
2015-08-05,270
2015-08-06,270
2015-08-07,273
2015-08-08,273
2015-08-09,278
2015-08-10,278
2015-08-11,276
2015-08-12,276
2015-08-13,285
2015-08-14,297
2015-08-15,297
2015-08-16,305
2015-08-17,305
2015-08-18,314
2015-08-19,314
2015-08-20,311
2015-08-21,320
2015-08-22,320
2015-08-23,326
2015-08-24,326
2015-08-25,333
2015-08-26,333
2015-08-27,338
2015-08-28,338
2015-08-29,339
2015-08-30,339
2015-08-31,339
2015-09-01,339
2015-09-02,336
2015-09-03,336
2015-09-04,339
2015-09-05,339
2015-09-06,335
2015-09-07,335
2015-09-08,343
2015-09-09,343
2015-09-10,340
2015-09-11,340
2015-09-12,328
2015-09-13,328
2015-09-14,327
2015-09-15,327
2015-09-16,312
2015-09-17,311
2015-09-18,311
2015-09-19,305
2015-09-20,305
2015-09-21,301
2015-09-22,301
2015-09-23,297
2015-09-24,297
2015-09-25,297
2015-09-27,291
2015-09-28,302
2015-09-29,302
2015-09-30,304
2015-10-05,288
2015-10-06,288
2015-10-07,292
2015-10-08,292
2015-10-09,299
2015-10-10,299
2015-10-11,299
2015-10-12,299
2015-10-13,309
2015-10-14,309
2015-10-15,302
2015-10-16,302
2015-10-17,287
2015-10-18,287
2015-10-19,285
2015-10-20,285
2015-10-22,277
2015-10-23,273
2015-10-24,273
2015-10-25,281
2015-10-26,281
2015-10-27,292
2015-10-29,282
2015-10-30,282
2015-10-31,275
2015-11-01,275
2015-11-02,269
2015-11-03,269
2015-11-04,271
2015-11-05,271
2015-11-06,277
2015-11-07,283
2015-11-08,283
2015-11-09,272
2015-11-10,272
2015-11-11,270
2015-11-12,270
2015-11-13,271
2015-11-14,271
2015-11-15,262
2015-11-16,262
2015-11-17,260
2015-11-18,260
2015-11-19,258
2015-11-20,258
2015-11-21,261
2015-11-22,272
2015-11-23,272
2015-11-24,267
2015-11-25,261
2015-11-26,261
2015-11-27,269
2015-11-28,269
2015-11-29,271
2015-11-30,271
2015-12-01,281
2015-12-02,281
2015-12-03,290
2015-12-04,290
2015-12-05,302
