date_obj,Bronze%20platelegs%20(g) price
2015-03-26,81091
2015-03-27,81091
2015-03-28,79856
2015-03-29,78415
2015-03-30,78415
2015-03-31,76467
2015-04-01,76467
2015-04-02,74696
2015-04-03,74696
2015-04-04,72280
2015-04-05,72280
2015-04-06,69548
2015-04-07,69548
2015-04-08,66848
2015-04-09,66848
2015-04-10,64728
2015-04-11,64728
2015-04-12,61782
2015-04-13,61782
2015-04-14,59453
2015-04-15,57532
2015-04-16,57532
2015-04-17,55564
2015-04-18,53541
2015-04-19,53541
2015-04-20,51601
2015-04-21,51601
2015-04-22,49272
2015-04-23,47707
2015-04-24,47707
2015-04-25,45805
2015-04-26,45805
2015-04-27,44110
2015-04-28,44110
2015-04-29,43032
2015-04-30,43032
2015-05-01,41617
2015-05-02,41617
2015-05-03,40999
2015-05-04,40999
2015-05-05,39860
2015-05-06,39316
2015-05-07,39316
2015-05-08,38179
2015-05-09,38179
2015-05-10,38328
2015-05-11,38328
2015-05-12,38797
2015-05-13,38797
2015-05-14,39097
2015-05-15,39097
2015-05-16,38267
2015-05-17,37208
2015-05-18,37208
2015-05-19,35347
2015-05-20,35347
2015-05-21,33716
2015-05-22,32179
2015-05-23,32179
2015-05-24,31432
2015-05-25,30882
2015-05-26,30882
2015-05-27,29736
2015-05-28,29736
2015-05-29,29260
2015-05-30,28759
2015-05-31,28759
2015-06-01,29135
2015-06-02,29135
2015-06-03,29135
2015-06-04,29678
2015-06-05,29678
2015-06-06,30459
2015-06-07,30459
2015-06-08,29941
2015-06-09,29941
2015-06-10,30179
2015-06-11,30179
2015-06-12,30179
2015-06-13,30570
2015-06-14,30570
2015-06-15,30240
2015-06-16,30240
2015-06-17,30882
2015-06-18,30882
2015-06-19,32427
2015-06-20,32427
2015-06-21,32074
2015-06-22,32074
2015-06-23,32686
2015-06-24,32686
2015-06-25,33287
2015-06-26,33948
2015-06-27,33948
2015-06-28,35229
2015-06-29,35229
2015-06-30,36942
2015-07-01,36942
2015-07-02,36942
2015-07-03,38454
2015-07-04,38454
