date_obj,Saradomin%20stole price
2015-03-26,18809
2015-03-27,18809
2015-03-28,17868
2015-03-29,17051
2015-03-30,16198
2015-03-31,15388
2015-04-01,14803
2015-04-02,14302
2015-04-03,13963
2015-04-04,13269
2015-04-05,12605
2015-04-06,12078
2015-04-07,11642
2015-04-08,11438
2015-04-09,10866
2015-04-10,10762
2015-04-11,10468
2015-04-12,9945
2015-04-13,9557
2015-04-14,9266
2015-04-15,8890
2015-04-16,8463
2015-04-17,8039
2015-04-18,7737
2015-04-19,7559
2015-04-20,7456
2015-04-21,7265
2015-04-22,7105
2015-04-23,6849
2015-04-24,6625
2015-04-25,6462
2015-04-26,6366
2015-04-27,6333
2015-04-28,6542
2015-04-29,6542
2015-04-30,6568
2015-05-01,6546
2015-05-02,6581
2015-05-03,6746
2015-05-04,6868
2015-05-05,7084
2015-05-06,7285
2015-05-07,7558
2015-05-08,7564
2015-05-09,7676
2015-05-10,7709
2015-05-11,7709
2015-05-12,7802
2015-05-13,7903
2015-05-14,8021
2015-05-15,8064
2015-05-16,8158
2015-05-17,8244
2015-05-18,8284
2015-05-19,8326
2015-05-20,8326
2015-05-21,8245
2015-05-22,8169
2015-05-23,8177
2015-05-24,8152
2015-05-25,8124
2015-05-26,8122
2015-05-27,8047
2015-05-28,8027
2015-05-29,8032
2015-05-30,7957
2015-05-31,8143
2015-06-01,8065
2015-06-02,8065
2015-06-03,8220
2015-06-04,8277
2015-06-05,8355
2015-06-06,8512
2015-06-07,8480
2015-06-08,8455
2015-06-09,8408
2015-06-10,8369
2015-06-11,8286
2015-06-12,8286
2015-06-13,8308
2015-06-14,8240
2015-06-15,8270
2015-06-16,8261
2015-06-17,8261
2015-06-18,8212
2015-06-19,8270
2015-06-20,8372
2015-06-21,8268
2015-06-22,8106
2015-06-23,8045
2015-06-24,8026
2015-06-25,8026
2015-06-26,8007
2015-06-27,8007
2015-06-28,8112
2015-06-29,8112
2015-06-30,8323
2015-07-01,8527
2015-07-02,8527
2015-07-03,8517
2015-07-04,8552
2015-07-05,8620
2015-07-06,8832
2015-07-07,9048
2015-07-08,9364
2015-07-09,9364
2015-07-10,9606
2015-07-11,9606
2015-07-12,9547
2015-07-13,9491
2015-07-14,9418
2015-07-15,9286
2015-07-16,9225
2015-07-17,9066
2015-07-18,9066
2015-07-19,9001
2015-07-20,9008
2015-07-21,8782
2015-07-22,8814
2015-07-23,8814
2015-07-24,9019
2015-07-25,9029
2015-07-26,9102
2015-07-27,9383
2015-07-28,9746
2015-07-29,9693
2015-07-30,9693
2015-07-31,9208
2015-08-01,9208
2015-08-02,8944
2015-08-03,8944
2015-08-04,8875
2015-08-05,8726
2015-08-06,8763
2015-08-07,8908
2015-08-08,9294
2015-08-09,9471
2015-08-10,9467
2015-08-11,9581
2015-08-12,9581
2015-08-13,9640
2015-08-14,9704
2015-08-15,10062
2015-08-16,10227
2015-08-17,10185
2015-08-18,9722
2015-08-19,9359
2015-08-20,9369
2015-08-21,9466
2015-08-22,9477
2015-08-23,9477
2015-08-24,9114
2015-08-25,9114
2015-08-26,8927
2015-08-27,8675
2015-08-28,8675
2015-08-29,8572
2015-08-30,8572
2015-08-31,8509
2015-09-01,8483
2015-09-02,8483
2015-09-03,8549
2015-09-04,8472
2015-09-05,8472
2015-09-06,8385
2015-09-07,8331
2015-09-08,8111
2015-09-09,8010
2015-09-10,7627
2015-09-11,7297
2015-09-12,7170
2015-09-13,7213
2015-09-14,7119
2015-09-15,6872
2015-09-16,6872
2015-09-17,6730
2015-09-18,6730
2015-09-19,6626
2015-09-20,6626
2015-09-21,6392
2015-09-22,6547
2015-09-23,6460
2015-09-24,6460
2015-09-25,6493
2015-09-27,6442
2015-09-28,6351
2015-09-29,6351
2015-09-30,6126
2015-10-05,5958
2015-10-06,5872
2015-10-07,5872
2015-10-08,5783
2015-10-09,5632
2015-10-10,5632
2015-10-11,5569
2015-10-12,5538
2015-10-13,5538
2015-10-14,5449
2015-10-15,5176
2015-10-16,4924
2015-10-17,4924
2015-10-18,4741
2015-10-19,4634
2015-10-20,4483
2015-10-22,4344
2015-10-23,4291
2015-10-24,4291
2015-10-25,4477
2015-10-26,4664
2015-10-27,4664
2015-10-29,4629
2015-10-30,4500
2015-10-31,4483
2015-11-01,4483
2015-11-02,4415
2015-11-03,4415
2015-11-04,4385
2015-11-05,4178
2015-11-06,4178
2015-11-07,4208
2015-11-08,4208
2015-11-09,4416
2015-11-10,4416
2015-11-11,4627
2015-11-12,4627
2015-11-13,4815
2015-11-14,4815
2015-11-15,5015
2015-11-16,5015
2015-11-17,5045
2015-11-18,5045
2015-11-19,5204
2015-11-20,5369
2015-11-21,5369
2015-11-22,5428
2015-11-23,5428
2015-11-24,5218
2015-11-25,5116
2015-11-26,5116
2015-11-27,5115
2015-11-28,4988
2015-11-29,4825
2015-11-30,4879
2015-12-01,4879
2015-12-02,4997
2015-12-03,5070
2015-12-04,5070
2015-12-05,5056
2015-12-06,5142
2015-12-07,5142
2015-12-08,5153
2015-12-09,5297
2015-12-10,5441
2015-12-11,5623
2015-12-12,5741
2015-12-13,5913
2015-12-14,5913
2015-12-15,6199
2015-12-16,6311
2015-12-17,6311
2015-12-18,6520
2015-12-19,6779
2015-12-20,6998
2015-12-21,7308
2015-12-22,7604
2015-12-23,7905
2015-12-24,8273
2015-12-25,8598
2015-12-26,9007
2015-12-27,9310
2015-12-28,9445
2015-12-29,9104
2015-12-30,8992
2015-12-31,8861
2016-01-01,8861
2016-01-02,8790
2016-01-03,8582
2016-01-04,8363
2016-01-05,8274
2016-01-06,8080
2016-01-07,7892
2016-01-08,7854
2016-01-09,7799
2016-01-10,7702
2016-01-11,7710
2016-01-12,7592
2016-01-13,7926
2016-01-14,8301
2016-01-15,8674
2016-01-16,8891
2016-01-17,9271
2016-01-18,9683
2016-01-19,9683
2016-01-20,10167
2016-01-21,10167
2016-01-22,10418
2016-01-23,10117
2016-01-24,9797
2016-01-25,9385
2016-01-26,8980
2016-01-27,8562
2016-01-28,8562
2016-01-29,8278
2016-01-30,8278
2016-01-31,7997
2016-02-01,7765
2016-02-02,7530
