date_obj,Magic%20staff price
2015-03-26,2155
2015-03-27,2155
2015-03-28,2051
2015-03-29,1952
2015-03-30,1952
2015-03-31,1858
2015-04-01,1858
2015-04-02,1767
2015-04-03,1767
2015-04-04,1681
2015-04-05,1681
2015-04-06,1600
2015-04-07,1600
2015-04-08,1528
2015-04-09,1528
2015-04-10,1460
2015-04-11,1460
2015-04-12,1390
2015-04-13,1390
2015-04-14,1390
2015-04-15,1323
2015-04-16,1323
2015-04-17,1262
2015-04-18,1262
2015-04-19,1218
2015-04-20,1218
2015-04-21,1218
2015-04-22,1160
2015-04-23,1160
2015-04-24,1105
2015-04-25,1105
2015-04-26,1054
2015-04-27,1054
2015-04-28,1003
2015-04-29,1003
2015-04-30,955
2015-05-01,955
2015-05-02,911
2015-05-03,911
2015-05-04,870
2015-05-05,870
2015-05-06,829
2015-05-07,829
2015-05-08,829
2015-05-09,789
2015-05-10,789
2015-05-11,789
2015-05-12,752
2015-05-13,752
2015-05-14,717
2015-05-15,717
2015-05-16,717
2015-05-17,683
2015-05-18,683
2015-05-19,650
2015-05-20,650
2015-05-21,650
2015-05-22,620
2015-05-23,620
2015-05-24,593
2015-05-25,593
2015-05-26,566
2015-05-27,566
2015-05-28,540
2015-05-29,540
2015-05-30,513
2015-05-31,513
2015-06-01,489
2015-06-02,489
2015-06-03,467
2015-06-04,467
2015-06-05,444
2015-06-06,444
2015-06-07,424
2015-06-08,424
2015-06-09,404
2015-06-10,404
2015-06-11,385
2015-06-12,385
2015-06-13,367
2015-06-14,367
2015-06-15,349
2015-06-16,349
2015-06-17,332
2015-06-18,332
2015-06-19,316
2015-06-20,316
2015-06-21,301
2015-06-22,301
2015-06-23,292
2015-06-24,292
2015-06-25,289
2015-06-26,289
2015-06-27,280
2015-06-28,280
2015-06-29,279
2015-06-30,279
2015-07-01,283
2015-07-02,283
2015-07-03,283
2015-07-04,286
2015-07-05,286
2015-07-06,286
2015-07-07,275
2015-07-08,275
2015-07-09,275
2015-07-10,283
2015-07-11,283
2015-07-12,283
2015-07-13,279
2015-07-14,279
2015-07-15,279
2015-07-16,271
2015-07-17,271
2015-07-18,271
2015-07-19,264
2015-07-20,264
2015-07-21,264
2015-07-22,257
2015-07-23,257
2015-07-24,248
2015-07-25,248
2015-07-26,248
2015-07-27,238
2015-07-28,238
2015-07-29,227
2015-07-30,227
2015-07-31,227
2015-08-01,220
2015-08-02,220
2015-08-03,210
2015-08-04,210
2015-08-05,201
2015-08-06,201
2015-08-07,201
2015-08-08,191
2015-08-09,191
2015-08-10,184
2015-08-11,184
2015-08-12,184
2015-08-13,189
2015-08-14,189
2015-08-15,183
2015-08-16,183
2015-08-17,183
2015-08-18,181
2015-08-19,181
2015-08-20,181
2015-08-21,174
2015-08-22,174
2015-08-23,174
2015-08-24,181
2015-08-25,181
2015-08-26,181
2015-08-27,183
2015-08-28,183
2015-08-29,183
2015-08-30,186
2015-08-31,186
2015-09-01,186
2015-09-02,188
2015-09-03,188
2015-09-04,188
2015-09-05,190
2015-09-06,190
2015-09-07,190
2015-09-08,198
2015-09-09,198
2015-09-10,198
2015-09-11,202
2015-09-12,202
2015-09-13,202
2015-09-14,202
2015-09-15,202
2015-09-16,202
2015-09-17,201
2015-09-18,201
2015-09-19,201
2015-09-20,205
2015-09-21,205
2015-09-22,205
2015-09-23,207
2015-09-24,207
2015-09-25,207
2015-09-27,207
2015-09-28,207
2015-09-29,207
2015-09-30,206
2015-10-05,216
2015-10-06,216
2015-10-07,224
2015-10-08,224
2015-10-09,224
2015-10-10,226
2015-10-11,226
2015-10-12,234
2015-10-13,234
2015-10-14,234
2015-10-15,239
2015-10-16,239
2015-10-17,239
2015-10-18,239
2015-10-19,239
2015-10-20,239
2015-10-22,236
2015-10-23,236
2015-10-24,238
2015-10-25,238
2015-10-26,242
2015-10-27,242
2015-10-29,248
2015-10-30,248
2015-10-31,248
2015-11-01,254
2015-11-02,254
2015-11-03,254
2015-11-04,257
2015-11-05,257
2015-11-06,257
2015-11-07,253
2015-11-08,253
2015-11-09,253
2015-11-10,253
2015-11-11,260
2015-11-12,260
2015-11-13,260
2015-11-14,258
2015-11-15,258
2015-11-16,258
2015-11-17,262
2015-11-18,262
2015-11-19,250
2015-11-20,250
2015-11-21,250
2015-11-22,245
2015-11-23,245
2015-11-24,245
2015-11-25,234
2015-11-26,234
2015-11-27,234
2015-11-28,225
2015-11-29,225
2015-11-30,215
2015-12-01,215
2015-12-02,215
2015-12-03,209
2015-12-04,209
2015-12-05,209
2015-12-06,203
2015-12-07,203
2015-12-08,203
2015-12-09,194
2015-12-10,194
2015-12-11,194
2015-12-12,189
2015-12-13,189
2015-12-14,189
2015-12-15,186
2015-12-16,186
2015-12-17,186
2015-12-18,177
2015-12-19,177
2015-12-20,169
2015-12-21,169
