date_obj,Cosmic%20talisman price
2015-03-26,2004
2015-03-27,1918
2015-03-28,1827
2015-03-29,1745
2015-03-30,1663
2015-03-31,1584
2015-04-01,1508
2015-04-02,1438
2015-04-03,1373
2015-04-04,1308
2015-04-05,1249
2015-04-06,1190
2015-04-07,1131
2015-04-08,1131
2015-04-09,1075
2015-04-10,1022
2015-04-11,984
2015-04-12,936
2015-04-13,891
2015-04-14,848
2015-04-15,807
2015-04-16,768
2015-04-17,731
2015-04-18,731
2015-04-19,695
2015-04-20,695
2015-04-21,662
2015-04-22,662
2015-04-23,629
2015-04-24,629
2015-04-25,598
2015-04-26,598
2015-04-27,569
2015-04-28,542
2015-04-29,542
2015-04-30,515
2015-05-01,490
2015-05-02,490
2015-05-03,468
2015-05-04,468
2015-05-05,453
2015-05-06,453
2015-05-07,439
2015-05-08,439
2015-05-09,429
2015-05-10,429
2015-05-11,429
2015-05-12,409
2015-05-13,409
2015-05-14,389
2015-05-15,389
2015-05-16,389
2015-05-17,377
2015-05-18,377
2015-05-19,364
2015-05-20,364
2015-05-21,364
2015-05-22,355
2015-05-23,355
2015-05-24,355
2015-05-25,343
2015-05-26,343
2015-05-27,343
2015-05-28,325
2015-05-29,325
2015-05-30,308
2015-05-31,308
2015-06-01,303
2015-06-02,303
2015-06-03,297
2015-06-04,297
2015-06-05,289
2015-06-06,289
2015-06-07,277
2015-06-08,277
2015-06-09,269
2015-06-10,269
2015-06-11,269
2015-06-12,257
2015-06-13,257
2015-06-14,245
2015-06-15,245
2015-06-16,237
2015-06-17,237
2015-06-18,247
2015-06-19,247
2015-06-20,234
2015-06-21,234
2015-06-22,230
2015-06-23,230
2015-06-24,227
2015-06-25,227
2015-06-26,216
2015-06-27,216
2015-06-28,212
2015-06-29,212
2015-06-30,202
2015-07-01,202
2015-07-02,195
2015-07-03,195
2015-07-04,189
2015-07-05,189
2015-07-06,186
2015-07-07,186
2015-07-08,184
2015-07-09,184
2015-07-10,175
2015-07-11,175
2015-07-12,175
2015-07-13,175
2015-07-14,184
2015-07-15,184
2015-07-16,194
2015-07-17,194
2015-07-18,202
2015-07-19,202
2015-07-20,203
2015-07-21,203
2015-07-22,193
2015-07-23,193
2015-07-24,190
2015-07-25,190
2015-07-26,190
2015-07-27,189
2015-07-28,189
2015-07-29,191
2015-07-30,191
2015-07-31,191
2015-08-01,189
2015-08-02,189
2015-08-03,192
2015-08-04,192
2015-08-05,198
2015-08-06,198
2015-08-07,201
2015-08-08,201
2015-08-09,197
2015-08-10,197
2015-08-11,202
2015-08-12,202
2015-08-13,202
2015-08-14,209
2015-08-15,209
2015-08-16,209
2015-08-17,208
2015-08-18,208
2015-08-19,198
2015-08-20,198
2015-08-21,203
2015-08-22,203
2015-08-23,204
2015-08-24,204
2015-08-25,204
2015-08-26,205
2015-08-27,205
2015-08-28,203
2015-08-29,203
2015-08-30,203
2015-08-31,199
