date_obj,Book%20of%20war%20page%20set price
2015-03-26,97006
2015-03-27,97006
2015-03-28,97006
2015-03-29,97006
2015-03-30,97006
2015-03-31,97006
2015-04-01,92264
2015-04-02,92264
2015-04-03,92264
2015-04-04,92264
2015-04-05,92264
2015-04-06,92264
2015-04-07,87797
2015-04-08,87797
2015-04-09,87797
2015-04-10,87797
2015-04-11,87797
2015-04-12,87797
2015-04-13,87797
2015-04-14,83498
2015-04-15,83498
2015-04-16,83498
2015-04-17,83498
2015-04-18,83498
2015-04-19,83498
2015-04-20,83498
2015-04-21,79409
2015-04-22,79409
2015-04-23,79409
2015-04-24,79409
2015-04-25,79409
2015-04-26,79409
2015-04-27,79409
2015-04-28,75438
2015-04-29,75438
2015-04-30,75438
2015-05-01,75438
2015-05-02,75438
2015-05-03,75438
2015-05-04,75438
2015-05-05,71682
2015-05-06,71682
2015-05-07,71682
2015-05-08,71682
2015-05-09,71682
2015-05-10,71682
2015-05-11,71682
2015-05-12,68188
2015-05-13,68188
2015-05-14,68188
2015-05-15,68188
2015-05-16,68188
2015-05-17,68188
2015-05-18,68188
2015-05-19,68188
2015-05-20,64823
2015-05-21,64823
2015-05-22,64823
2015-05-23,64823
2015-05-24,64823
2015-05-25,64823
2015-05-26,64823
2015-05-27,61581
2015-05-28,61581
2015-05-29,61581
2015-05-30,61581
2015-05-31,60235
2015-06-01,60235
2015-06-02,60235
2015-06-03,60235
2015-06-04,60235
2015-06-05,57896
2015-06-06,57896
2015-06-07,57896
2015-06-08,57896
2015-06-09,55020
2015-06-10,55020
2015-06-11,55020
2015-06-12,55020
2015-06-13,52371
2015-06-14,52371
2015-06-15,52371
2015-06-16,52371
2015-06-17,52371
2015-06-18,49752
2015-06-19,49752
2015-06-20,49752
2015-06-21,49752
2015-06-22,47368
2015-06-23,47368
2015-06-24,47368
2015-06-25,47368
2015-06-26,47368
2015-06-27,44999
2015-06-28,44999
2015-06-29,44999
2015-06-30,44999
2015-07-01,42749
2015-07-02,42749
2015-07-03,42749
2015-07-04,42749
2015-07-05,40675
2015-07-06,40675
2015-07-07,40675
2015-07-08,40675
2015-07-09,40675
2015-07-10,38641
2015-07-11,38641
2015-07-12,38641
2015-07-13,38641
2015-07-14,38641
2015-07-15,36929
2015-07-16,36929
2015-07-17,36929
2015-07-18,36929
2015-07-19,35093
2015-07-20,35093
2015-07-21,35093
2015-07-22,35093
2015-07-23,35093
2015-07-24,33338
2015-07-25,33338
2015-07-26,33338
2015-07-27,33338
2015-07-28,31688
2015-07-29,31688
2015-07-30,31688
2015-07-31,31688
2015-08-01,30103
2015-08-02,30103
2015-08-03,30103
2015-08-04,30103
2015-08-05,29141
2015-08-06,29141
2015-08-07,29141
2015-08-08,29141
2015-08-09,27683
2015-08-10,27683
2015-08-11,27683
2015-08-12,27683
2015-08-13,27683
2015-08-14,26382
2015-08-15,26382
2015-08-16,26382
2015-08-17,26382
2015-08-18,25656
2015-08-19,25656
2015-08-20,25656
2015-08-21,25656
2015-08-22,24433
2015-08-23,24433
2015-08-24,24433
2015-08-25,24433
2015-08-26,24433
2015-08-27,23739
2015-08-28,23739
2015-08-29,23739
2015-08-30,23739
2015-08-31,23739
2015-09-01,23130
2015-09-02,23130
2015-09-03,23130
2015-09-04,23130
2015-09-05,23130
2015-09-06,23130
2015-09-07,23938
2015-09-08,23938
2015-09-09,23938
2015-09-10,23938
2015-09-11,23938
2015-09-12,25077
2015-09-13,25077
2015-09-14,25077
2015-09-15,25077
2015-09-16,25077
2015-09-17,26284
2015-09-18,26284
2015-09-19,26284
2015-09-20,26284
2015-09-21,26284
2015-09-22,27199
2015-09-23,27199
2015-09-24,27199
2015-09-25,27199
2015-09-27,28174
2015-09-28,28174
2015-09-29,28174
2015-09-30,28174
2015-10-05,29226
2015-10-06,29226
2015-10-07,30559
2015-10-08,30559
2015-10-09,30559
2015-10-10,30559
2015-10-11,30559
2015-10-12,29880
2015-10-13,29880
2015-10-14,29880
2015-10-15,29880
2015-10-16,29880
2015-10-17,29880
2015-10-18,28386
2015-10-19,28386
2015-10-20,28386
2015-10-22,28386
2015-10-23,26967
2015-10-24,26967
2015-10-25,26967
2015-10-26,26967
2015-10-27,26967
2015-10-29,25945
2015-10-30,25945
2015-10-31,25945
2015-11-01,25945
2015-11-02,25945
2015-11-03,25945
2015-11-04,24881
2015-11-05,24881
2015-11-06,24881
2015-11-07,24881
2015-11-08,24881
2015-11-09,24881
2015-11-10,24599
2015-11-11,24599
2015-11-12,24599
2015-11-13,24599
2015-11-14,24599
2015-11-15,24599
2015-11-16,23649
2015-11-17,23649
2015-11-18,23649
2015-11-19,23649
2015-11-20,23649
2015-11-21,23649
2015-11-22,22466
2015-11-23,22466
2015-11-24,22466
2015-11-25,22466
2015-11-26,22466
2015-11-27,22466
2015-11-28,22056
2015-11-29,22056
2015-11-30,22056
2015-12-01,22056
2015-12-02,22056
2015-12-03,22910
2015-12-04,22910
2015-12-05,22910
2015-12-06,22910
2015-12-07,22910
2015-12-08,22910
2015-12-09,23285
2015-12-10,23285
2015-12-11,23285
2015-12-12,23285
2015-12-13,23285
2015-12-14,24018
2015-12-15,24018
2015-12-16,24018
2015-12-17,24018
2015-12-18,24018
2015-12-19,25107
2015-12-20,25107
2015-12-21,25107
2015-12-22,25107
2015-12-23,24396
2015-12-24,24396
2015-12-25,24396
2015-12-26,24396
2015-12-27,23217
2015-12-28,23217
2015-12-29,23217
2015-12-30,23217
2015-12-31,23903
2016-01-01,23903
2016-01-02,23903
2016-01-03,23903
2016-01-04,24795
2016-01-05,24795
2016-01-06,24795
2016-01-07,24795
2016-01-08,24795
2016-01-09,25656
2016-01-10,25656
2016-01-11,25656
2016-01-12,25656
2016-01-13,25656
2016-01-14,26407
2016-01-15,26407
2016-01-16,26407
2016-01-17,26407
2016-01-18,26407
2016-01-19,27065
2016-01-20,27065
2016-01-21,27065
2016-01-22,27065
2016-01-23,27065
2016-01-24,28386
2016-01-25,28386
2016-01-26,28386
2016-01-27,28386
2016-01-28,28386
2016-01-29,29806
2016-01-30,29806
2016-01-31,29806
2016-02-01,29806
2016-02-02,29806
2016-02-03,31014
2016-02-04,31014
2016-02-05,31014
2016-02-06,31014
2016-02-07,31014
2016-02-08,32160
2016-02-09,32160
2016-02-10,32160
2016-02-11,32160
2016-02-12,32160
2016-02-13,33171
2016-02-14,33171
2016-02-15,33171
2016-02-16,33171
2016-02-17,33171
2016-02-18,34180
2016-02-19,34180
2016-02-20,34180
2016-02-21,34180
2016-02-22,34180
2016-02-23,35687
2016-02-24,35687
2016-02-25,35687
2016-02-26,35687
2016-02-27,35687
2016-02-28,36983
2016-02-29,36983
2016-03-01,36983
2016-03-02,36983
2016-03-03,37153
2016-03-04,37153
2016-03-05,37153
2016-03-06,38690
2016-03-07,38690
2016-03-08,38690
2016-03-09,38690
2016-03-10,40441
2016-03-11,40441
2016-03-12,40441
2016-03-13,40441
2016-03-14,42064
2016-03-15,42064
2016-03-16,42064
2016-03-17,42064
2016-03-18,44168
2016-03-19,44168
2016-03-20,44168
2016-03-21,44168
2016-03-22,46279
2016-03-23,46279
2016-03-24,46279
2016-03-25,46279
2016-03-26,48511
2016-03-27,48511
2016-03-28,48511
2016-03-29,48511
2016-03-30,48511
2016-03-31,50097
2016-04-01,50097
2016-04-02,50097
2016-04-03,50097
2016-04-04,50097
2016-04-05,52029
2016-04-06,52029
2016-04-07,52029
2016-04-08,52029
2016-04-09,53368
2016-04-10,53368
2016-04-11,53368
2016-04-12,53368
2016-04-13,53368
2016-04-14,51145
2016-04-15,51145
2016-04-16,51145
2016-04-17,51145
2016-04-18,50914
2016-04-19,50914
2016-04-20,50914
2016-04-21,50914
2016-04-22,50914
2016-04-23,49738
2016-04-24,49738
2016-04-25,49738
2016-04-26,49738
2016-04-27,49369
2016-04-28,49369
2016-04-29,49369
2016-04-30,49369
2016-05-01,49369
2016-05-02,48857
2016-05-03,48857
2016-05-04,48857
2016-05-05,48857
2016-05-06,48857
2016-05-07,46495
2016-05-08,46495
2016-05-09,46495
2016-05-10,46495
2016-05-11,44193
2016-05-12,44193
2016-05-13,44193
2016-05-14,44193
2016-05-15,41983
2016-05-16,41983
2016-05-17,41983
2016-05-18,41983
2016-05-19,41983
2016-05-22,39883
2016-05-23,39883
2016-05-24,37888
2016-05-25,37888
2016-05-26,37888
2016-05-27,37888
2016-05-28,35993
2016-05-29,35993
2016-05-30,35993
2016-05-31,35993
2016-06-01,34193
2016-06-02,34193
2016-06-03,34193
2016-06-04,34193
2016-06-05,32711
2016-06-06,32711
2016-06-07,32711
2016-06-08,32711
2016-06-09,33334
2016-06-10,33334
2016-06-11,33334
2016-06-12,33334
2016-06-13,33334
2016-06-14,33978
2016-06-15,33978
2016-06-16,33978
2016-06-17,33978
2016-06-18,33737
2016-06-19,33737
2016-06-20,33737
2016-06-21,33737
2016-06-22,33177
2016-06-23,33177
2016-06-24,33177
2016-06-25,33177
2016-06-26,33177
2016-06-27,33479
2016-06-28,33479
2016-06-29,33479
2016-06-30,33479
2016-07-01,32756
2016-07-02,32756
2016-07-03,32756
2016-07-04,32756
2016-07-05,31925
2016-07-06,31925
2016-07-07,31925
2016-07-08,32464
2016-07-09,32464
2016-07-10,32464
2016-07-11,33174
2016-07-12,33174
2016-07-13,33174
2016-07-14,33174
2016-07-15,33089
2016-07-16,33089
2016-07-17,33089
2016-07-18,33089
2016-07-23,32658
2016-07-24,32660
2016-07-25,32660
2016-07-26,32660
2016-07-27,32660
2016-07-28,32660
2016-07-29,31718
2016-07-30,31718
2016-07-31,31718
2016-08-01,31718
2016-08-02,31718
2016-08-03,32450
2016-08-04,32450
2016-08-05,32450
2016-08-06,32450
2016-08-07,32450
2016-08-08,32308
2016-08-09,32308
2016-08-10,32308
2016-08-11,32308
2016-08-12,32308
2016-08-13,32308
2016-08-14,32169
2016-08-15,32169
2016-08-16,32169
2016-08-17,32169
2016-08-18,32169
2016-08-19,32825
2016-08-20,32825
2016-08-21,32825
2016-08-22,32825
2016-08-23,32825
2016-08-24,33710
2016-08-25,33710
2016-08-26,33710
2016-08-28,33710
2016-08-31,34689
2016-09-01,34689
2016-09-02,34689
2016-09-03,34689
2016-09-04,34689
2016-09-05,35091
2016-09-06,35091
2016-09-07,35091
2016-09-08,35091
2016-09-09,35091
2016-09-10,35091
2016-09-11,35091
2016-09-12,35100
2016-09-13,35100
2016-09-14,35100
2016-09-15,35100
2016-09-16,35100
2016-09-17,34477
2016-09-18,34477
2016-09-19,34477
2016-09-20,34477
2016-09-21,34477
2016-09-22,34477
2016-09-23,33602
2016-09-24,33602
2016-09-25,33602
2016-09-26,33602
2016-09-27,33602
2016-09-28,33602
2016-09-29,33602
2016-09-30,34221
2016-10-01,34221
2016-10-02,34221
2016-10-03,34221
2016-10-04,34221
2016-10-05,34221
2016-10-06,35261
2016-10-07,35261
2016-10-08,35261
2016-10-09,35261
2016-10-10,35261
2016-10-11,35261
2016-10-12,35697
2016-10-13,35697
2016-10-14,35697
2016-10-15,35697
2016-10-16,35697
2016-10-17,35056
2016-10-18,35056
2016-10-19,35056
2016-10-20,35056
2016-10-21,35056
2016-10-22,35056
2016-10-23,35699
2016-10-24,35699
2016-10-25,35699
2016-10-26,35699
2016-10-27,35699
2016-10-28,35699
2016-10-29,35279
2016-10-30,35279
2016-10-31,35279
2016-11-01,35279
2016-11-02,35279
2016-11-03,35279
2016-11-04,34751
2016-11-05,34751
2016-11-06,34751
2016-11-07,34751
2016-11-08,34751
2016-11-09,34751
2016-11-10,35842
2016-11-11,35842
2016-11-12,35842
2016-11-13,35842
2016-11-14,35842
2016-11-15,35842
2016-12-07,32221
2016-12-08,31820
2016-12-09,31820
2016-12-10,31820
2016-12-11,31820
2016-12-12,31820
2016-12-13,31820
2016-12-14,30384
2016-12-15,30384
2016-12-16,30384
2016-12-17,30384
2016-12-18,30384
2016-12-19,30384
2016-12-20,30740
2016-12-21,30740
2016-12-22,30740
2016-12-23,30740
2016-12-24,30740
2016-12-25,31921
2016-12-26,31921
2016-12-27,31921
2016-12-28,31921
2016-12-29,31921
2016-12-30,31171
2016-12-31,31171
2017-01-01,31171
2017-01-02,31171
2017-01-03,31171
2017-01-04,29612
2017-01-05,29612
2017-01-06,29612
2017-01-07,29612
2017-01-08,29612
2017-01-09,28131
2017-01-10,28131
2017-01-11,28131
2017-01-12,28131
2017-01-13,28131
2017-01-14,26724
2017-01-15,26724
2017-01-16,26724
2017-01-17,26724
2017-01-18,25387
2017-01-19,25387
2017-01-20,25387
2017-01-21,25387
2017-01-22,25387
2017-01-23,24117
2017-01-27,23838
2017-01-28,23838
2017-01-29,23838
2017-01-30,23838
2017-01-31,23838
2017-02-01,23460
2017-02-02,23460
2017-02-03,23460
2017-02-04,23460
2017-02-05,23460
2017-02-06,24172
2017-02-07,24172
2017-02-08,24172
2017-02-09,24172
2017-02-10,25259
2017-02-11,25259
2017-02-12,25259
2017-02-13,25259
2017-02-14,26365
2017-02-15,26365
2017-02-16,26365
2017-02-18,26365
2017-02-19,27400
2017-02-20,27400
2017-02-21,27400
2017-02-22,27400
2017-02-23,27400
2017-02-24,27400
2017-02-25,28440
2017-02-26,28440
2017-02-27,28440
2017-02-28,28440
2017-03-01,29154
2017-03-02,29154
2017-03-03,29154
2017-03-04,29154
2017-03-05,29154
2017-03-06,28479
2017-03-07,28479
2017-03-08,28479
2017-03-09,28479
2017-03-10,28479
2017-03-11,28254
2017-03-12,28254
2017-03-13,28254
2017-03-14,28254
2017-03-15,27614
2017-03-16,27614
2017-03-17,27614
2017-03-18,27614
2017-03-19,26233
2017-03-20,26233
2017-03-21,26233
2017-03-22,26233
2017-03-23,26233
2017-03-24,24950
2017-03-25,24950
2017-03-26,24950
2017-03-27,24950
2017-03-28,24618
2017-03-29,24618
2017-03-30,24618
2017-03-31,25475
2017-04-01,25475
2017-04-02,25475
2017-04-03,25475
2017-04-04,26310
2017-04-12,27139
2017-04-13,27139
2017-04-14,25878
2017-04-15,25878
2017-04-16,25878
2017-04-17,25878
2017-04-18,25160
2017-04-19,25160
2017-04-20,25160
2017-04-21,25160
2017-04-22,25160
2017-04-23,24575
2017-04-24,24575
2017-04-25,24575
2017-04-26,24575
2017-04-27,23509
2017-04-28,23509
2017-04-29,23509
2017-04-30,23509
2017-05-01,22798
2017-05-02,22798
2017-05-03,22798
2017-05-04,22798
2017-05-05,22798
2017-05-06,23284
2017-05-07,23284
2017-05-08,23284
2017-05-09,23284
2017-05-10,23992
2017-05-11,23992
2017-05-12,23992
2017-05-13,23992
2017-05-14,25032
2017-05-15,25032
2017-05-16,25032
2017-05-17,25032
2017-05-18,25032
2017-05-19,24367
2017-05-20,24367
2017-05-21,24367
2017-05-22,24367
2017-05-23,23148
2017-05-24,23148
2017-05-25,23148
2017-05-26,23148
2017-05-27,23148
