date_obj,Black%20plateskirt%20(t) price
2015-03-26,12490
2015-03-27,12490
2015-03-28,12490
2015-03-29,12490
2015-03-30,12490
2015-03-31,12490
2015-04-01,12490
2015-04-02,12490
2015-04-03,12490
2015-04-04,11911
2015-04-05,11911
2015-04-06,11911
2015-04-07,11911
2015-04-08,11911
2015-04-09,11911
2015-04-10,11911
2015-04-11,11911
2015-04-12,11911
2015-04-13,11911
2015-04-14,11366
2015-04-15,11366
2015-04-16,11366
2015-04-17,11366
2015-04-18,11366
2015-04-19,11366
2015-04-20,11366
2015-04-21,11366
2015-04-22,11366
2015-04-23,11366
2015-04-24,11366
2015-04-25,11366
2015-04-26,10830
2015-04-27,10830
2015-04-28,10830
2015-04-29,10830
2015-04-30,10830
2015-05-01,10830
2015-05-02,10830
2015-05-03,10830
2015-05-04,10830
2015-05-05,10830
2015-05-06,10316
2015-05-07,10316
2015-05-08,10316
2015-05-09,10316
2015-05-10,10316
2015-05-11,10316
2015-05-12,10316
2015-05-13,10316
2015-05-14,10316
2015-05-15,10316
2015-05-16,10316
2015-05-17,9827
2015-05-18,9827
2015-05-19,9827
2015-05-20,9827
2015-05-21,9827
2015-05-22,9827
2015-05-23,9827
2015-05-24,9827
2015-05-25,9827
2015-05-26,9827
2015-05-27,9827
2015-05-28,9378
2015-05-29,9378
2015-05-30,9378
2015-05-31,9378
2015-06-01,9378
2015-06-02,9378
2015-06-03,9378
2015-06-04,9378
2015-06-05,9378
2015-06-06,8972
2015-06-07,8972
2015-06-08,8972
2015-06-09,8972
2015-06-10,8972
2015-06-11,8972
2015-06-12,8972
2015-06-13,8972
2015-06-14,8972
2015-06-15,8972
2015-06-16,8972
2015-06-17,8648
2015-06-18,8648
2015-06-19,8648
2015-06-20,8648
2015-06-21,8648
2015-06-22,8648
2015-06-23,8648
2015-06-24,8648
2015-06-25,8648
2015-06-26,8648
2015-06-27,8648
2015-06-28,8246
2015-06-29,8246
2015-06-30,8246
2015-07-01,8246
2015-07-02,8246
2015-07-03,8246
2015-07-04,8246
2015-07-05,8246
2015-07-06,8246
2015-07-07,8246
2015-07-08,8246
2015-07-09,8246
2015-07-10,8246
2015-07-11,8246
2015-07-12,7878
2015-07-13,7878
2015-07-14,7878
2015-07-15,7878
2015-07-16,7878
2015-07-17,7878
2015-07-18,7878
2015-07-19,7878
2015-07-20,7878
2015-07-21,7878
2015-07-22,7878
2015-07-23,7516
2015-07-24,7516
2015-07-25,7516
2015-07-26,7516
2015-07-27,7516
2015-07-28,7516
2015-07-29,7516
2015-07-30,7516
2015-07-31,7516
2015-08-01,7516
2015-08-02,7516
2015-08-03,7516
2015-08-04,7516
2015-08-05,7173
2015-08-06,7173
2015-08-07,7173
2015-08-08,7173
2015-08-09,7173
2015-08-10,7173
2015-08-11,7173
2015-08-12,7173
2015-08-13,7173
2015-08-14,7173
2015-08-15,7173
2015-08-16,7173
2015-08-17,6855
2015-08-18,6855
2015-08-19,6855
2015-08-20,6855
2015-08-21,6855
2015-08-22,6855
2015-08-23,6855
2015-08-24,6855
2015-08-25,6855
2015-08-26,6855
2015-08-27,6855
2015-08-28,6855
2015-08-29,6546
2015-08-30,6546
2015-08-31,6546
2015-09-01,6546
2015-09-02,6546
2015-09-03,6546
2015-09-04,6546
2015-09-05,6546
2015-09-06,6546
2015-09-07,6546
2015-09-08,6546
2015-09-09,6546
2015-09-10,6546
2015-09-11,6546
2015-09-12,6546
2015-09-13,6248
2015-09-14,6248
2015-09-15,6248
2015-09-16,6248
2015-09-17,6248
2015-09-18,6248
2015-09-19,6248
2015-09-20,6248
2015-09-21,6248
2015-09-22,6248
2015-09-23,6248
2015-09-24,6248
2015-09-25,6248
2015-09-27,6065
2015-09-28,6065
2015-09-29,6065
2015-09-30,6065
2015-10-05,6065
2015-10-06,6065
2015-10-07,6065
2015-10-08,6065
2015-10-09,6065
2015-10-10,6065
2015-10-11,6065
2015-10-12,5787
2015-10-13,5787
2015-10-14,5787
2015-10-15,5787
2015-10-16,5787
2015-10-17,5787
2015-10-18,5787
2015-10-19,5787
2015-10-20,5787
