date_obj,Mithril%20warhammer price
2015-03-26,862
2015-03-27,862
2015-03-28,862
2015-03-29,862
2015-03-30,862
2015-03-31,862
2015-04-01,862
2015-04-02,862
2015-04-03,862
2015-04-04,862
2015-04-05,862
2015-04-06,862
2015-04-07,864
2015-04-08,864
2015-04-09,864
2015-04-10,864
2015-04-11,864
2015-04-12,864
2015-04-13,864
2015-04-14,864
2015-04-15,864
2015-04-16,864
2015-04-17,864
2015-04-18,864
2015-04-19,864
2015-04-20,864
2015-04-21,869
2015-04-22,869
2015-04-23,869
2015-04-24,869
2015-04-25,869
2015-04-26,869
2015-04-27,869
2015-04-28,869
2015-04-29,869
2015-04-30,869
2015-05-01,869
2015-05-02,869
2015-05-03,869
2015-05-04,864
2015-05-05,864
2015-05-06,864
2015-05-07,864
2015-05-08,864
2015-05-09,864
2015-05-10,864
2015-05-11,864
2015-05-12,864
2015-05-13,864
2015-05-14,864
2015-05-15,864
2015-05-16,864
2015-05-17,855
2015-05-18,855
2015-05-19,855
2015-05-20,855
2015-05-21,855
2015-05-22,855
2015-05-23,855
2015-05-24,855
2015-05-25,855
2015-05-26,855
2015-05-27,855
2015-05-28,837
2015-05-29,837
2015-05-30,837
2015-05-31,837
2015-06-01,837
2015-06-02,837
2015-06-03,837
2015-06-04,837
2015-06-05,837
2015-06-06,824
2015-06-07,824
2015-06-08,824
2015-06-09,824
2015-06-10,824
2015-06-11,824
2015-06-12,824
2015-06-13,824
2015-06-14,824
2015-06-15,824
2015-06-16,824
2015-06-17,831
2015-06-18,831
2015-06-19,831
2015-06-20,831
2015-06-21,831
2015-06-22,831
2015-06-23,831
2015-06-24,831
2015-06-25,831
2015-06-26,831
2015-06-27,831
2015-06-28,831
2015-06-29,831
2015-06-30,831
2015-07-01,831
2015-07-02,831
2015-07-03,831
2015-07-04,831
2015-07-05,831
2015-07-06,816
2015-07-07,816
2015-07-08,816
2015-07-09,816
2015-07-10,816
2015-07-11,816
2015-07-12,816
2015-07-13,816
2015-07-14,816
2015-07-15,816
2015-07-16,816
2015-07-17,816
2015-07-18,816
2015-07-19,816
2015-07-20,816
2015-07-21,816
2015-07-22,816
2015-07-23,816
2015-07-24,816
2015-07-25,816
2015-07-26,816
2015-07-27,801
2015-07-28,801
2015-07-29,801
2015-07-30,801
2015-07-31,801
2015-08-01,801
2015-08-02,801
2015-08-03,801
2015-08-04,801
2015-08-05,813
2015-08-06,813
2015-08-07,813
2015-08-08,813
2015-08-09,813
2015-08-10,813
2015-08-11,813
2015-08-12,813
2015-08-13,813
2015-08-14,813
2015-08-15,813
2015-08-16,813
2015-08-17,813
2015-08-18,813
2015-08-19,813
2015-08-20,813
2015-08-21,813
2015-08-22,813
2015-08-23,813
2015-08-24,831
2015-08-25,831
2015-08-26,831
2015-08-27,831
2015-08-28,831
2015-08-29,831
2015-08-30,831
2015-08-31,831
2015-09-01,831
2015-09-02,831
2015-09-03,831
2015-09-04,842
2015-09-05,842
2015-09-06,842
2015-09-07,842
