date_obj,Ensouled%20unicorn%20head price
2016-01-08,2746
2016-01-09,2741
2016-01-10,2741
2016-01-11,2614
2016-01-12,2560
2016-01-13,2560
2016-01-14,2439
2016-01-15,2439
2016-01-16,2369
2016-01-17,2261
2016-01-18,2158
2016-01-19,2056
2016-01-20,1964
2016-01-21,1885
2016-01-22,1802
2016-01-23,1724
2016-01-24,1724
2016-01-25,1645
2016-01-26,1567
2016-01-27,1495
2016-01-28,1495
2016-01-29,1472
2016-01-30,1472
2016-01-31,1415
2016-02-01,1415
2016-02-02,1365
2016-02-03,1365
2016-02-04,1338
2016-02-05,1338
2016-02-06,1338
2016-02-07,1392
2016-02-08,1392
2016-02-09,1392
2016-02-10,1376
2016-02-11,1376
2016-02-12,1376
2016-02-13,1335
2016-02-14,1335
2016-02-15,1335
2016-02-16,1289
2016-02-17,1289
2016-02-18,1289
2016-02-19,1249
2016-02-20,1249
2016-02-21,1201
2016-02-22,1201
2016-02-23,1201
2016-02-24,1171
2016-02-25,1171
2016-02-26,1151
2016-02-27,1151
2016-02-28,1106
2016-02-29,1106
2016-03-01,1091
2016-03-02,1091
2016-03-03,1091
2016-03-04,1092
2016-03-05,1092
2016-03-06,1056
2016-03-07,1056
2016-03-08,1056
2016-03-09,1085
2016-03-10,1085
2016-03-11,1085
2016-03-12,1080
2016-03-13,1080
2016-03-14,1080
2016-03-15,1086
2016-03-16,1086
2016-03-17,1090
2016-03-18,1090
2016-03-19,1102
2016-03-20,1102
2016-03-21,1102
2016-03-22,1139
2016-03-23,1139
2016-03-24,1139
2016-03-25,1088
2016-03-26,1088
2016-03-27,1088
2016-03-28,1059
2016-03-29,1059
2016-03-30,1059
2016-03-31,1039
2016-04-01,1039
2016-04-02,1039
2016-04-03,997
2016-04-04,997
2016-04-05,996
2016-04-06,996
2016-04-07,976
2016-04-08,976
2016-04-09,965
2016-04-10,965
2016-04-11,965
2016-04-12,1003
2016-04-13,1003
2016-04-14,1003
2016-04-15,1020
2016-04-16,1020
2016-04-17,1023
2016-04-18,1023
2016-04-19,986
2016-04-20,986
