date_obj,Rune%20halberd price
2015-03-26,41914
2015-03-27,41914
2015-03-28,41338
2015-03-29,41338
2015-03-30,41216
2015-03-31,41216
2015-04-01,41216
2015-04-02,42060
2015-04-03,42060
2015-04-04,41875
2015-04-05,41875
2015-04-06,41852
2015-04-07,41852
2015-04-08,41861
2015-04-09,41861
2015-04-10,41996
2015-04-11,41996
2015-04-12,41465
2015-04-13,41465
2015-04-14,42117
2015-04-15,42117
2015-04-16,42203
2015-04-17,42203
2015-04-18,42054
2015-04-19,42054
2015-04-20,42054
2015-04-21,41960
2015-04-22,41960
2015-04-23,42222
2015-04-24,42222
2015-04-25,42323
2015-04-26,42323
2015-04-27,42247
2015-04-28,42247
2015-04-29,42063
2015-04-30,42063
2015-05-01,41665
2015-05-02,41665
2015-05-03,41898
2015-05-04,41898
2015-05-05,41748
2015-05-06,41748
2015-05-07,41809
2015-05-08,41809
2015-05-09,41722
2015-05-10,41722
2015-05-11,41812
2015-05-12,41812
2015-05-13,41896
2015-05-14,41896
2015-05-15,42157
2015-05-16,42157
2015-05-17,42482
2015-05-18,42482
2015-05-19,43091
2015-05-20,43091
2015-05-21,43091
2015-05-22,42263
2015-05-23,42263
2015-05-24,41530
2015-05-25,41530
2015-05-26,41885
2015-05-27,41885
2015-05-28,42255
2015-05-29,42255
2015-05-30,42304
2015-05-31,42304
2015-06-01,42286
2015-06-02,42286
2015-06-03,42141
2015-06-04,42141
2015-06-05,41890
2015-06-06,42043
2015-06-07,42043
2015-06-08,41507
2015-06-09,41705
2015-06-10,41841
2015-06-11,41841
2015-06-12,41822
2015-06-13,41858
2015-06-14,41858
2015-06-15,41998
2015-06-16,41998
2015-06-17,42034
2015-06-18,42122
2015-06-19,42122
2015-06-20,42050
2015-06-21,42050
2015-06-22,40881
2015-06-23,40881
2015-06-24,40958
2015-06-25,40958
2015-06-26,40659
2015-06-27,40659
2015-06-28,40488
2015-06-29,40488
2015-06-30,40096
2015-07-01,40538
2015-07-02,40538
2015-07-03,40983
2015-07-04,40983
2015-07-05,40938
2015-07-06,40938
2015-07-07,41118
2015-07-08,41118
2015-07-09,41493
2015-07-10,41370
2015-07-11,41370
2015-07-12,41654
2015-07-13,41888
2015-07-14,41888
2015-07-15,41295
2015-07-16,41295
2015-07-17,41705
2015-07-18,41705
2015-07-19,41826
2015-07-20,42439
2015-07-21,42439
2015-07-22,42055
2015-07-23,42055
2015-07-24,41904
2015-07-25,41904
2015-07-26,42171
2015-07-27,42171
2015-07-28,42224
2015-07-29,41402
2015-07-30,41402
2015-07-31,41814
2015-08-01,41814
2015-08-02,42088
2015-08-03,42088
2015-08-04,42411
2015-08-05,42662
2015-08-06,42662
2015-08-07,42248
2015-08-08,42341
2015-08-09,42629
2015-08-10,42874
2015-08-11,43120
2015-08-12,43120
2015-08-13,42256
2015-08-14,42330
2015-08-15,42330
2015-08-16,42071
2015-08-17,42442
2015-08-18,42442
2015-08-19,42922
2015-08-20,42922
2015-08-21,42768
2015-08-22,42475
2015-08-23,42475
2015-08-24,41705
2015-08-25,41705
2015-08-26,41216
2015-08-27,41521
2015-08-28,41080
2015-08-29,40964
2015-08-30,40553
2015-08-31,40370
2015-09-01,40169
2015-09-02,40169
2015-09-03,40587
2015-09-04,41573
2015-09-05,41573
2015-09-06,41821
2015-09-07,41793
2015-09-08,41695
2015-09-09,42300
2015-09-10,42416
2015-09-11,42302
2015-09-12,41987
2015-09-13,42142
2015-09-14,40928
2015-09-15,42221
2015-09-16,42221
2015-09-17,42333
2015-09-18,42333
2015-09-19,42632
2015-09-20,42632
2015-09-21,42915
2015-09-22,41772
2015-09-23,41772
2015-09-24,42477
2015-09-25,42477
2015-09-27,42672
2015-09-28,42621
2015-09-29,42621
2015-09-30,42508
2015-10-05,42953
2015-10-06,43192
2015-10-07,43192
2015-10-08,43233
2015-10-09,43050
2015-10-10,43050
2015-10-11,43458
