date_obj,Mystic%20robe%20bottom price
2016-02-14,54132
2016-02-15,54078
2016-02-16,54325
2016-02-17,53748
2016-02-18,53965
2016-02-19,54058
2016-02-20,53894
2016-02-21,53883
2016-02-22,54410
2016-02-23,53907
2016-02-24,54094
2016-02-25,54566
2016-02-26,55567
2016-02-27,55027
2016-02-28,54790
2016-02-29,55053
2016-03-01,54883
2016-03-02,54234
2016-03-03,54898
2016-03-04,55672
2016-03-05,54918
2016-03-06,54690
2016-03-07,55341
2016-03-08,54627
2016-03-09,54535
2016-03-10,54050
2016-03-11,53949
2016-03-12,54200
2016-03-13,54793
2016-03-14,54806
2016-03-15,54749
2016-03-16,54284
2016-03-17,53423
2016-03-18,52832
2016-03-19,53227
2016-03-20,53490
2016-03-21,53682
2016-03-22,53894
2016-03-23,53943
2016-03-24,54260
2016-03-25,53551
2016-03-26,53363
2016-03-27,54019
2016-03-28,54309
2016-03-29,54070
2016-03-30,54216
2016-03-31,54656
2016-04-01,54335
2016-04-02,54096
2016-04-03,54482
2016-04-04,54575
2016-04-05,54066
2016-04-06,53874
2016-04-07,54499
2016-04-08,55197
2016-04-09,55301
2016-04-10,54486
2016-04-11,53992
2016-04-12,53932
2016-04-13,53476
2016-04-14,54298
2016-04-15,54602
2016-04-16,54669
2016-04-17,54723
2016-04-18,55803
2016-04-19,55963
2016-04-20,55087
2016-04-21,55042
2016-04-22,56269
2016-04-23,54975
2016-04-24,54616
2016-04-25,53988
2016-04-26,53849
2016-04-27,53370
2016-04-28,52859
2016-04-29,52704
2016-04-30,52603
2016-05-01,52577
2016-05-02,52332
2016-05-03,52673
2016-05-04,52958
2016-05-05,53397
2016-05-06,53736
2016-05-07,53180
2016-05-08,53744
2016-05-09,53862
2016-05-10,54117
2016-05-11,53877
2016-05-12,53876
2016-05-13,54143
2016-05-14,54428
2016-05-15,53859
2016-05-16,54011
2016-05-17,54726
2016-05-18,54329
2016-05-19,54189
2016-05-22,53852
2016-05-23,54225
2016-05-24,54940
2016-05-25,54278
2016-05-26,54347
2016-05-27,54287
2016-05-28,54043
2016-05-29,54296
2016-05-30,54779
2016-05-31,54743
2016-06-01,54543
2016-06-02,54789
2016-06-03,54429
2016-06-04,54836
2016-06-05,55492
2016-06-06,54828
2016-06-07,54898
2016-06-08,55149
2016-06-09,54346
2016-06-10,54430
2016-06-11,54169
2016-06-12,54050
2016-06-13,54288
2016-06-14,54805
2016-06-15,55557
2016-06-16,54325
2016-06-17,54117
2016-06-18,53383
2016-06-19,54670
2016-06-20,54335
2016-06-21,54467
2016-06-22,54038
2016-06-23,53558
2016-06-24,53744
2016-06-25,53644
2016-06-26,53690
2016-06-27,53461
2016-06-28,53623
2016-06-29,53724
2016-06-30,54300
2016-07-01,54301
2016-07-02,54453
2016-07-03,54538
2016-07-04,53698
2016-07-05,52902
2016-07-06,53208
2016-07-07,53167
2016-07-08,53976
2016-07-09,54030
2016-07-10,54682
2016-07-11,53339
2016-07-12,53097
2016-07-13,53649
2016-07-14,54051
2016-07-15,54471
2016-07-16,54787
2016-07-17,54818
2016-07-18,54441
2016-07-23,53940
2016-07-24,53792
2016-07-25,54848
2016-07-26,55336
2016-07-27,54386
2016-07-28,54663
2016-07-29,54832
2016-07-30,54304
2016-07-31,54029
2016-08-01,54245
2016-08-02,54640
2016-08-03,54468
2016-08-04,53834
2016-08-05,53803
2016-08-06,52714
2016-08-07,53807
2016-08-08,53403
2016-08-09,53960
2016-08-10,54232
2016-08-11,54335
2016-08-12,54373
2016-08-13,54477
2016-08-14,53570
2016-08-15,53635
2016-08-16,53559
2016-08-17,53803
2016-08-18,53400
2016-08-19,53390
2016-08-20,53513
2016-08-21,52941
2016-08-22,52644
2016-08-23,53241
2016-08-24,53475
2016-08-25,53515
2016-08-26,53636
2016-08-28,53712
2016-08-31,54409
2016-09-01,54639
2016-09-02,54626
2016-09-03,54411
2016-09-04,54646
2016-09-05,54590
2016-09-06,53534
2016-09-07,52589
2016-09-08,53393
2016-09-09,53830
2016-09-10,54392
2016-09-11,54716
2016-09-12,54109
2016-09-13,54332
2016-09-14,54392
2016-09-15,54910
2016-09-16,54697
2016-09-17,54269
2016-09-18,53147
2016-09-19,53002
2016-09-20,53343
2016-09-21,53638
2016-09-22,53978
2016-09-23,53609
2016-09-24,53365
2016-09-25,53441
2016-09-26,54199
2016-09-27,54423
2016-09-28,53664
2016-09-29,52812
2016-09-30,51814
2016-10-01,52611
2016-10-02,53046
2016-10-03,53154
2016-10-04,53419
2016-10-05,53587
2016-10-06,53431
2016-10-07,53794
2016-10-08,53673
2016-10-09,53272
2016-10-10,53571
2016-10-11,53746
2016-10-12,53539
2016-10-13,53280
2016-10-14,53265
2016-10-15,53578
2016-10-16,53021
2016-10-17,53275
2016-10-18,53835
2016-10-19,54233
2016-10-20,54910
2016-10-21,54647
2016-10-22,53954
2016-10-23,54175
2016-10-24,54022
2016-10-25,54285
2016-10-26,54714
2016-10-27,54186
2016-10-28,53412
2016-10-29,54039
2016-10-30,53955
2016-10-31,53940
2016-11-01,53959
2016-11-02,53927
2016-11-03,53758
2016-11-04,53569
2016-11-05,54237
2016-11-06,54189
2016-11-07,53907
2016-11-08,54038
2016-11-09,54154
2016-11-10,53512
2016-11-11,53591
2016-11-12,54312
2016-11-13,54335
2016-11-14,54294
2016-12-07,54456
2016-12-08,54546
2016-12-09,54602
2016-12-10,54327
2016-12-11,54619
2016-12-12,54961
2016-12-13,54718
