date_obj,Grimy%20avantoe price
2015-03-26,1855
2015-03-27,1896
2015-03-28,1943
2015-03-29,2022
2015-03-30,2048
2015-03-31,2119
2015-04-01,2214
2015-04-02,2325
2015-04-03,2415
2015-04-04,2473
2015-04-05,2500
2015-04-06,2552
2015-04-07,2564
2015-04-08,2505
2015-04-09,2593
2015-04-10,2673
2015-04-11,2697
2015-04-12,2668
2015-04-13,2654
2015-04-14,2681
2015-04-15,2708
2015-04-16,2762
2015-04-17,2763
2015-04-18,2741
2015-04-19,2662
2015-04-20,2637
2015-04-21,2607
2015-04-22,2626
2015-04-23,2641
2015-04-24,2630
2015-04-25,2553
2015-04-26,2492
2015-04-27,2411
2015-04-28,2391
2015-04-29,2387
2015-04-30,2416
2015-05-01,2467
2015-05-02,2452
2015-05-03,2409
2015-05-04,2436
2015-05-05,2448
2015-05-06,2430
2015-05-07,2424
2015-05-08,2375
2015-05-09,2328
2015-05-10,2323
2015-05-11,2303
2015-05-12,2317
2015-05-13,2291
2015-05-14,2301
2015-05-15,2351
2015-05-16,2358
2015-05-17,2331
2015-05-18,2347
2015-05-19,2342
2015-05-20,2376
2015-05-21,2400
2015-05-22,2430
2015-05-23,2432
2015-05-24,2384
2015-05-25,2412
2015-05-26,2414
2015-05-27,2498
2015-05-28,2520
2015-05-29,2558
2015-05-30,2647
2015-05-31,2686
2015-06-01,2650
2015-06-02,2639
2015-06-03,2630
2015-06-04,2633
2015-06-05,2616
2015-06-06,2588
2015-06-07,2506
2015-06-08,2455
2015-06-09,2389
2015-06-10,2328
2015-06-11,2329
2015-06-12,2329
2015-06-13,2310
2015-06-14,2260
2015-06-15,2290
2015-06-16,2297
2015-06-17,2262
2015-06-18,2174
2015-06-19,2215
2015-06-20,2215
2015-06-21,2238
2015-06-22,2165
2015-06-23,2112
2015-06-24,2045
2015-06-25,2010
2015-06-26,1974
2015-06-27,1977
2015-06-28,1930
2015-06-29,1929
2015-06-30,1939
2015-07-01,1874
2015-07-02,1831
2015-07-03,1783
2015-07-04,1766
2015-07-05,1770
2015-07-06,1766
2015-07-07,1758
2015-07-08,1786
2015-07-09,1832
2015-07-10,1876
2015-07-11,1815
2015-07-12,1823
2015-07-13,1777
2015-07-14,1759
2015-07-15,1734
2015-07-16,1697
2015-07-17,1698
2015-07-18,1669
2015-07-19,1647
2015-07-20,1597
2015-07-21,1589
2015-07-22,1576
2015-07-23,1600
2015-07-24,1599
2015-07-25,1620
2015-07-26,1638
2015-07-27,1600
2015-07-28,1608
2015-07-29,1617
2015-07-30,1626
2015-07-31,1587
2015-08-01,1561
2015-08-02,1539
2015-08-03,1488
2015-08-04,1502
2015-08-05,1517
2015-08-06,1534
2015-08-07,1545
2015-08-08,1548
2015-08-09,1558
2015-08-10,1594
2015-08-11,1625
2015-08-12,1601
2015-08-13,1606
2015-08-14,1596
2015-08-15,1558
2015-08-16,1516
2015-08-17,1510
2015-08-18,1570
2015-08-19,1577
2015-08-20,1595
2015-08-21,1563
2015-08-22,1551
2015-08-23,1554
2015-08-24,1595
2015-08-25,1599
2015-08-26,1586
2015-08-27,1613
2015-08-28,1622
2015-08-29,1589
2015-08-30,1553
2015-08-31,1600
2015-09-01,1680
2015-09-02,1748
2015-09-03,1770
2015-09-04,1784
2015-09-05,1754
2015-09-06,1746
2015-09-07,1733
2015-09-08,1753
2015-09-09,1744
2015-09-10,1721
2015-09-11,1721
2015-09-12,1699
2015-09-13,1681
2015-09-14,1666
2015-09-15,1675
2015-09-16,1633
2015-09-17,1603
2015-09-18,1589
2015-09-19,1523
2015-09-20,1466
2015-09-21,1494
2015-09-22,1509
2015-09-23,1542
2015-09-24,1536
2015-09-25,1544
2015-09-27,1583
2015-09-28,1613
2015-09-29,1637
2015-09-30,1682
2015-10-05,1860
2015-10-06,1927
2015-10-07,2002
2015-10-08,1942
2015-10-09,1931
2015-10-10,1906
2015-10-11,1914
2015-10-12,1952
2015-10-13,1972
2015-10-14,2026
2015-10-15,2068
2015-10-16,2113
2015-10-17,2171
2015-10-18,2214
2015-10-19,2280
2015-10-20,2392
2015-10-22,2584
2015-10-23,2596
2015-10-24,2619
2015-10-25,2567
2015-10-26,2598
2015-10-27,2687
2015-10-29,2842
2015-10-30,2861
2015-10-31,2798
2015-11-01,2740
2015-11-02,2675
2015-11-03,2720
2015-11-04,2749
2015-11-05,2786
2015-11-06,2780
2015-11-07,2796
2015-11-08,2802
2015-11-09,2829
2015-11-10,2823
2015-11-11,2835
2015-11-12,2863
2015-11-13,2918
2015-11-14,2951
2015-11-15,2936
2015-11-16,2934
2015-11-17,2986
2015-11-18,3038
2015-11-19,3080
2015-11-20,3138
2015-11-21,3181
2015-11-22,3245
2015-11-23,3222
2015-11-24,3329
2015-11-25,3325
2015-11-26,3245
2015-11-27,3280
2015-11-28,3310
2015-11-29,3369
2015-11-30,3408
2015-12-01,3477
2015-12-02,3498
2015-12-03,3541
2015-12-04,3481
2015-12-05,3482
2015-12-06,3361
2015-12-07,3319
2015-12-08,3400
2015-12-09,3417
2015-12-10,3455
2015-12-11,3339
2015-12-12,3322
