date_obj,Ancient%20robe%20top price
2015-03-26,55868
2015-03-27,55868
2015-03-28,55545
2015-03-29,54500
2015-03-30,52957
2015-03-31,51919
2015-04-01,51919
2015-04-02,51148
2015-04-03,51164
2015-04-04,50682
2015-04-05,50682
2015-04-06,50087
2015-04-07,49383
2015-04-08,49383
2015-04-09,49257
2015-04-10,48733
2015-04-11,47491
2015-04-12,47491
2015-04-13,46362
2015-04-14,46362
2015-04-15,45548
2015-04-16,45548
2015-04-17,44739
2015-04-18,44079
2015-04-19,43960
2015-04-20,43960
2015-04-21,43250
2015-04-22,43250
2015-04-23,42760
2015-04-24,42760
2015-04-25,42728
2015-04-26,41831
2015-04-27,40815
2015-04-28,39527
2015-04-29,39527
2015-04-30,38836
2015-05-01,38213
2015-05-02,37644
2015-05-03,37644
2015-05-04,36791
2015-05-05,36751
2015-05-06,35743
2015-05-07,35412
2015-05-08,35412
2015-05-09,34377
2015-05-10,34377
2015-05-11,33644
2015-05-12,32706
2015-05-13,32706
2015-05-14,31727
2015-05-15,31727
2015-05-16,30710
2015-05-17,29823
2015-05-18,30302
2015-05-19,30302
2015-05-20,30271
2015-05-21,30271
2015-05-22,30442
2015-05-23,30442
2015-05-24,30059
2015-05-25,29591
2015-05-26,30224
2015-05-27,30224
2015-05-28,30780
2015-05-29,30780
2015-05-30,30561
2015-05-31,30561
2015-06-01,30832
2015-06-02,30832
2015-06-03,30719
2015-06-04,30719
2015-06-05,30316
2015-06-06,30184
2015-06-07,30184
2015-06-08,30024
2015-06-09,29372
2015-06-10,29780
2015-06-11,29780
2015-06-12,30035
2015-06-13,31459
2015-06-14,31459
2015-06-15,31940
2015-06-16,32898
2015-06-17,32898
2015-06-18,34543
2015-06-19,34543
2015-06-20,36214
2015-06-21,36214
2015-06-22,37938
2015-06-23,37938
2015-06-24,39778
2015-06-25,39778
2015-06-26,41701
2015-06-27,41701
2015-06-28,43446
2015-06-29,43446
2015-06-30,44829
2015-07-01,44829
2015-07-02,45507
2015-07-03,45234
2015-07-04,45234
2015-07-05,46324
2015-07-06,46324
2015-07-07,47041
2015-07-08,47041
2015-07-09,48233
2015-07-10,49073
2015-07-11,49073
2015-07-12,50022
2015-07-13,50878
2015-07-14,51674
2015-07-15,52960
