date_obj,Enchanted%20robe price
2015-03-26,61696
2015-03-27,61696
2015-03-28,62329
2015-03-29,62150
2015-03-30,62951
2015-03-31,64075
2015-04-01,66618
2015-04-02,69246
2015-04-03,72305
2015-04-04,74906
2015-04-05,75940
2015-04-06,76403
2015-04-07,78390
2015-04-08,79737
2015-04-09,80574
2015-04-10,80724
2015-04-11,82674
2015-04-12,84149
2015-04-13,84219
2015-04-14,83445
2015-04-15,80142
2015-04-16,76570
2015-04-17,74338
2015-04-18,71744
2015-04-19,69877
2015-04-20,66551
2015-04-21,64781
2015-04-22,62688
2015-04-23,64563
2015-04-24,67792
2015-04-25,70620
2015-04-26,72436
2015-04-27,75097
2015-04-28,76400
2015-04-29,78980
2015-04-30,81011
2015-05-01,82858
2015-05-02,83211
2015-05-03,79890
2015-05-04,76356
2015-05-05,72758
2015-05-06,70996
2015-05-07,68340
2015-05-08,64923
2015-05-09,63857
2015-05-10,65688
2015-05-11,67096
2015-05-12,67106
2015-05-13,66470
2015-05-14,67080
2015-05-15,66740
2015-05-16,65518
2015-05-17,64531
2015-05-18,63653
2015-05-19,64168
2015-05-20,62988
2015-05-21,61724
2015-05-22,62158
2015-05-23,61527
2015-05-24,62505
2015-05-25,62565
2015-05-26,63745
2015-05-27,64616
2015-05-28,65333
2015-05-29,67142
2015-05-30,69776
2015-05-31,72367
2015-06-01,75254
2015-06-02,78280
2015-06-03,79713
2015-06-04,78937
2015-06-05,79558
2015-06-06,80135
2015-06-07,80738
2015-06-08,81241
2015-06-09,81986
2015-06-10,82519
2015-06-11,83098
2015-06-12,84818
2015-06-13,85977
2015-06-14,87194
2015-06-15,88380
2015-06-16,87715
2015-06-17,86996
2015-06-18,86887
2015-06-19,85928
2015-06-20,85155
2015-06-21,84930
2015-06-22,83822
2015-06-23,83209
2015-06-24,81499
2015-06-25,77424
2015-06-26,75029
2015-06-27,73356
2015-06-28,71247
2015-06-29,69836
2015-06-30,68733
2015-07-01,70340
2015-07-02,71839
2015-07-03,72144
2015-07-04,71869
2015-07-05,70455
2015-07-06,70457
2015-07-07,69754
2015-07-08,69666
2015-07-09,67649
2015-07-10,67423
2015-07-11,68590
2015-07-12,70188
2015-07-13,73556
2015-07-14,76863
2015-07-15,76497
2015-07-16,76389
2015-07-17,76146
2015-07-18,74817
2015-07-19,73823
2015-07-20,72956
2015-07-21,73433
2015-07-22,72888
2015-07-23,71807
2015-07-24,71946
2015-07-25,73150
2015-07-26,74048
2015-07-27,76505
2015-07-28,76315
2015-07-29,77495
2015-07-30,77743
2015-07-31,76288
2015-08-01,76804
2015-08-02,76896
2015-08-03,76648
2015-08-04,74644
2015-08-05,74403
2015-08-06,73986
2015-08-07,73706
2015-08-08,74178
2015-08-09,75033
2015-08-10,75216
2015-08-11,76439
2015-08-12,76687
2015-08-13,78096
2015-08-14,76321
2015-08-15,73628
2015-08-16,74214
2015-08-17,75011
2015-08-18,74327
2015-08-19,71358
2015-08-20,71052
2015-08-21,71089
2015-08-22,69922
2015-08-23,69855
2015-08-24,69921
2015-08-25,70251
2015-08-26,69986
2015-08-27,70078
2015-08-28,68970
2015-08-29,67702
2015-08-30,66226
2015-08-31,66004
2015-09-01,65774
2015-09-02,66539
2015-09-03,66095
2015-09-04,65055
2015-09-05,63826
2015-09-06,63595
2015-09-07,62719
2015-09-08,62393
2015-09-09,62248
2015-09-10,62238
2015-09-11,64167
2015-09-12,66208
2015-09-13,68356
2015-09-14,70558
2015-09-15,69518
2015-09-16,69523
2015-09-17,68691
2015-09-18,69007
2015-09-19,69052
2015-09-20,67984
2015-09-21,66727
2015-09-22,65577
2015-09-23,65326
2015-09-24,65186
2015-09-25,65383
2015-09-27,66335
2015-09-28,66315
2015-09-29,66588
2015-09-30,66148
2015-10-05,69551
2015-10-06,69912
2015-10-07,69717
2015-10-08,69489
2015-10-09,69205
2015-10-10,68099
2015-10-11,67087
2015-10-12,66262
2015-10-13,65291
2015-10-14,64781
2015-10-15,64600
2015-10-16,64701
2015-10-17,64646
2015-10-18,65908
2015-10-19,65995
2015-10-20,66479
2015-10-22,63785
2015-10-23,62838
2015-10-24,63378
2015-10-25,64150
2015-10-26,64917
2015-10-27,65385
2015-10-29,65449
2015-10-30,66104
2015-10-31,65524
2015-11-01,66287
2015-11-02,67257
2015-11-03,68501
2015-11-04,69456
2015-11-05,70866
2015-11-06,71412
2015-11-07,72165
2015-11-08,71607
2015-11-09,72233
2015-11-10,70977
2015-11-11,70878
2015-11-12,71256
2015-11-13,71084
2015-11-14,69523
2015-11-15,69748
2015-11-16,70470
2015-11-17,70790
2015-11-18,71711
2015-11-19,71380
2015-11-20,71834
2015-11-21,71153
2015-11-22,71149
2015-11-23,71463
2015-11-24,70454
2015-11-25,69190
2015-11-26,69329
2015-11-27,67516
2015-11-28,66230
2015-11-29,65229
2015-11-30,63728
2015-12-01,62658
2015-12-02,61243
2015-12-03,60966
2015-12-04,60759
2015-12-05,60883
2015-12-06,60553
2015-12-07,57774
2015-12-08,57001
2015-12-09,55825
2015-12-10,55451
2015-12-11,54786
2015-12-12,54896
2015-12-13,55626
2015-12-14,55820
2015-12-15,56174
2015-12-16,54624
2015-12-17,55676
2015-12-18,55905
2015-12-19,56629
2015-12-20,56695
2015-12-21,56893
2015-12-22,58066
2015-12-23,59782
2015-12-24,61904
2015-12-25,64806
2015-12-26,66218
2015-12-27,66991
2015-12-28,69560
2015-12-29,71289
2015-12-30,72697
2015-12-31,71913
2016-01-01,71813
2016-01-02,69000
2016-01-03,68780
2016-01-04,66663
2016-01-05,66925
2016-01-06,67689
2016-01-07,67983
2016-01-08,67809
2016-01-09,68569
2016-01-10,70523
2016-01-11,71176
2016-01-12,72518
2016-01-13,72133
2016-01-14,72512
2016-01-15,74651
2016-01-16,74374
2016-01-17,74848
2016-01-18,73548
2016-01-19,72943
2016-01-20,72020
2016-01-21,70641
2016-01-22,70042
2016-01-23,69809
2016-01-24,68555
2016-01-25,67839
2016-01-26,66603
2016-01-27,66584
2016-01-28,65989
2016-01-29,65991
2016-01-30,65996
2016-01-31,65230
2016-02-01,66003
2016-02-02,66345
2016-02-03,66594
2016-02-04,67134
2016-02-05,65783
2016-02-06,65189
2016-02-07,63720
2016-02-08,64130
2016-02-09,63170
2016-02-10,62899
2016-02-11,62698
2016-02-12,63717
2016-02-13,64295
