date_obj,Golden%20chef's%20hat price
2016-07-06,2072986
2016-07-07,2149125
2016-07-08,2235504
2016-07-09,2235504
2016-07-10,2333243
2016-07-11,2333243
2016-07-12,2333243
2016-07-13,2395309
2016-07-14,2395309
2016-07-15,2395309
2016-07-16,2395309
2016-07-17,2300819
2016-07-18,2300819
2016-07-23,2185778
2016-07-24,2078357
2016-07-25,2078357
2016-07-26,2078357
2016-07-27,2078357
2016-07-28,2078357
2016-07-29,1974439
2016-07-30,1974439
2016-07-31,1974439
2016-08-01,1974439
2016-08-02,1974439
2016-08-03,1876849
2016-08-04,1876849
2016-08-05,1876849
2016-08-06,1876849
2016-08-07,1876849
2016-08-08,1784771
2016-08-09,1784771
2016-08-10,1784771
2016-08-11,1784771
2016-08-12,1784771
2016-08-13,1784771
2016-08-14,1695532
2016-08-15,1695532
2016-08-16,1695532
2016-08-17,1695532
2016-08-18,1695532
2016-08-19,1612663
2016-08-20,1612663
2016-08-21,1612663
2016-08-22,1612663
2016-08-23,1612663
2016-08-24,1532029
2016-08-25,1532029
2016-08-26,1532029
2016-08-28,1532029
2016-08-31,1455427
2016-09-01,1455427
2016-09-02,1455427
2016-09-03,1455427
2016-09-04,1382655
2016-09-05,1382655
2016-09-06,1382655
2016-09-07,1382655
2016-09-08,1382655
2016-09-09,1313522
2016-09-10,1313522
2016-09-11,1313522
2016-09-12,1313522
2016-09-13,1313522
2016-09-14,1283374
2016-09-15,1283374
2016-09-16,1283374
2016-09-17,1283374
2016-09-18,1283374
2016-09-19,1283374
2016-09-20,1283374
2016-09-21,1233280
2016-09-22,1233280
2016-09-23,1233280
2016-09-24,1233280
2016-09-25,1233280
2016-09-26,1233280
2016-09-27,1233280
2016-09-28,1176885
2016-09-29,1176885
2016-09-30,1176885
2016-10-01,1176885
2016-10-02,1176885
2016-10-03,1176885
2016-10-04,1176885
2016-10-05,1145118
2016-10-06,1145118
2016-10-07,1145118
2016-10-08,1145118
2016-10-09,1145118
2016-10-10,1145118
2016-10-11,1149795
2016-10-12,1149795
2016-10-13,1149795
2016-10-14,1149795
2016-10-15,1149795
2016-10-16,1149795
2016-10-17,1176252
2016-10-18,1176252
2016-10-19,1176252
2016-10-20,1176252
2016-10-21,1176252
2016-10-22,1176252
2016-10-23,1176252
2016-10-24,1143719
2016-10-25,1143719
2016-10-26,1143719
2016-10-27,1143719
2016-10-28,1143719
2016-10-29,1143719
2016-10-30,1097267
2016-10-31,1097267
