date_obj,Rune%20hasta price
2015-03-26,63802
2015-03-27,63802
2015-03-28,63802
2015-03-29,63802
2015-03-30,63802
2015-03-31,63802
2015-04-01,63802
2015-04-02,63802
2015-04-03,63802
2015-04-04,63802
2015-04-05,63802
2015-04-06,63802
2015-04-07,63802
2015-04-08,63802
2015-04-09,63802
2015-04-10,63802
2015-04-11,63802
2015-04-12,63802
2015-04-13,63802
2015-04-14,63802
2015-04-15,63802
2015-04-16,63802
2015-04-17,63802
2015-04-18,60615
2015-04-19,60615
2015-04-20,60615
2015-04-21,60615
2015-04-22,60615
2015-04-23,60615
2015-04-24,60615
2015-04-25,60615
2015-04-26,60615
2015-04-27,60615
2015-04-28,60615
2015-04-29,60615
2015-04-30,60615
2015-05-01,60615
2015-05-02,60615
2015-05-03,60615
2015-05-04,60615
2015-05-05,60615
2015-05-06,60615
2015-05-07,60615
2015-05-08,60615
2015-05-09,60615
2015-05-10,60615
2015-05-11,60615
2015-05-12,60615
2015-05-13,60615
2015-05-14,57595
2015-05-15,57595
2015-05-16,57595
2015-05-17,57595
2015-05-18,57595
2015-05-19,57595
2015-05-20,57595
2015-05-21,57595
2015-05-22,57595
2015-05-23,57595
2015-05-24,57595
2015-05-25,57595
2015-05-26,57595
2015-05-27,57595
2015-05-28,57595
2015-05-29,57595
2015-05-30,54765
2015-05-31,54765
2015-06-01,54765
2015-06-02,54765
2015-06-03,54765
2015-06-04,54765
2015-06-05,54765
2015-06-06,54765
2015-06-07,54765
2015-06-08,54765
2015-06-09,54765
2015-06-10,54765
2015-06-11,54765
2015-06-12,54765
2015-06-13,52052
2015-06-14,52052
2015-06-15,52052
2015-06-16,52052
2015-06-17,52052
2015-06-18,52052
2015-06-19,52052
2015-06-20,52052
2015-06-21,52052
2015-06-22,52052
2015-06-23,52052
2015-06-24,52052
2015-06-25,52052
2015-06-26,52052
2015-06-27,52052
2015-06-28,52052
2015-06-29,52052
2015-06-30,52052
2015-07-01,49471
2015-07-02,49471
2015-07-03,49471
2015-07-04,49471
2015-07-05,49471
2015-07-06,49471
2015-07-07,49471
2015-07-08,49471
2015-07-09,49471
2015-07-10,49471
2015-07-11,49471
2015-07-12,49471
2015-07-13,49471
2015-07-14,49471
2015-07-15,49471
2015-07-16,49471
2015-07-17,49471
2015-07-18,49471
2015-07-19,49471
2015-07-20,47015
2015-07-21,47015
2015-07-22,47015
2015-07-23,47015
2015-07-24,47015
2015-07-25,47015
2015-07-26,47015
2015-07-27,47015
2015-07-28,47015
2015-07-29,47015
2015-07-30,47015
2015-07-31,47015
2015-08-01,47015
2015-08-02,47015
2015-08-03,47015
2015-08-04,47015
2015-08-05,47015
2015-08-06,44824
2015-08-07,44824
2015-08-08,44824
2015-08-09,44824
2015-08-10,44824
2015-08-11,44824
2015-08-12,44824
2015-08-13,44824
2015-08-14,44824
2015-08-15,44824
2015-08-16,44824
2015-08-17,44824
2015-08-18,44824
2015-08-19,44824
2015-08-20,44824
2015-08-21,44824
2015-08-22,42670
2015-08-23,42670
2015-08-24,42670
2015-08-25,42670
2015-08-26,42670
2015-08-27,42670
2015-08-28,42670
2015-08-29,42670
2015-08-30,42670
2015-08-31,42670
2015-09-01,42670
2015-09-02,42670
2015-09-03,42670
2015-09-04,42670
2015-09-05,42670
2015-09-06,42670
2015-09-07,40931
2015-09-08,40931
2015-09-09,40931
2015-09-10,40931
2015-09-11,40931
2015-09-12,40931
2015-09-13,40931
2015-09-14,40931
2015-09-15,40931
2015-09-16,40931
2015-09-17,40931
2015-09-18,40931
2015-09-19,40931
2015-09-20,40931
2015-09-21,40931
2015-09-22,38927
2015-09-23,38927
2015-09-24,38927
2015-09-25,38927
2015-09-27,38927
2015-09-28,38927
2015-09-29,38927
2015-09-30,38927
2015-10-05,38927
2015-10-06,38927
2015-10-07,38927
2015-10-08,38927
2015-10-09,37009
2015-10-10,37009
2015-10-11,37009
2015-10-12,37009
2015-10-13,37009
2015-10-14,37009
2015-10-15,37009
2015-10-16,37009
2015-10-17,37009
2015-10-18,37009
2015-10-19,37009
2015-10-20,37009
2015-10-22,37009
2015-10-23,37009
2015-10-24,37009
2015-10-25,37009
2015-10-26,37009
