date_obj,Pineapple price
2015-03-26,103
2015-03-27,103
2015-03-28,99
2015-03-29,95
2015-03-30,95
2015-03-31,94
2015-04-01,94
2015-04-02,91
2015-04-03,91
2015-04-04,88
2015-04-05,88
2015-04-06,86
2015-04-07,85
2015-04-08,85
2015-04-09,81
2015-04-10,81
2015-04-11,78
2015-04-12,78
2015-04-13,77
2015-04-14,77
2015-04-15,77
2015-04-16,77
2015-04-17,77
2015-04-18,77
2015-04-19,74
2015-04-20,74
2015-04-21,72
2015-04-22,72
2015-04-23,71
2015-04-24,71
2015-04-25,68
2015-04-26,68
2015-04-27,65
2015-04-28,65
2015-04-29,63
2015-04-30,63
2015-05-01,63
2015-05-02,63
2015-05-03,67
2015-05-04,67
2015-05-05,70
2015-05-06,70
2015-05-07,73
2015-05-08,73
2015-05-09,77
2015-05-10,77
2015-05-11,81
2015-05-12,85
2015-05-13,85
2015-05-14,88
2015-05-15,88
2015-05-16,89
2015-05-17,86
2015-05-18,86
2015-05-19,88
2015-05-20,88
2015-05-21,88
2015-05-22,87
2015-05-23,87
2015-05-24,85
2015-05-25,85
2015-05-26,86
2015-05-27,86
2015-05-28,89
2015-05-29,89
2015-05-30,88
2015-05-31,88
2015-06-01,88
2015-06-02,88
2015-06-03,91
2015-06-04,91
2015-06-05,93
2015-06-06,98
2015-06-07,98
2015-06-08,102
2015-06-09,107
2015-06-10,111
2015-06-11,111
2015-06-12,112
2015-06-13,112
2015-06-14,110
2015-06-15,110
2015-06-16,106
2015-06-17,106
2015-06-18,101
2015-06-19,101
2015-06-20,100
2015-06-21,100
2015-06-22,98
2015-06-23,98
2015-06-24,96
2015-06-25,96
2015-06-26,99
2015-06-27,99
2015-06-28,99
2015-06-29,99
2015-06-30,100
2015-07-01,100
2015-07-02,102
2015-07-03,105
2015-07-04,105
2015-07-05,105
2015-07-06,105
2015-07-07,103
2015-07-08,101
2015-07-09,101
2015-07-10,96
2015-07-11,96
2015-07-12,94
2015-07-13,94
2015-07-14,92
2015-07-15,92
2015-07-16,88
2015-07-17,89
2015-07-18,89
2015-07-19,87
2015-07-20,87
2015-07-21,84
2015-07-22,85
2015-07-23,85
2015-07-24,81
2015-07-25,81
2015-07-26,85
2015-07-27,85
2015-07-28,90
2015-07-29,89
2015-07-30,89
2015-07-31,91
2015-08-01,91
2015-08-02,90
2015-08-03,90
2015-08-04,86
2015-08-05,85
2015-08-06,85
2015-08-07,81
2015-08-08,83
2015-08-09,83
2015-08-10,86
2015-08-11,86
2015-08-12,89
2015-08-13,89
2015-08-14,94
2015-08-15,94
2015-08-16,94
2015-08-17,98
2015-08-18,98
2015-08-19,103
2015-08-20,103
2015-08-21,109
2015-08-22,109
2015-08-23,113
2015-08-24,113
2015-08-25,113
2015-08-26,116
2015-08-27,116
2015-08-28,120
2015-08-29,120
2015-08-30,120
2015-08-31,119
2015-09-01,119
2015-09-02,119
2015-09-03,121
2015-09-04,121
2015-09-05,120
2015-09-06,120
2015-09-07,120
2015-09-08,120
2015-09-09,120
2015-09-10,115
2015-09-11,115
2015-09-12,115
2015-09-13,109
2015-09-14,109
2015-09-15,104
2015-09-16,104
2015-09-17,104
2015-09-18,99
2015-09-19,99
2015-09-20,99
2015-09-21,95
2015-09-22,95
2015-09-23,90
2015-09-24,90
2015-09-25,90
2015-09-27,86
2015-09-28,86
2015-09-29,84
2015-09-30,84
2015-10-05,86
2015-10-06,86
2015-10-07,87
2015-10-08,87
2015-10-09,88
2015-10-10,88
2015-10-11,88
2015-10-12,89
2015-10-13,89
2015-10-14,89
2015-10-15,89
2015-10-16,89
2015-10-17,89
2015-10-18,90
2015-10-19,90
2015-10-20,90
2015-10-22,90
2015-10-23,91
2015-10-24,91
2015-10-25,89
2015-10-26,89
2015-10-27,89
2015-10-29,90
2015-10-30,90
2015-10-31,88
2015-11-01,88
2015-11-02,88
2015-11-03,89
2015-11-04,89
2015-11-05,89
2015-11-06,93
2015-11-07,93
2015-11-08,93
2015-11-09,98
2015-11-10,98
2015-11-11,98
2015-11-12,101
2015-11-13,101
2015-11-14,101
2015-11-15,97
2015-11-16,97
2015-11-17,97
2015-11-18,97
2015-11-19,97
2015-11-20,97
2015-11-21,97
2015-11-22,97
2015-11-23,97
2015-11-24,99
2015-11-25,99
2015-11-26,99
2015-11-27,104
2015-11-28,104
2015-11-29,104
2015-11-30,110
2015-12-01,110
2015-12-02,110
2015-12-03,116
2015-12-04,116
2015-12-05,116
2015-12-06,122
2015-12-07,122
2015-12-08,122
2015-12-09,129
2015-12-10,129
2015-12-11,135
2015-12-12,135
2015-12-13,142
2015-12-14,142
2015-12-15,142
2015-12-16,150
2015-12-17,150
2015-12-18,150
2015-12-19,157
2015-12-20,157
2015-12-21,165
2015-12-22,165
2015-12-23,172
2015-12-24,172
2015-12-25,172
2015-12-26,179
2015-12-27,179
2015-12-28,187
2015-12-29,187
2015-12-30,195
2015-12-31,195
2016-01-01,195
2016-01-02,194
2016-01-03,194
2016-01-04,190
2016-01-05,190
2016-01-06,184
2016-01-07,184
2016-01-08,182
2016-01-09,182
2016-01-10,183
2016-01-11,183
2016-01-12,181
2016-01-13,181
2016-01-14,180
2016-01-15,180
2016-01-16,189
2016-01-17,189
2016-01-18,199
2016-01-19,199
2016-01-20,208
2016-01-21,208
2016-01-22,217
2016-01-23,217
2016-01-24,220
2016-01-25,220
2016-01-26,225
2016-01-27,225
2016-01-28,236
2016-01-29,248
2016-01-30,248
2016-01-31,256
2016-02-01,256
2016-02-02,261
2016-02-03,261
2016-02-04,266
2016-02-05,266
2016-02-06,267
2016-02-07,267
2016-02-08,267
2016-02-09,259
2016-02-10,259
2016-02-11,249
2016-02-12,249
2016-02-13,238
2016-02-14,238
2016-02-15,226
2016-02-16,226
2016-02-17,214
2016-02-18,214
2016-02-19,214
2016-02-20,203
2016-02-21,192
2016-02-22,192
2016-02-23,183
2016-02-24,183
2016-02-25,188
2016-02-26,188
2016-02-27,191
2016-02-28,191
2016-02-29,187
