date_obj,Karil's%20coif price
2015-03-26,44146
2015-03-27,44146
2015-03-28,42938
2015-03-29,42938
2015-03-30,42494
2015-03-31,42494
2015-04-01,42494
2015-04-02,40477
2015-04-03,40477
2015-04-04,38453
2015-04-05,38453
2015-04-06,36530
2015-04-07,36530
2015-04-08,34769
2015-04-09,34769
2015-04-10,33030
2015-04-11,33030
2015-04-12,31380
2015-04-13,31380
2015-04-14,29914
2015-04-15,29914
2015-04-16,31197
2015-04-17,31197
2015-04-18,32179
2015-04-19,32179
2015-04-20,32179
2015-04-21,31522
2015-04-22,31522
2015-04-23,30171
2015-04-24,30171
2015-04-25,30171
2015-04-26,28706
2015-04-27,28706
2015-04-28,28406
2015-04-29,28406
2015-04-30,28406
2015-05-01,29723
2015-05-02,29723
2015-05-03,29723
2015-05-04,30649
2015-05-05,30649
2015-05-06,32079
2015-05-07,32079
2015-05-08,32079
2015-05-09,33548
2015-05-10,33548
2015-05-11,33548
2015-05-12,33782
2015-05-13,33782
2015-05-14,33782
2015-05-15,34594
2015-05-16,34594
2015-05-17,35675
2015-05-18,35675
2015-05-19,35675
2015-05-20,36497
2015-05-21,36497
2015-05-22,36497
2015-05-23,37914
2015-05-24,37914
2015-05-25,38995
2015-05-26,38995
2015-05-27,38995
2015-05-28,40380
2015-05-29,40380
2015-05-30,40844
2015-05-31,40844
2015-06-01,41606
2015-06-02,41606
2015-06-03,41965
2015-06-04,41965
2015-06-05,42446
2015-06-06,42446
2015-06-07,41215
2015-06-08,41215
2015-06-09,39888
2015-06-10,39888
2015-06-11,37893
2015-06-12,37893
2015-06-13,39342
2015-06-14,39342
2015-06-15,41310
2015-06-16,41310
2015-06-17,43003
2015-06-18,45154
2015-06-19,47412
2015-06-20,49783
2015-06-21,52144
2015-06-22,54752
2015-06-23,57291
2015-06-24,60143
2015-06-25,62706
2015-06-26,61207
2015-06-27,61207
2015-06-28,58146
2015-06-29,55411
2015-06-30,52777
2015-07-01,50138
2015-07-02,50138
2015-07-03,47631
2015-07-04,45323
2015-07-05,43250
2015-07-06,41223
2015-07-07,39482
2015-07-08,37507
2015-07-09,37507
2015-07-10,35631
2015-07-11,35631
2015-07-12,33854
2015-07-13,32161
2015-07-14,30646
2015-07-15,30646
2015-07-16,29259
2015-07-17,28060
2015-07-18,28060
2015-07-19,26659
2015-07-20,25329
2015-07-21,25329
2015-07-22,24183
2015-07-23,24183
2015-07-24,23224
2015-07-25,23224
2015-07-26,22447
2015-07-27,22099
2015-07-28,22099
2015-07-29,21202
2015-07-30,21202
2015-07-31,20141
2015-08-01,20141
2015-08-02,19323
2015-08-03,19323
2015-08-04,18590
2015-08-05,18079
2015-08-06,17952
2015-08-07,17952
2015-08-08,18489
2015-08-09,19375
2015-08-10,20294
2015-08-11,20506
2015-08-12,20506
2015-08-13,21458
2015-08-14,21039
2015-08-15,21039
2015-08-16,20707
2015-08-17,21440
2015-08-18,21440
2015-08-19,21685
2015-08-20,21685
2015-08-21,21344
2015-08-22,20801
2015-08-23,20801
2015-08-24,20164
2015-08-25,20164
2015-08-26,20399
2015-08-27,20002
2015-08-28,20002
2015-08-29,19730
2015-08-30,19730
2015-08-31,19450
2015-09-01,19450
2015-09-02,18865
2015-09-03,18154
2015-09-04,18094
2015-09-05,18094
2015-09-06,17905
2015-09-07,17905
2015-09-08,17731
2015-09-09,17731
2015-09-10,18127
2015-09-11,18127
2015-09-12,18530
2015-09-13,18281
2015-09-14,18281
2015-09-15,18216
2015-09-16,18216
2015-09-17,18507
2015-09-18,18507
2015-09-19,18276
2015-09-20,18276
2015-09-21,18263
2015-09-22,18263
2015-09-23,18368
2015-09-24,18368
2015-09-25,18368
2015-09-27,18462
2015-09-28,18702
2015-09-29,18702
2015-09-30,19067
2015-10-05,19422
2015-10-06,19603
2015-10-07,19603
2015-10-08,19745
2015-10-09,19745
2015-10-10,19857
2015-10-11,19642
2015-10-12,19642
2015-10-13,20013
2015-10-14,20013
2015-10-15,19979
2015-10-16,19979
2015-10-17,20235
2015-10-18,20235
2015-10-19,20802
2015-10-20,20802
2015-10-22,21278
2015-10-23,20896
2015-10-24,20896
2015-10-25,21005
2015-10-26,21005
2015-10-27,21503
2015-10-29,21462
2015-10-30,21462
2015-10-31,21884
2015-11-01,21884
2015-11-02,22620
2015-11-03,22620
2015-11-04,22620
2015-11-05,22773
2015-11-06,22773
2015-11-07,23450
2015-11-08,23450
2015-11-09,23450
2015-11-10,24183
2015-11-11,24183
2015-11-12,24078
2015-11-13,24078
2015-11-14,24268
2015-11-15,24268
2015-11-16,24124
2015-11-17,24124
2015-11-18,23572
2015-11-19,23572
2015-11-20,23076
2015-11-21,23076
2015-11-22,23339
2015-11-23,23339
2015-11-24,24243
2015-11-25,25421
2015-11-26,25421
2015-11-27,26569
2015-11-28,26569
2015-11-29,27898
2015-11-30,27898
2015-12-01,26734
2015-12-02,26734
2015-12-03,25493
2015-12-04,25493
2015-12-05,24342
2015-12-06,23152
2015-12-07,23152
2015-12-08,23004
2015-12-09,23193
2015-12-10,23193
2015-12-11,23144
2015-12-12,23144
2015-12-13,23084
2015-12-14,23084
2015-12-15,22692
2015-12-16,21629
2015-12-17,21629
2015-12-18,21102
2015-12-19,21102
2015-12-20,20115
2015-12-21,20115
2015-12-22,20067
2015-12-23,20067
2015-12-24,20321
2015-12-25,20321
2015-12-26,20318
2015-12-27,20897
2015-12-28,20897
2015-12-29,21932
2015-12-30,22993
2015-12-31,22993
2016-01-01,23979
2016-01-02,23979
2016-01-03,24209
2016-01-04,25420
2016-01-05,25420
2016-01-06,26158
2016-01-07,26158
2016-01-08,26085
2016-01-09,26085
2016-01-10,26016
2016-01-11,26016
2016-01-12,26659
2016-01-13,26659
2016-01-14,27235
2016-01-15,27953
2016-01-16,27953
2016-01-17,28430
2016-01-18,28439
2016-01-19,28439
2016-01-20,28387
2016-01-21,28387
2016-01-22,28064
2016-01-23,28064
2016-01-24,28772
2016-01-25,29218
2016-01-26,29218
2016-01-27,29777
2016-01-28,29777
2016-01-29,31139
2016-01-30,31139
2016-01-31,32628
2016-02-01,34244
2016-02-02,34244
2016-02-03,35957
2016-02-04,35957
2016-02-05,37754
2016-02-06,39642
2016-02-07,39642
2016-02-08,41423
2016-02-09,41423
2016-02-10,41951
2016-02-11,41951
2016-02-12,39876
2016-02-13,38369
2016-02-14,38369
2016-02-15,36803
2016-02-16,36803
2016-02-17,35768
2016-02-18,35768
2016-02-19,34764
2016-02-20,35259
2016-02-21,36035
2016-02-22,36035
2016-02-23,35356
2016-02-24,35356
2016-02-25,35374
2016-02-26,35374
2016-02-27,35152
2016-02-28,35152
2016-02-29,34921
2016-03-01,33967
2016-03-02,33967
2016-03-03,33315
2016-03-04,33315
2016-03-05,32588
2016-03-06,31917
2016-03-07,31917
2016-03-08,30983
2016-03-09,30895
2016-03-10,30889
2016-03-11,30889
2016-03-12,30990
2016-03-13,30990
2016-03-14,31145
2016-03-15,31262
2016-03-16,31627
2016-03-17,31627
2016-03-18,31689
2016-03-19,31689
