date_obj,Cooking%20apple price
2015-03-26,135
2015-03-27,135
2015-03-28,135
2015-03-29,135
2015-03-30,129
2015-03-31,129
2015-04-01,129
2015-04-02,129
2015-04-03,124
2015-04-04,124
2015-04-05,124
2015-04-06,118
2015-04-07,118
2015-04-08,118
2015-04-09,118
2015-04-10,112
2015-04-11,112
2015-04-12,112
2015-04-13,112
2015-04-14,106
2015-04-15,106
2015-04-16,106
2015-04-17,100
2015-04-18,100
2015-04-19,100
2015-04-20,100
2015-04-21,95
2015-04-22,95
2015-04-23,95
2015-04-24,95
2015-04-25,90
2015-04-26,90
2015-04-27,90
2015-04-28,85
2015-04-29,85
2015-04-30,85
2015-05-01,85
2015-05-02,80
2015-05-03,80
2015-05-04,80
2015-05-05,80
2015-05-06,76
2015-05-07,76
2015-05-08,76
2015-05-09,76
2015-05-10,72
2015-05-11,72
2015-05-12,72
2015-05-13,72
2015-05-14,68
2015-05-15,68
2015-05-16,68
2015-05-17,68
2015-05-18,64
2015-05-19,64
2015-05-20,64
2015-05-21,64
2015-05-22,64
2015-05-23,60
2015-05-24,60
2015-05-25,60
2015-05-26,60
2015-05-27,57
2015-05-28,57
2015-05-29,57
2015-05-30,54
2015-05-31,54
2015-06-01,54
2015-06-02,52
2015-06-03,52
2015-06-04,52
2015-06-05,51
2015-06-06,51
2015-06-07,51
2015-06-08,51
2015-06-09,48
2015-06-10,48
2015-06-11,48
2015-06-12,48
2015-06-13,46
2015-06-14,46
2015-06-15,46
2015-06-16,46
2015-06-17,48
2015-06-18,48
2015-06-19,48
2015-06-20,49
2015-06-21,49
2015-06-22,49
2015-06-23,49
2015-06-24,48
2015-06-25,48
2015-06-26,48
2015-06-27,48
2015-06-28,45
2015-06-29,45
2015-06-30,45
2015-07-01,45
2015-07-02,43
2015-07-03,43
2015-07-04,43
2015-07-05,43
2015-07-06,40
2015-07-07,40
2015-07-08,40
2015-07-09,40
2015-07-10,38
2015-07-11,38
2015-07-12,38
2015-07-13,38
2015-07-14,36
2015-07-15,36
2015-07-16,36
2015-07-17,34
2015-07-18,34
2015-07-19,34
2015-07-20,34
2015-07-21,32
2015-07-22,32
2015-07-23,32
2015-07-24,30
2015-07-25,30
2015-07-26,30
2015-07-27,30
2015-07-28,28
2015-07-29,28
2015-07-30,28
2015-07-31,28
2015-08-01,26
2015-08-02,26
2015-08-03,24
2015-08-04,24
2015-08-05,24
2015-08-06,25
2015-08-07,25
2015-08-08,25
2015-08-09,25
2015-08-10,25
2015-08-11,25
2015-08-12,25
2015-08-13,25
2015-08-14,25
2015-08-15,26
2015-08-16,26
2015-08-17,26
2015-08-18,26
2015-08-19,26
2015-08-20,26
2015-08-21,26
2015-08-22,26
2015-08-23,26
2015-08-24,28
2015-08-25,28
2015-08-26,28
2015-08-27,30
2015-08-28,30
2015-08-29,30
2015-08-30,32
2015-08-31,32
2015-09-01,32
2015-09-02,34
2015-09-03,34
2015-09-04,34
2015-09-05,34
2015-09-06,36
2015-09-07,36
2015-09-08,36
2015-09-09,36
2015-09-10,38
2015-09-11,38
2015-09-12,38
2015-09-13,38
2015-09-14,36
2015-09-15,36
2015-09-16,36
2015-09-17,36
2015-09-18,35
2015-09-19,35
2015-09-20,35
2015-09-21,35
2015-09-22,33
2015-09-23,33
2015-09-24,33
2015-09-25,33
2015-09-27,31
2015-09-28,31
2015-09-29,31
2015-09-30,29
2015-10-05,27
2015-10-06,27
2015-10-07,27
2015-10-08,25
2015-10-09,25
2015-10-10,25
2015-10-11,25
2015-10-12,23
2015-10-13,23
2015-10-14,23
2015-10-15,23
2015-10-16,23
2015-10-17,21
2015-10-18,21
2015-10-19,21
2015-10-20,21
2015-10-22,19
2015-10-23,19
2015-10-24,19
2015-10-25,18
2015-10-26,18
2015-10-27,18
2015-10-29,17
2015-10-30,17
2015-10-31,17
2015-11-01,17
2015-11-02,17
2015-11-03,17
2015-11-04,17
2015-11-05,17
2015-11-06,17
2015-11-07,17
2015-11-08,17
2015-11-09,17
2015-11-10,17
2015-11-11,17
2015-11-12,18
2015-11-13,18
2015-11-14,18
2015-11-15,18
2015-11-16,18
2015-11-17,19
2015-11-18,19
2015-11-19,19
2015-11-20,19
2015-11-21,19
2015-11-22,19
2015-11-23,19
2015-11-24,19
2015-11-25,19
2015-11-26,19
2015-11-27,20
