date_obj,Dragon%20full%20helm price
2015-03-26,41385024
2015-03-27,41385024
2015-03-28,40467386
2015-03-29,40467386
2015-03-30,40467386
2015-03-31,40467386
2015-04-01,39892450
2015-04-02,39892450
2015-04-03,39892450
2015-04-04,39365832
2015-04-05,39365832
2015-04-06,39365832
2015-04-07,39365832
2015-04-08,38715726
2015-04-09,38715726
2015-04-10,38715726
2015-04-11,36995374
2015-04-12,36995374
2015-04-13,36995374
2015-04-14,35522199
2015-04-15,35522199
2015-04-16,35522199
2015-04-17,34394941
2015-04-18,34394941
2015-04-19,34394941
2015-04-20,34464143
2015-04-21,34464143
2015-04-22,34464143
2015-04-23,35013576
2015-04-24,35013576
2015-04-25,35013576
2015-04-26,35805019
2015-04-27,35805019
2015-04-28,37053153
2015-04-29,37053153
2015-04-30,37053153
2015-05-01,38442348
2015-05-02,38442348
2015-05-03,38442348
2015-05-04,39325039
2015-05-05,39325039
2015-05-06,39325039
2015-05-07,39022407
2015-05-08,39022407
2015-05-09,39022407
2015-05-10,38609056
2015-05-11,38609056
2015-05-12,38609056
2015-05-13,39974670
2015-05-14,39974670
2015-05-15,39974670
2015-05-16,40236943
2015-05-17,40236943
2015-05-18,39373887
2015-05-19,39373887
2015-05-20,39373887
2015-05-21,39373887
2015-05-22,39043689
2015-05-23,39043689
2015-05-24,39043689
2015-05-25,38516834
2015-05-26,38516834
2015-05-27,38516834
2015-05-28,38684388
2015-05-29,38684388
2015-05-30,39209052
2015-05-31,39209052
2015-06-01,39209052
2015-06-02,39963759
2015-06-03,39963759
2015-06-04,39963759
2015-06-05,40928740
2015-06-06,40928740
2015-06-07,40928740
2015-06-08,40928740
2015-06-09,42062063
2015-06-10,42062063
2015-06-11,42062063
2015-06-12,43560905
2015-06-13,43560905
2015-06-14,43560905
2015-06-15,45054392
2015-06-16,45054392
2015-06-17,45054392
2015-06-18,45054392
2015-06-19,45439514
2015-06-20,45439514
2015-06-21,45439514
2015-06-22,45439514
2015-06-23,44687035
2015-06-24,44687035
2015-06-25,44687035
2015-06-26,44164704
2015-06-27,44164704
2015-06-28,44164704
2015-06-29,44164704
2015-06-30,43414203
2015-07-01,43414203
2015-07-02,43414203
2015-07-03,43657064
2015-07-04,43657064
2015-07-05,43657064
2015-07-06,45156097
2015-07-07,45156097
2015-07-08,45156097
2015-07-09,45587735
2015-07-10,45587735
2015-07-11,45587735
2015-07-12,46151274
2015-07-13,46151274
2015-07-14,47333553
2015-07-15,47333553
2015-07-16,47333553
2015-07-17,46972857
2015-07-18,46972857
2015-07-19,46972857
2015-07-20,47410449
2015-07-21,47410449
2015-07-22,47410449
2015-07-23,47410449
2015-07-24,47072867
2015-07-25,47072867
2015-07-26,47072867
2015-07-27,47642326
2015-07-28,47642326
2015-07-29,47642326
2015-07-30,48173248
2015-07-31,48173248
2015-08-01,48173248
2015-08-02,49302591
2015-08-03,49302591
2015-08-04,49302591
2015-08-05,50765896
2015-08-06,50765896
2015-08-07,50765896
2015-08-08,51106483
2015-08-09,51106483
2015-08-10,51106483
2015-08-11,50827904
2015-08-12,50827904
2015-08-13,50827904
2015-08-14,49466769
2015-08-15,49466769
2015-08-16,49466769
2015-08-17,48546843
2015-08-18,48546843
2015-08-19,48546843
2015-08-20,50044530
2015-08-21,50044530
2015-08-22,51964375
2015-08-23,51964375
2015-08-24,51964375
2015-08-25,51178296
2015-08-26,51178296
2015-08-27,50893168
2015-08-28,50893168
2015-08-29,50893168
2015-08-30,49923117
2015-08-31,49923117
2015-09-01,47551577
2015-09-02,47551577
2015-09-03,47551577
2015-09-04,46655634
2015-09-05,46655634
2015-09-06,46655634
2015-09-07,46285137
2015-09-08,46285137
2015-09-09,46287928
2015-09-10,46287928
2015-09-11,48186531
2015-09-12,48186531
2015-09-13,48322372
2015-09-14,48322372
2015-09-15,48515737
2015-09-16,48515737
2015-09-17,48951479
2015-09-18,48951479
2015-09-19,49761745
2015-09-20,49761745
2015-09-21,50748313
2015-09-22,50748313
2015-09-23,51574742
2015-09-24,51574742
2015-09-25,51574742
2015-09-27,49205222
2015-09-28,49205222
2015-09-29,48372167
2015-09-30,48372167
2015-10-05,48737152
2015-10-06,48737152
2015-10-07,47952589
2015-10-08,47952589
2015-10-09,47600315
2015-10-10,47600315
2015-10-11,47603234
2015-10-12,47603234
2015-10-13,47891416
2015-10-14,47891416
2015-10-15,47834245
2015-10-16,47834245
2015-10-17,47834245
2015-10-18,48337107
2015-10-19,48337107
2015-10-20,48863680
2015-10-22,48863680
2015-10-23,49399212
2015-10-24,49399212
2015-10-25,49257693
2015-10-26,49257693
2015-10-27,50015181
2015-10-29,50678585
2015-10-30,50678585
2015-10-31,49078423
2015-11-01,49078423
2015-11-02,47554942
2015-11-03,47554942
2015-11-04,47554942
2015-11-05,48291198
2015-11-06,48291198
2015-11-07,48043203
2015-11-08,48043203
2015-11-09,48043203
2015-11-10,47656320
2015-11-11,47656320
2015-11-12,48888876
2015-11-13,48888876
2015-11-14,48888876
2015-11-15,49768119
2015-11-16,49768119
2015-11-17,48727255
2015-11-18,48727255
2015-11-19,48383066
2015-11-20,48383066
2015-11-21,48383066
2015-11-22,49036696
2015-11-23,49036696
2015-11-24,49036696
2015-11-25,50622417
2015-11-26,50622417
2015-11-27,50222039
2015-11-28,50222039
2015-11-29,49849156
2015-11-30,49849156
2015-12-01,49626568
2015-12-02,49626568
2015-12-03,50157242
2015-12-04,50157242
2015-12-05,50157242
2015-12-06,51661773
2015-12-07,51661773
2015-12-08,51661773
2015-12-09,51950307
2015-12-10,51950307
2015-12-11,51386660
2015-12-12,51386660
2015-12-13,51439213
2015-12-14,51439213
2015-12-15,51439213
2015-12-16,50993751
2015-12-17,50993751
2015-12-18,50993751
2015-12-19,50410577
2015-12-20,50410577
2015-12-21,49877412
2015-12-22,49877412
2015-12-23,49761598
