date_obj,Bandos%20dragonhide%20set price
2015-03-26,162935
2015-03-27,162935
2015-03-28,162935
2015-03-29,162935
2015-03-30,162935
2015-03-31,162935
2015-04-01,162935
2015-04-02,162935
2015-04-03,162935
2015-04-04,162935
2015-04-05,162935
2015-04-06,168156
2015-04-07,168156
2015-04-08,168156
2015-04-09,168156
2015-04-10,168156
2015-04-11,168156
2015-04-12,168156
2015-04-13,168156
2015-04-14,168156
2015-04-15,168156
2015-04-16,168156
2015-04-17,168156
2015-04-18,168156
2015-04-19,168156
2015-04-20,168156
2015-04-21,168156
2015-04-22,168156
2015-04-23,168156
2015-04-24,168156
2015-04-25,168156
2015-04-26,168156
2015-04-27,172606
2015-04-28,172606
2015-04-29,172606
2015-04-30,172606
2015-05-01,172606
2015-05-02,172606
2015-05-03,172606
2015-05-04,172606
2015-05-05,172606
2015-05-06,172606
2015-05-07,172606
2015-05-08,172606
2015-05-09,172606
2015-05-10,172606
2015-05-11,172606
2015-05-12,172606
2015-05-13,172606
2015-05-14,172606
2015-05-15,172606
2015-05-16,172606
2015-05-17,172606
2015-05-18,172606
2015-05-19,172606
2015-05-20,172606
2015-05-21,175517
2015-05-22,175517
2015-05-23,175517
2015-05-24,175517
2015-05-25,175517
2015-05-26,175517
2015-05-27,175517
2015-05-28,175517
2015-05-29,175517
2015-05-30,175517
2015-05-31,175517
2015-06-01,175517
2015-06-02,175517
2015-06-03,178765
2015-06-04,178765
2015-06-05,178765
2015-06-06,178765
2015-06-07,178765
2015-06-08,178765
2015-06-09,178765
2015-06-10,178765
2015-06-11,178765
2015-06-12,178765
2015-06-13,178765
2015-06-14,178765
2015-06-15,178765
2015-06-16,178765
2015-06-17,178765
2015-06-18,184007
2015-06-19,184007
2015-06-20,184007
2015-06-21,184007
2015-06-22,184007
2015-06-23,184007
2015-06-24,184007
2015-06-25,184007
2015-06-26,184007
2015-06-27,184007
2015-06-28,184007
2015-06-29,184007
2015-06-30,184007
2015-07-01,184007
2015-07-02,190036
2015-07-03,190036
2015-07-04,190036
2015-07-05,190036
2015-07-06,190036
2015-07-07,190036
2015-07-08,190036
2015-07-09,190036
2015-07-10,190036
2015-07-11,190036
2015-07-12,190036
2015-07-13,190036
2015-07-14,190036
2015-07-15,190036
2015-07-16,190036
2015-07-17,196281
2015-07-18,196281
2015-07-19,196281
2015-07-20,196281
2015-07-21,196281
2015-07-22,196281
2015-07-23,196281
2015-07-24,196281
2015-07-25,196281
2015-07-26,196281
2015-07-27,196281
2015-07-28,196281
2015-07-29,196281
2015-07-30,196281
2015-07-31,196281
2015-08-01,199123
2015-08-02,199123
2015-08-03,199123
2015-08-04,199123
2015-08-05,199123
2015-08-06,199123
2015-08-07,199123
2015-08-08,199123
2015-08-09,199123
2015-08-10,199123
2015-08-11,199123
2015-08-12,199123
2015-08-13,201983
2015-08-14,201983
2015-08-15,201983
2015-08-16,201983
2015-08-17,201983
2015-08-18,201983
2015-08-19,201983
2015-08-20,201983
2015-08-21,201983
2015-08-22,201983
2015-08-23,201983
2015-08-24,201983
2015-08-25,201983
2015-08-26,199273
2015-08-27,199273
2015-08-28,199273
2015-08-29,199273
2015-08-30,199273
2015-08-31,199273
2015-09-01,199273
2015-09-02,199273
2015-09-03,199273
2015-09-04,199273
2015-09-05,199273
2015-09-06,199273
2015-09-07,199273
2015-09-08,199273
2015-09-09,194709
2015-09-10,194709
2015-09-11,194709
2015-09-12,194709
2015-09-13,194709
2015-09-14,194709
2015-09-15,194709
2015-09-16,194709
2015-09-17,194709
2015-09-18,194709
2015-09-19,194709
2015-09-20,194709
2015-09-21,194709
2015-09-22,193780
2015-09-23,193780
2015-09-24,193780
2015-09-25,193780
2015-09-27,193780
2015-09-28,193780
2015-09-29,193780
2015-09-30,193780
2015-10-05,193780
2015-10-06,193780
2015-10-07,193780
2015-10-08,184779
2015-10-09,184779
2015-10-10,184779
2015-10-11,184779
2015-10-12,184779
2015-10-13,184779
2015-10-14,184779
2015-10-15,184779
2015-10-16,184779
2015-10-17,184779
2015-10-18,184779
2015-10-19,184779
2015-10-20,184779
2015-10-22,184779
2015-10-23,176390
2015-10-24,176390
2015-10-25,176390
2015-10-26,176390
2015-10-27,176390
2015-10-28,176390
2015-10-29,176390
2015-10-30,176390
2015-10-31,176390
2015-11-01,176390
2015-11-02,176390
2015-11-03,176390
2015-11-04,176390
2015-11-05,167926
2015-11-06,167926
2015-11-07,167926
2015-11-08,167926
2015-11-09,167926
2015-11-10,167926
2015-11-11,167926
2015-11-12,167926
2015-11-13,167926
2015-11-14,167926
2015-11-15,167926
2015-11-16,167926
2015-11-17,167926
2015-11-18,160230
2015-11-19,160230
2015-11-20,160230
2015-11-21,160230
2015-11-22,160230
2015-11-23,160230
2015-11-24,160230
2015-11-25,160230
2015-11-26,160230
2015-11-27,160230
2015-11-28,160230
2015-11-29,154158
2015-11-30,154158
2015-12-01,154158
2015-12-02,154158
2015-12-03,154158
2015-12-04,154158
2015-12-05,154158
2015-12-06,154158
2015-12-07,154158
2015-12-08,154158
2015-12-09,154158
2015-12-10,154158
2015-12-11,153463
2015-12-12,153463
2015-12-13,153463
2015-12-14,153463
2015-12-15,153463
2015-12-16,153463
2015-12-17,153463
2015-12-18,153463
2015-12-19,153463
2015-12-20,147200
2015-12-21,147200
2015-12-22,147200
2015-12-23,147200
2015-12-24,147200
2015-12-25,147200
2015-12-26,147200
2015-12-27,147200
2015-12-28,147200
2015-12-29,147200
2015-12-30,144846
2015-12-31,144846
