date_obj,Ensouled%20giant%20head price
2016-01-08,2791
2016-01-09,2651
2016-01-10,2518
2016-01-11,2408
2016-01-12,2287
2016-01-13,2172
2016-01-14,2190
2016-01-15,2087
2016-01-16,1982
2016-01-17,1882
2016-01-18,1787
2016-01-19,1697
2016-01-20,1636
2016-01-21,1554
2016-01-22,1503
2016-01-23,1457
2016-01-24,1388
2016-01-25,1319
2016-01-26,1264
2016-01-27,1328
2016-01-28,1387
2016-01-29,1362
2016-01-30,1301
2016-01-31,1267
2016-02-01,1289
2016-02-02,1353
2016-02-03,1421
2016-02-04,1493
2016-02-05,1568
2016-02-06,1647
2016-02-07,1730
2016-02-08,1817
2016-02-09,1902
2016-02-10,1838
2016-02-11,1820
2016-02-12,1787
2016-02-13,1733
2016-02-14,1654
2016-02-15,1582
2016-02-16,1505
2016-02-17,1438
2016-02-18,1388
2016-02-19,1423
2016-02-20,1370
2016-02-21,1301
2016-02-22,1235
2016-02-23,1175
2016-02-24,1116
2016-02-25,1067
2016-02-26,1021
2016-02-27,1010
2016-02-28,1046
2016-02-29,1099
2016-03-01,1154
2016-03-02,1212
2016-03-03,1265
2016-03-04,1327
2016-03-05,1379
2016-03-06,1447
2016-03-07,1520
2016-03-08,1596
2016-03-09,1584
2016-03-10,1653
2016-03-11,1736
2016-03-12,1822
2016-03-13,1840
2016-03-14,1917
2016-03-15,1951
2016-03-16,2041
2016-03-17,2026
2016-03-18,1924
2016-03-19,1862
2016-03-20,1828
2016-03-21,1772
2016-03-22,1685
2016-03-23,1600
2016-03-24,1551
2016-03-25,1534
2016-03-26,1461
2016-03-27,1394
2016-03-28,1336
2016-03-29,1293
2016-03-30,1277
2016-03-31,1236
2016-04-01,1272
2016-04-02,1293
2016-04-03,1288
2016-04-04,1249
2016-04-05,1295
2016-04-06,1309
2016-04-07,1321
2016-04-08,1300
2016-04-09,1271
2016-04-10,1283
2016-04-11,1261
2016-04-12,1254
2016-04-13,1309
2016-04-14,1293
2016-04-15,1332
2016-04-16,1339
2016-04-17,1393
2016-04-18,1334
2016-04-19,1271
2016-04-20,1207
2016-04-21,1179
2016-04-22,1164
2016-04-23,1217
2016-04-24,1180
2016-04-25,1177
2016-04-26,1179
2016-04-27,1178
2016-04-28,1138
2016-04-29,1101
2016-04-30,1063
2016-05-01,1013
2016-05-02,1028
2016-05-03,1012
2016-05-04,996
2016-05-05,1032
2016-05-06,1049
2016-05-07,1034
2016-05-08,1037
2016-05-09,1029
2016-05-10,985
2016-05-11,942
2016-05-12,905
2016-05-13,943
2016-05-14,921
2016-05-15,927
2016-05-16,882
2016-05-17,848
2016-05-18,852
2016-05-19,858
2016-05-22,861
2016-05-23,832
2016-05-24,818
2016-05-25,799
2016-05-26,781
2016-05-27,751
2016-05-28,718
2016-05-29,694
2016-05-30,728
2016-05-31,730
2016-06-01,763
2016-06-02,801
2016-06-03,786
2016-06-04,771
2016-06-05,793
2016-06-06,806
2016-06-07,783
2016-06-08,771
2016-06-09,788
2016-06-10,786
2016-06-11,751
2016-06-12,756
2016-06-13,786
2016-06-14,812
2016-06-15,848
2016-06-16,855
2016-06-17,826
2016-06-18,824
2016-06-19,837
2016-06-20,828
2016-06-21,836
2016-06-22,868
2016-06-23,871
2016-06-24,902
2016-06-25,946
2016-06-26,991
2016-06-27,1041
2016-06-28,1094
2016-06-29,1149
2016-06-30,1193
2016-07-01,1226
2016-07-02,1288
2016-07-03,1352
2016-07-04,1400
2016-07-05,1470
2016-07-06,1544
2016-07-07,1622
2016-07-08,1668
2016-07-09,1743
2016-07-10,1828
2016-07-11,1843
2016-07-12,1770
2016-07-13,1684
2016-07-14,1635
2016-07-15,1677
2016-07-16,1641
2016-07-17,1569
2016-07-18,1491
2016-07-23,1415
2016-07-24,1354
2016-07-25,1353
2016-07-26,1372
2016-07-27,1389
2016-07-28,1451
2016-07-29,1446
2016-07-30,1440
2016-07-31,1368
2016-08-01,1299
2016-08-02,1329
2016-08-03,1380
2016-08-04,1362
2016-08-05,1427
2016-08-06,1442
2016-08-07,1406
2016-08-08,1462
2016-08-09,1465
2016-08-10,1525
2016-08-11,1598
2016-08-12,1577
2016-08-13,1613
2016-08-14,1594
2016-08-15,1540
2016-08-16,1465
2016-08-17,1415
2016-08-18,1437
2016-08-19,1486
2016-08-20,1516
2016-08-21,1518
2016-08-22,1492
2016-08-23,1481
2016-08-24,1452
2016-08-25,1426
2016-08-26,1440
2016-08-28,1421
2016-08-31,1451
2016-09-01,1497
2016-09-02,1458
2016-09-03,1430
2016-09-04,1393
2016-09-05,1360
2016-09-06,1364
2016-09-07,1411
2016-09-08,1444
2016-09-09,1476
2016-09-10,1409
2016-09-11,1346
2016-09-12,1334
2016-09-13,1397
2016-09-14,1401
2016-09-15,1419
2016-09-16,1385
2016-09-17,1429
2016-09-18,1494
2016-09-19,1441
2016-09-20,1421
2016-09-21,1493
2016-09-22,1472
2016-09-23,1435
2016-09-24,1507
2016-09-25,1519
2016-09-26,1546
2016-09-27,1488
2016-09-28,1428
2016-09-29,1404
2016-09-30,1354
2016-10-01,1291
2016-10-02,1310
2016-10-03,1327
2016-10-04,1284
2016-10-05,1316
2016-10-06,1269
2016-10-07,1209
2016-10-08,1181
2016-10-09,1206
2016-10-10,1155
2016-10-11,1156
2016-10-12,1177
2016-10-13,1127
2016-10-14,1088
2016-10-15,1061
2016-10-16,1094
2016-10-17,1066
2016-10-18,1077
2016-10-19,1067
2016-10-20,1068
2016-10-21,1093
