date_obj,Nasturtiums price
2015-03-26,501
2015-03-27,501
2015-03-28,501
2015-03-29,501
2015-03-30,481
2015-03-31,481
2015-04-01,481
2015-04-02,481
2015-04-03,481
2015-04-04,481
2015-04-05,481
2015-04-06,481
2015-04-07,481
2015-04-08,481
2015-04-09,481
2015-04-10,481
2015-04-11,481
2015-04-12,481
2015-04-13,481
2015-04-14,481
2015-04-15,481
2015-04-16,481
2015-04-17,481
2015-04-18,463
2015-04-19,463
2015-04-20,463
2015-04-21,463
2015-04-22,463
2015-04-23,463
2015-04-24,463
2015-04-25,463
2015-04-26,463
2015-04-27,463
2015-04-28,463
2015-04-29,463
2015-04-30,463
2015-05-01,463
2015-05-02,463
2015-05-03,463
2015-05-04,463
2015-05-05,463
2015-05-06,463
2015-05-07,463
2015-05-08,463
2015-05-09,460
2015-05-10,460
2015-05-11,460
2015-05-12,460
2015-05-13,460
2015-05-14,460
2015-05-15,460
2015-05-16,460
2015-05-17,460
2015-05-18,460
2015-05-19,460
2015-05-20,460
2015-05-21,460
2015-05-22,460
2015-05-23,460
2015-05-24,460
2015-05-25,460
2015-05-26,460
2015-05-27,460
2015-05-28,448
2015-05-29,448
2015-05-30,448
2015-05-31,448
2015-06-01,448
2015-06-02,448
2015-06-03,448
2015-06-04,448
2015-06-05,448
2015-06-06,448
2015-06-07,448
2015-06-08,448
2015-06-09,448
2015-06-10,429
2015-06-11,429
2015-06-12,429
2015-06-13,429
2015-06-14,429
2015-06-15,429
2015-06-16,429
2015-06-17,429
2015-06-18,429
2015-06-19,429
2015-06-20,429
2015-06-21,429
2015-06-22,429
2015-06-23,429
2015-06-24,413
2015-06-25,413
2015-06-26,413
2015-06-27,413
2015-06-28,413
2015-06-29,413
2015-06-30,413
2015-07-01,413
2015-07-02,413
2015-07-03,413
2015-07-04,413
2015-07-05,413
2015-07-06,413
2015-07-07,413
2015-07-08,413
2015-07-09,399
2015-07-10,399
2015-07-11,399
2015-07-12,399
2015-07-13,399
2015-07-14,399
2015-07-15,399
2015-07-16,399
2015-07-17,399
2015-07-18,399
2015-07-19,399
2015-07-20,383
2015-07-21,383
2015-07-22,383
2015-07-23,383
2015-07-24,383
2015-07-25,383
2015-07-26,383
2015-07-27,383
2015-07-28,383
2015-07-29,383
2015-07-30,383
2015-07-31,383
2015-08-01,383
2015-08-02,374
2015-08-03,374
2015-08-04,374
2015-08-05,374
2015-08-06,374
2015-08-07,374
2015-08-08,374
2015-08-09,374
2015-08-10,374
2015-08-11,374
2015-08-12,374
2015-08-13,374
2015-08-14,374
2015-08-15,376
2015-08-16,376
2015-08-17,376
2015-08-18,376
2015-08-19,376
2015-08-20,376
2015-08-21,376
2015-08-22,376
2015-08-23,376
2015-08-24,376
2015-08-25,376
2015-08-26,369
2015-08-27,369
2015-08-28,369
2015-08-29,369
2015-08-30,369
2015-08-31,369
2015-09-01,369
2015-09-02,369
2015-09-03,369
2015-09-04,369
2015-09-05,369
2015-09-06,369
2015-09-07,369
2015-09-08,369
2015-09-09,369
2015-09-10,369
2015-09-11,369
2015-09-12,369
2015-09-13,369
2015-09-14,369
2015-09-15,369
2015-09-16,369
2015-09-17,369
2015-09-18,369
2015-09-19,369
2015-09-20,369
2015-09-21,369
2015-09-22,369
2015-09-23,369
2015-09-24,351
2015-09-25,351
2015-09-27,351
2015-09-28,351
2015-09-29,351
2015-09-30,351
2015-10-05,351
2015-10-06,336
2015-10-07,336
2015-10-08,336
2015-10-09,336
2015-10-10,336
2015-10-11,336
2015-10-12,336
2015-10-13,336
2015-10-14,336
2015-10-15,336
2015-10-16,336
2015-10-17,336
2015-10-18,336
2015-10-19,336
2015-10-20,321
2015-10-22,321
2015-10-23,321
2015-10-24,321
2015-10-25,321
2015-10-26,321
2015-10-27,321
2015-10-29,321
2015-10-30,321
2015-10-31,321
2015-11-01,321
2015-11-02,321
2015-11-03,321
2015-11-04,321
2015-11-05,305
2015-11-06,305
2015-11-07,305
2015-11-08,305
2015-11-09,305
2015-11-10,305
2015-11-11,305
2015-11-12,305
2015-11-13,305
2015-11-14,305
2015-11-15,305
2015-11-16,305
2015-11-17,305
2015-11-18,305
2015-11-19,305
2015-11-20,305
2015-11-21,305
2015-11-22,301
2015-11-23,301
2015-11-24,301
2015-11-25,301
2015-11-26,301
2015-11-27,301
2015-11-28,301
2015-11-29,301
2015-11-30,301
2015-12-01,301
2015-12-02,301
2015-12-03,301
2015-12-04,301
2015-12-05,301
2015-12-06,301
2015-12-07,301
2015-12-08,303
2015-12-09,303
2015-12-10,303
2015-12-11,303
2015-12-12,303
2015-12-13,303
2015-12-14,303
2015-12-15,303
2015-12-16,303
2015-12-17,303
2015-12-18,303
2015-12-19,303
2015-12-20,303
