date_obj,Thieving%20bag price
2019-04-11,100000
2019-04-11,105000
2019-04-12,110250
2019-04-13,115763
2019-04-14,121552
2019-04-15,250000
2019-04-16,250000
2019-04-17,240451
2019-04-18,229608
2019-04-19,218813
2019-04-20,208998
2019-04-21,208998
2019-04-22,198548
2019-04-23,189290
2019-04-24,181215
2019-04-25,172814
2019-04-26,165102
2019-04-27,157882
2019-04-28,150694
2019-04-29,144223
2019-04-30,137584
2019-05-01,131285
2019-05-02,125337
2019-05-03,119449
2019-05-04,113931
2019-05-05,108879
2019-05-06,103887
2019-05-07,99029
2019-05-08,94752
2019-05-09,90495
2019-05-10,86361
2019-05-11,82623
2019-05-12,79131
2019-05-13,75544
2019-05-14,72324
2019-05-15,69308
2019-05-16,66398
2019-05-17,66398
2019-05-18,63078
2019-05-19,63078
2019-05-20,60066
2019-05-21,60066
2019-05-22,57621
2019-05-23,55116
2019-05-24,52703
2019-05-25,50483
2019-05-26,48440
2019-05-27,46283
2019-05-28,46283
2019-05-29,43968
2019-05-30,43968
2019-05-31,41870
2019-06-01,40087
2019-06-02,38595
2019-06-03,36844
2019-06-04,35149
2019-06-05,33699
2019-06-06,33699
2019-06-07,32014
2019-06-08,30532
2019-06-09,29367
2019-06-10,29367
2019-06-11,27904
2019-06-12,27904
2019-06-13,28127
2019-06-14,28127
2019-06-15,29534
2019-06-16,29534
2019-06-17,31011
2019-06-18,31011
2019-06-19,31011
2019-06-20,32562
2019-06-21,32562
2019-06-22,34134
2019-06-23,35780
2019-06-24,35780
2019-06-25,37516
2019-06-26,37516
2019-06-27,39097
2019-06-28,39097
2019-06-29,39097
2019-06-30,40316
2019-07-01,40316
2019-07-02,40316
2019-07-03,41400
2019-07-04,41400
2019-07-05,42375
2019-07-06,42375
2019-07-07,42452
2019-07-08,42452
2019-07-09,43368
2019-07-10,43368
2019-07-11,43368
2019-07-12,44393
2019-07-13,44393
2019-07-14,46248
2019-07-15,46248
2019-07-16,46248
2019-07-17,47942
2019-07-18,47942
2019-07-19,47942
2019-07-20,46760
2019-07-21,46760
2019-07-22,47850
2019-07-23,47850
2019-07-24,47850
2019-07-25,48996
2019-07-26,48996
2019-07-27,48996
2019-07-28,47513
2019-07-29,47513
2019-07-30,45243
2019-07-31,45243
2019-08-01,43374
2019-08-02,43374
2019-08-03,41398
2019-08-04,41398
2019-08-05,39775
2019-08-06,39775
2019-08-07,38049
2019-08-08,38049
2019-08-09,38049
2019-08-10,36146
2019-08-11,36146
2019-08-12,34343
2019-08-13,34343
2019-08-14,32880
2019-08-15,32880
2019-08-16,31236
2019-08-17,31236
2019-08-18,29689
2019-08-19,29689
2019-08-20,28748
2019-08-21,28748
2019-08-22,28362
2019-08-23,28362
2019-08-24,27031
2019-08-24,27031
2019-08-25,27031
2019-08-25,27031
2019-08-26,27031
2019-08-26,27031
2019-08-27,26050
2019-08-27,26050
2019-08-28,26050
2019-08-29,25466
2019-08-30,25466
2019-08-31,24685
2019-09-01,24685
2019-09-02,24463
2019-09-03,24463
2019-09-04,23481
2019-09-05,23481
2019-09-06,23481
2019-09-07,23299
2019-09-08,23299
2019-09-09,22303
2019-09-10,22303
2019-09-11,22303
2019-09-12,21406
2019-09-13,21406
2019-09-14,21406
2019-09-15,20364
2019-09-16,20364
2019-09-17,20074
2019-09-18,20074
2019-09-19,19231
2019-09-20,19231
2019-09-21,18476
2019-09-22,18476
2019-09-23,17690
2019-09-24,17690
2019-09-25,17100
2019-09-26,17100
2019-09-27,16771
2019-09-28,16771
2019-09-29,16145
2019-09-30,16145
2019-10-01,15722
2019-10-02,15722
2019-10-03,15722
2019-10-04,15667
2019-10-05,15667
2019-10-06,16264
2019-10-07,16264
2019-10-08,17078
2019-10-09,17078
2019-10-10,17078
2019-10-11,17871
2019-10-12,17871
2019-10-13,18566
2019-10-14,18566
2019-10-15,19468
2019-10-16,19468
2019-10-17,19468
2019-10-18,19821
2019-10-19,19821
2019-10-20,18829
2019-10-21,18829
2019-10-22,17950
2019-10-23,17950
2019-10-24,17787
2019-10-25,17787
2019-10-26,17562
2019-10-27,17562
2019-10-28,16727
2019-10-29,16727
2019-10-30,16727
2019-10-31,15890
2019-11-01,15890
2019-11-02,15142
2019-11-03,14506
2019-11-04,14506
2019-11-05,13829
2019-11-06,13829
2019-11-07,13200
2019-11-08,13200
2019-11-09,12958
2019-11-10,12958
2019-11-11,12768
2019-11-12,12768
2019-11-13,12199
2019-11-14,12199
2019-11-15,11713
2019-11-16,11713
