date_obj,Adamant%20scimitar price
2016-02-13,2774
2016-02-14,2769
2016-02-15,2765
2016-02-16,2675
2016-02-17,2628
2016-02-18,2620
2016-02-19,2675
2016-02-20,2719
2016-02-21,2839
2016-02-22,2981
2016-02-23,3131
2016-02-24,3288
2016-02-25,3448
2016-02-26,3606
2016-02-27,3734
2016-02-28,3605
2016-02-29,3424
2016-03-01,3252
2016-03-02,3089
2016-03-03,2934
2016-03-04,2787
2016-03-05,2683
2016-03-06,2633
2016-03-07,2689
2016-03-08,2745
2016-03-09,2682
2016-03-10,2559
2016-03-11,2435
2016-03-12,2413
2016-03-13,2413
2016-03-14,2394
2016-03-15,2402
2016-03-16,2344
2016-03-17,2397
2016-03-18,2417
2016-03-19,2474
2016-03-20,2563
2016-03-21,2500
2016-03-22,2541
2016-03-23,2595
2016-03-24,2695
2016-03-25,2825
2016-03-26,2950
2016-03-27,3091
2016-03-28,3223
2016-03-29,3344
2016-03-30,3422
2016-03-31,3555
2016-04-01,3678
2016-04-02,3745
2016-04-03,3781
2016-04-04,3912
2016-04-05,4083
2016-04-06,4130
2016-04-07,4140
2016-04-08,4225
2016-04-09,4171
2016-04-10,3964
2016-04-11,3765
2016-04-12,3576
2016-04-13,3397
2016-04-14,3227
2016-04-15,3080
2016-04-16,2989
2016-04-17,2964
2016-04-18,2986
2016-04-19,2969
2016-04-20,3011
2016-04-21,3061
2016-04-22,3017
2016-04-23,2955
2016-04-24,2915
2016-04-25,2984
2016-04-26,3133
2016-04-27,3265
2016-04-28,3190
2016-04-29,3060
2016-04-30,2920
2016-05-01,2781
2016-05-02,2671
2016-05-03,2590
2016-05-04,2540
2016-05-05,2642
2016-05-06,2768
2016-05-07,2887
2016-05-08,3009
2016-05-09,3081
2016-05-10,3197
2016-05-11,3341
2016-05-12,3497
2016-05-13,3590
2016-05-14,3531
2016-05-15,3419
2016-05-16,3248
2016-05-17,3085
2016-05-18,2930
2016-05-19,2784
2016-05-21,2632
2016-05-22,2658
2016-05-23,2778
2016-05-24,2910
2016-05-25,2979
2016-05-26,2929
2016-05-27,2861
2016-05-28,2882
2016-05-29,2882
2016-05-30,2935
2016-05-31,2991
2016-06-01,3114
2016-06-02,3235
2016-06-03,3265
2016-06-04,3192
2016-06-05,3222
2016-06-06,3236
2016-06-07,3272
2016-06-08,3201
2016-06-09,3129
2016-06-10,3036
2016-06-11,2975
2016-06-12,2869
2016-06-13,2857
2016-06-14,2863
2016-06-15,2912
2016-06-16,2892
2016-06-17,2869
2016-06-18,2851
2016-06-19,2749
2016-06-20,2670
2016-06-21,2599
2016-06-22,2551
2016-06-23,2506
2016-06-24,2442
2016-06-25,2492
2016-06-26,2598
2016-06-27,2608
2016-06-28,2595
2016-06-29,2622
2016-06-30,2628
2016-07-01,2591
2016-07-02,2545
2016-07-03,2577
2016-07-04,2556
2016-07-05,2582
2016-07-06,2540
2016-07-07,2546
2016-07-08,2517
2016-07-09,2525
2016-07-10,2470
2016-07-11,2397
2016-07-12,2422
2016-07-13,2502
2016-07-14,2504
2016-07-15,2556
2016-07-16,2584
2016-07-17,2646
2016-07-18,2636
2016-07-23,2483
2016-07-24,2433
2016-07-25,2445
2016-07-26,2408
2016-07-27,2387
2016-07-28,2427
2016-07-29,2404
2016-07-30,2312
2016-07-31,2221
2016-08-01,2142
2016-08-02,2092
2016-08-03,2109
2016-08-04,2109
2016-08-05,2082
2016-08-06,2086
2016-08-07,2158
2016-08-08,2190
2016-08-09,2190
2016-08-10,2116
2016-08-11,2045
2016-08-12,1979
2016-08-13,1956
2016-08-14,1981
2016-08-15,2041
2016-08-16,2114
2016-08-17,2145
2016-08-18,2074
2016-08-19,2016
2016-08-20,1978
2016-08-21,1941
2016-08-22,1913
2016-08-23,1873
2016-08-24,1916
2016-08-25,1932
2016-08-26,1908
2016-08-28,1840
2016-08-31,1920
2016-09-01,1905
2016-09-02,1842
2016-09-03,1830
2016-09-04,1874
2016-09-05,1860
2016-09-06,1878
2016-09-07,1849
2016-09-08,1924
2016-09-09,1989
2016-09-10,2023
2016-09-11,2015
2016-09-12,2028
2016-09-13,2028
2016-09-14,2001
2016-09-15,1957
2016-09-16,1903
2016-09-17,1923
2016-09-18,1914
2016-09-19,1908
2016-09-20,1936
2016-09-21,1925
2016-09-22,1902
2016-09-23,1880
2016-09-24,1891
2016-09-25,1903
2016-09-26,1901
2016-09-27,1891
2016-09-28,1933
2016-09-29,1986
2016-09-30,1995
2016-10-01,1999
2016-10-02,2002
2016-10-03,1950
2016-10-04,1965
2016-10-05,2031
2016-10-06,2072
2016-10-07,2092
2016-10-08,2180
2016-10-09,2255
2016-10-10,2366
2016-10-11,2436
2016-10-12,2455
2016-10-13,2546
2016-10-14,2535
2016-10-15,2410
2016-10-16,2337
2016-10-17,2247
2016-10-18,2159
2016-10-19,2085
2016-10-20,2130
2016-10-21,2127
2016-10-22,2119
2016-10-23,2142
2016-10-24,2080
2016-10-25,2091
2016-10-26,2127
2016-10-27,2145
2016-10-28,2140
2016-10-29,2186
2016-10-30,2163
2016-10-31,2151
2016-11-01,2122
2016-11-02,2150
2016-11-03,2085
2016-11-04,2070
2016-11-05,2013
2016-11-06,1985
2016-11-07,1999
2016-11-08,2010
2016-11-09,2036
2016-11-10,2056
2016-11-11,2050
2016-11-12,2050
2016-11-13,2075
2016-11-14,2005
2016-11-15,2004
2016-12-07,1906
2016-12-08,1878
2016-12-09,1855
2016-12-10,1806
2016-12-11,1759
2016-12-12,1725
2016-12-13,1722
2016-12-14,1699
2016-12-15,1698
2016-12-16,1680
2016-12-17,1633
2016-12-18,1580
2016-12-19,1566
2016-12-20,1623
2016-12-21,1700
2016-12-22,1762
2016-12-23,1823
2016-12-24,1881
2016-12-25,1919
2016-12-26,1968
2016-12-27,2016
2016-12-28,2066
2016-12-29,2156
2016-12-30,2193
2016-12-31,2219
2017-01-01,2210
2017-01-02,2144
2017-01-03,2105
2017-01-04,2161
2017-01-05,2182
2017-01-06,2268
2017-01-07,2374
2017-01-08,2398
2017-01-09,2417
2017-01-10,2375
2017-01-11,2434
2017-01-12,2477
2017-01-13,2506
2017-01-14,2510
2017-01-15,2458
2017-01-16,2362
2017-01-17,2300
2017-01-18,2241
2017-01-19,2204
2017-01-20,2192
2017-01-21,2134
2017-01-22,2078
2017-01-23,2008
2017-01-27,1795
2017-01-28,1788
2017-01-29,1761
2017-01-30,1804
2017-01-31,1787
2017-02-01,1749
2017-02-02,1797
2017-02-03,1755
2017-02-04,1741
2017-02-05,1721
2017-02-06,1707
2017-02-07,1685
2017-02-08,1665
2017-02-09,1637
2017-02-10,1619
2017-02-11,1577
2017-02-12,1542
2017-02-13,1549
2017-02-14,1529
2017-02-15,1524
2017-02-16,1533
2017-02-17,1517
2017-02-18,1539
2017-02-19,1541
2017-02-20,1570
2017-02-21,1620
2017-02-22,1642
2017-02-23,1683
2017-02-24,1675
2017-02-25,1675
2017-02-26,1703
2017-02-27,1672
2017-02-28,1658
2017-03-01,1670
2017-03-02,1648
2017-03-03,1618
2017-03-04,1581
2017-03-05,1570
2017-03-06,1539
2017-03-07,1506
2017-03-08,1484
2017-03-09,1479
2017-03-10,1461
2017-03-11,1453
2017-03-12,1446
2017-03-13,1401
2017-03-14,1394
2017-03-15,1414
2017-03-16,1447
2017-03-17,1496
2017-03-18,1524
2017-03-19,1551
2017-03-20,1564
2017-03-21,1529
2017-03-22,1519
2017-03-23,1553
2017-03-24,1621
2017-03-25,1641
2017-03-26,1674
2017-03-27,1695
2017-03-28,1713
2017-03-29,1660
2017-03-30,1643
2017-03-31,1660
2017-04-01,1685
2017-04-02,1681
2017-04-03,1647
2017-04-04,1617
2017-04-05,1567
2017-04-12,1591
2017-04-13,1571
2017-04-14,1512
2017-04-15,1513
2017-04-16,1497
2017-04-17,1521
2017-04-18,1529
2017-04-19,1559
2017-04-20,1620
2017-04-21,1660
2017-04-22,1685
2017-04-23,1700
2017-04-24,1733
2017-04-25,1779
2017-04-26,1790
2017-04-27,1732
2017-04-28,1697
2017-04-29,1671
2017-04-30,1662
2017-05-01,1633
2017-05-02,1610
2017-05-03,1599
2017-05-04,1591
2017-05-05,1569
2017-05-06,1595
2017-05-07,1517
2017-05-08,1460
2017-05-09,1422
2017-05-10,1426
2017-05-11,1418
2017-05-12,1416
2017-05-13,1446
2017-05-14,1474
2017-05-15,1470
2017-05-16,1466
2017-05-17,1475
2017-05-18,1515
2017-05-19,1478
2017-05-20,1472
2017-05-21,1450
2017-05-22,1456
2017-05-23,1471
2017-05-24,1472
2017-05-25,1466
2017-05-26,1476
2017-05-27,1480
2017-05-28,1435
2017-05-29,1403
2017-05-30,1398
2017-05-31,1416
2017-06-01,1447
2017-06-02,1468
2017-06-03,1459
2017-06-04,1436
2017-06-05,1423
2017-06-06,1421
2017-06-07,1411
2017-06-08,1397
2017-06-09,1404
2017-06-10,1411
2017-06-11,1425
2017-06-12,1445
2017-06-13,1420
2017-06-14,1402
2017-06-15,1412
2017-06-16,1388
2017-06-17,1384
2017-06-18,1374
2017-06-19,1384
2017-06-20,1387
2017-06-21,1385
2017-06-22,1404
2017-06-23,1400
2017-06-24,1422
