date_obj,Bronze%20kiteshield%20(t) price
2015-03-26,12813
2015-03-27,12813
2015-03-28,12523
2015-03-29,12523
2015-03-30,12877
2015-03-31,12877
2015-04-01,12877
2015-04-02,12730
2015-04-03,12730
2015-04-04,12796
2015-04-05,12796
2015-04-06,12796
2015-04-07,12594
2015-04-08,12594
2015-04-09,12594
2015-04-10,12015
2015-04-11,12015
2015-04-12,11683
2015-04-13,11683
2015-04-14,11683
2015-04-15,11205
2015-04-16,11205
2015-04-17,11228
2015-04-18,11228
2015-04-19,10913
2015-04-20,10913
2015-04-21,10913
2015-04-22,10656
2015-04-23,10656
2015-04-24,10612
2015-04-25,10612
2015-04-26,10612
2015-04-27,10723
2015-04-28,10723
2015-04-29,10817
2015-04-30,10817
2015-05-01,10453
2015-05-02,10453
2015-05-03,10166
2015-05-04,10166
2015-05-05,9877
2015-05-06,9877
2015-05-07,9573
2015-05-08,9573
2015-05-09,9263
2015-05-10,9263
2015-05-11,9263
2015-05-12,8952
2015-05-13,8952
2015-05-14,8533
2015-05-15,8533
2015-05-16,8533
2015-05-17,8236
2015-05-18,8236
2015-05-19,8159
2015-05-20,8159
2015-05-21,8159
2015-05-22,8165
2015-05-23,8165
2015-05-24,8165
2015-05-25,7913
2015-05-26,7913
2015-05-27,7913
2015-05-28,7807
2015-05-29,7807
2015-05-30,7782
2015-05-31,7782
2015-06-01,7782
2015-06-02,8004
2015-06-03,8004
2015-06-04,8004
2015-06-05,7803
2015-06-06,7803
2015-06-07,7803
2015-06-08,8053
2015-06-09,8053
2015-06-10,8053
2015-06-11,8016
2015-06-12,8016
2015-06-13,8016
2015-06-14,7836
2015-06-15,7836
2015-06-16,7836
2015-06-17,7945
2015-06-18,7945
2015-06-19,7945
2015-06-20,8151
2015-06-21,8151
2015-06-22,8151
2015-06-23,8151
2015-06-24,8466
2015-06-25,8466
2015-06-26,8466
2015-06-27,8466
2015-06-28,8637
2015-06-29,8637
2015-06-30,8637
2015-07-01,8637
2015-07-02,8590
2015-07-03,8590
2015-07-04,8376
2015-07-05,8376
2015-07-06,8376
2015-07-07,8115
2015-07-08,8115
2015-07-09,8115
2015-07-10,7994
2015-07-11,7994
