date_obj,Gilded%20spade price
2019-04-11,500000
2019-04-11,520257
2019-04-12,543431
2019-04-13,566204
2019-04-14,593053
2019-04-15,27000000
2019-04-16,27000000
2019-04-17,27000000
2019-04-18,27000000
2019-04-19,25657613
2019-04-20,25657613
2019-04-21,25657613
2019-04-22,24374732
2019-04-23,24374732
2019-04-24,24374732
2019-04-25,23155995
2019-04-26,23155995
2019-04-27,23155995
2019-04-28,23155995
2019-04-29,21998195
2019-04-30,21998195
2019-05-01,21998195
2019-05-02,20898285
2019-05-03,20898285
2019-05-04,19865535
2019-05-05,19865535
2019-05-06,19865535
2019-05-07,19865535
2019-05-08,18872258
2019-05-09,18872258
2019-05-10,18872258
2019-05-11,18872258
2019-05-12,17928645
2019-05-13,17928645
2019-05-14,17040512
2019-05-15,17040512
2019-05-16,17040512
2019-05-17,16204637
2019-05-18,16204637
2019-05-19,15417559
2019-05-20,15417559
2019-05-21,15417559
2019-05-22,15417559
2019-05-23,14646681
2019-05-24,14646681
2019-05-25,14646681
2019-05-26,13927623
2019-05-27,13927623
2019-05-28,13927623
2019-05-29,13231241
2019-05-30,13231241
2019-05-31,13231241
2019-06-01,13231241
2019-06-02,12569678
2019-06-03,12569678
2019-06-04,11943413
2019-06-05,11943413
2019-06-06,11943413
2019-06-07,11346242
2019-06-08,11346242
2019-06-09,10786367
2019-06-10,10786367
2019-06-11,10786367
2019-06-12,10273676
2019-06-13,10273676
2019-06-14,10273676
2019-06-15,9847748
2019-06-16,9847748
2019-06-17,9847748
2019-06-18,9543347
2019-06-19,9543347
2019-06-20,9374277
2019-06-21,9374277
2019-06-22,9374277
2019-06-23,8977259
2019-06-24,8977259
2019-06-25,8977259
2019-06-26,8547347
2019-06-27,8547347
2019-06-28,8292173
2019-06-29,8292173
2019-06-30,8189573
2019-07-01,8189573
2019-07-02,8189573
2019-07-03,8001988
2019-07-04,8001988
2019-07-05,7781525
2019-07-06,7781525
2019-07-07,7781525
2019-07-08,7811392
2019-07-09,7811392
2019-07-10,7811392
2019-07-11,7767037
2019-07-12,7767037
2019-07-13,7767037
2019-07-14,7675106
2019-07-15,7675106
2019-07-16,7675106
2019-07-17,7539298
2019-07-18,7539298
2019-07-19,7539298
2019-07-20,7522488
2019-07-21,7522488
2019-07-22,7522488
2019-07-23,7487620
2019-07-24,7487620
2019-07-25,7487620
2019-07-26,7487620
2019-07-27,7442494
2019-07-28,7442494
2019-07-29,7268614
2019-07-30,7268614
2019-07-31,7268614
2019-08-01,6973526
2019-08-02,6973526
2019-08-03,6798082
2019-08-04,6798082
2019-08-05,6798082
2019-08-06,6806854
2019-08-07,6806854
2019-08-08,6806854
2019-08-09,6788913
2019-08-10,6788913
2019-08-11,6788913
2019-08-12,6714790
2019-08-13,6714790
2019-08-14,6714790
2019-08-15,6720436
2019-08-16,6720436
2019-08-17,6720436
2019-08-18,6824749
2019-08-19,6824749
2019-08-20,6824749
2019-08-21,6780047
2019-08-22,6780047
2019-08-23,6780047
2019-08-24,6790550
2019-08-24,6790550
2019-08-25,6790550
2019-08-25,6790550
2019-08-26,6790550
2019-08-26,6790550
2019-08-27,6790550
2019-08-27,6790550
2019-08-28,6841046
2019-08-29,6841046
2019-08-30,6878189
2019-08-31,6878189
2019-09-01,6878189
2019-09-02,6965730
2019-09-03,6965730
2019-09-04,6965730
2019-09-05,6965730
2019-09-06,6915194
2019-09-07,6915194
2019-09-08,6975130
2019-09-09,6975130
2019-09-10,6975130
2019-09-11,6946415
2019-09-12,6946415
2019-09-13,6946415
2019-09-14,6946415
2019-09-15,6915058
2019-09-16,6915058
2019-09-17,6945126
2019-09-18,6945126
2019-09-19,6945126
2019-09-20,7016384
2019-09-21,7016384
2019-09-22,7016384
2019-09-23,7016384
2019-09-24,7001645
2019-09-25,7001645
2019-09-26,7001645
2019-09-27,7049102
2019-09-28,7049102
2019-09-29,7049102
2019-09-30,7027213
2019-10-01,7027213
2019-10-02,7027213
2019-10-03,6992478
2019-10-04,6992478
2019-10-05,6992478
2019-10-06,6955994
2019-10-07,6955994
2019-10-08,6955994
2019-10-09,6955994
2019-10-10,6923071
2019-10-11,6923071
2019-10-12,6923071
2019-10-13,6872245
2019-10-14,6872245
2019-10-15,6872245
2019-10-16,6872245
2019-10-17,6860608
2019-10-18,6860608
2019-10-19,6860608
2019-10-20,6847286
2019-10-21,6847286
2019-10-22,6847286
2019-10-23,6847286
2019-10-24,6772403
2019-10-25,6772403
2019-10-26,6739375
2019-10-27,6739375
2019-10-28,6739375
2019-10-29,6712268
2019-10-30,6712268
2019-10-31,6712268
2019-11-01,6684313
2019-11-02,6684313
2019-11-03,6752553
2019-11-04,6752553
2019-11-05,6752553
2019-11-06,6752553
2019-11-07,6849261
2019-11-08,6849261
2019-11-09,6905608
2019-11-10,6905608
2019-11-11,6905608
2019-11-12,6914623
2019-11-13,6914623
2019-11-14,6914623
2019-11-15,6914623
2019-11-16,6845735
2019-11-17,6845735
2019-11-18,6845735
2019-11-19,6826937
2019-11-20,6826937
2019-11-21,6826937
2019-11-22,6807429
2019-11-23,6807429
2019-11-24,6807429
2019-11-25,6789696
2019-11-26,6789696
2019-11-27,6789696
2019-11-28,6770288
2019-11-29,6770288
2019-11-30,6770288
2019-12-01,6820982
2019-12-02,6820982
2019-12-03,6820982
2019-12-04,6959124
2019-12-05,6959124
2019-12-06,6959124
2019-12-07,7066388
2019-12-08,7066388
2019-12-09,7066388
2019-12-10,7101447
2019-12-11,7101447
2019-12-12,7101447
2019-12-13,7101447
2019-12-14,7225955
2019-12-15,7225955
2019-12-16,7225955
2019-12-17,7512728
2019-12-18,7512728
2019-12-19,7512728
2019-12-20,7512728
2019-12-21,7823535
2019-12-22,7823535
2019-12-23,8013556
2019-12-24,8013556
2019-12-25,8273277
2019-12-26,8273277
2019-12-27,8344809
2019-12-28,8344809
2019-12-29,8344809
2019-12-30,8406804
2019-12-31,8406804
2020-01-01,8406804
2020-01-02,8406804
2020-01-03,8511109
2020-01-04,8511109
2020-01-05,8511109
2020-01-06,8511109
2020-01-07,8572576
2020-01-08,8572576
2020-01-09,8572576
2020-01-10,8572576
2020-01-11,8648507
2020-01-12,8648507
2020-01-13,8648507
2020-01-14,8648507
2020-01-15,8663207
2020-01-16,8663207
2020-01-17,8663207
2020-01-18,8663207
2020-01-19,8628278
2020-01-20,8628278
2020-01-21,8628278
2020-01-22,8628278
2020-01-23,8557346
2020-01-24,8557346
2020-01-25,8557346
2020-01-26,8541008
2020-01-27,8541008
2020-01-28,8541008
2020-01-29,8541008
2020-01-30,8446824
2020-01-31,8446824
2020-02-01,8446824
2020-02-02,8342583
2020-02-03,8342583
2020-02-04,8342583
2020-02-05,8233887
2020-02-06,8233887
2020-02-07,8233887
2020-02-08,8023739
2020-02-09,8023739
2020-02-10,7714942
2020-02-11,7714942
2020-02-12,7714942
2020-02-13,7363586
2020-02-14,7363586
2020-02-15,7363586
2020-02-16,7000601
2020-02-17,7000601
2020-02-18,6732613
2020-02-19,6732613
2020-02-20,6732613
2020-02-21,6395982
2020-02-22,6395982
2020-02-23,6395982
2020-02-24,6082392
2020-02-25,6082392
2020-02-26,6082392
2020-02-27,5887457
2020-02-28,5887457
2020-02-29,5800521
2020-03-01,5800521
2020-03-02,5543861
2020-03-03,5543861
2020-03-04,5543861
2020-03-05,5335178
2020-03-06,5335178
2020-03-07,5335178
2020-03-08,5223937
2020-03-09,5223937
2020-03-10,5111881
2020-03-11,5111881
2020-03-12,4995173
2020-03-13,4995173
2020-03-14,4953750
2020-03-15,4953750
2020-03-16,4953750
2020-03-17,4815149
2020-03-18,4815149
2020-03-19,4815149
2020-03-20,4675986
2020-03-21,4675986
2020-03-22,4558716
2020-03-23,4558716
2020-03-24,4446660
2020-03-25,4446660
2020-03-26,4372179
2020-03-27,4372179
2020-03-28,4372179
2020-03-29,4279010
2020-03-30,4279010
2020-03-31,4203879
2020-04-01,4203879
2020-04-02,4109605
2020-04-03,4109605
2020-04-04,3958523
2020-04-05,3958523
2020-04-06,3777929
2020-04-07,3777929
2020-04-08,3594115
2020-04-09,3594115
2020-04-10,3447080
2020-04-11,3361471
2020-04-12,3361471
2020-04-13,3289440
2020-04-14,3289440
2020-04-15,3231747
2020-04-16,3231747
2020-04-17,3242795
2020-04-18,3315016
2020-04-19,3426364
2020-04-20,3426364
2020-04-21,3574798
2020-04-22,3732333
2020-04-23,3732333
2020-04-24,3732333
2020-04-25,3903819
2020-04-26,3903819
2020-04-27,4086719
2020-04-28,4086719
2020-04-29,4262479
2020-04-30,4262479
2020-05-01,4355121
2020-05-02,4355121
2020-05-03,4244544
2020-05-04,4244544
2020-05-05,4193539
2020-05-06,4193539
2020-05-07,4076208
2020-05-08,4076208
2020-05-09,3872397
2020-05-10,3872397
2020-05-11,3689950
2020-05-12,3689950
2020-05-13,3540164
