date_obj,Steel%20kiteshield%20(g) price
2016-07-06,750000
2016-07-07,717712
2016-07-08,717712
2016-07-09,717712
2016-07-10,682588
2016-07-11,682588
2016-07-12,682588
2016-07-13,649528
2016-07-14,649528
2016-07-15,649528
2016-07-16,618472
2016-07-17,618472
2016-07-18,618472
2016-07-24,588310
2016-07-25,559673
2016-07-26,559673
2016-07-27,559673
2016-07-28,559673
2016-07-29,559673
2016-07-30,559673
2016-07-31,559673
2016-08-01,533349
2016-08-02,533349
2016-08-04,533349
2016-08-05,533349
2016-08-06,533349
2016-08-07,507450
2016-08-08,507450
2016-08-09,507450
2016-08-10,507450
2016-08-11,483522
2016-08-12,483522
2016-08-13,483522
2016-08-14,483522
2016-08-15,483522
2016-08-16,483522
2016-08-17,483522
2016-08-18,483522
2016-08-19,460013
2016-08-20,460013
2016-08-21,460013
2016-08-22,460013
2016-08-23,460013
2016-08-24,460013
2016-08-25,460013
2016-08-26,460013
2016-08-28,437840
2016-08-31,437840
2016-09-01,437840
2016-09-02,437840
2016-09-03,437840
2016-09-04,416581
2016-09-05,416581
2016-09-06,416581
2016-09-07,416581
2016-09-08,416581
2016-09-09,416581
2016-09-10,416581
2016-09-11,397211
2016-09-12,397211
2016-09-13,397211
2016-09-14,397211
2016-09-15,397211
2016-09-16,397211
2016-09-17,397211
2016-09-18,378637
2016-09-19,378637
2016-09-20,378637
2016-09-21,378637
2016-09-22,378637
2016-09-23,378637
2016-09-24,378637
2016-09-25,360638
2016-09-26,360638
2016-09-27,360638
2016-09-28,360638
2016-09-29,360638
2016-09-30,360638
2016-10-01,360638
2016-10-02,343495
2016-10-03,343495
2016-10-04,343495
2016-10-05,343495
2016-10-06,343495
2016-10-07,343495
2016-10-08,343495
2016-10-09,343495
2016-10-10,327193
2016-10-11,327193
2016-10-12,327193
2016-10-13,327193
2016-10-14,327193
2016-10-15,327193
2016-10-16,327193
2016-10-17,311707
2016-10-18,311707
2016-10-19,311707
2016-10-20,311707
2016-10-21,311707
2016-10-22,311707
2016-10-23,297250
2016-10-24,297250
2016-10-25,297250
2016-10-26,297250
2016-10-27,297250
2016-10-28,297250
2016-10-29,297250
2016-10-30,283278
2016-10-31,55000
2016-11-01,55000
2016-11-02,55000
2016-11-03,55000
2016-11-04,55000
2016-11-05,55000
2016-11-06,55000
2016-11-07,55000
2016-11-08,55000
2016-11-09,55000
2016-11-10,52641
2016-11-11,52641
2016-11-12,52641
2016-11-13,52641
2016-11-14,52641
2016-12-08,48891
2016-12-09,48891
2016-12-10,46798
2016-12-11,46798
2016-12-12,46798
2016-12-13,46798
2016-12-14,46798
2016-12-15,46798
2016-12-16,46798
2016-12-17,46798
2016-12-18,46798
2016-12-19,45868
2016-12-20,45868
2016-12-21,45868
2016-12-22,45868
2016-12-23,45868
2016-12-24,45868
2016-12-25,45868
2016-12-26,45868
2016-12-27,45868
2016-12-28,45868
2016-12-29,44321
2016-12-30,44321
2016-12-31,44321
2017-01-01,44321
2017-01-02,44321
2017-01-03,44321
2017-01-04,44321
2017-01-05,44321
2017-01-06,44321
2017-01-07,42618
2017-01-08,42618
2017-01-09,42618
2017-01-10,42618
2017-01-11,42618
2017-01-12,42618
2017-01-13,42618
2017-01-14,42618
2017-01-15,40979
2017-01-16,40979
2017-01-17,40979
2017-01-18,40979
2017-01-19,40979
2017-01-20,40979
2017-01-21,40979
2017-01-22,40979
2017-01-27,39065
2017-01-28,39065
2017-01-29,39065
2017-01-30,39065
2017-01-31,37368
2017-02-01,37368
2017-02-02,37368
2017-02-03,37368
2017-02-04,37368
2017-02-05,37368
2017-02-06,37368
2017-02-07,35871
2017-02-08,35871
2017-02-09,35871
2017-02-10,35871
2017-02-11,35871
2017-02-12,35871
2017-02-13,35871
2017-02-14,34171
2017-02-15,34171
2017-02-16,34171
2017-02-18,34171
2017-02-19,34171
2017-02-20,34171
2017-02-21,32525
2017-02-22,32525
2017-02-23,32525
2017-02-24,32525
2017-02-25,32525
2017-02-26,32525
2017-02-27,32525
2017-02-28,31133
2017-03-01,31133
2017-03-02,31133
2017-03-03,31133
2017-03-04,31133
2017-03-05,31133
2017-03-06,29925
2017-03-07,29925
2017-03-08,29925
2017-03-09,29925
2017-03-10,29925
2017-03-11,29925
2017-03-12,29925
2017-03-13,28505
2017-03-14,28505
2017-03-15,28505
