date_obj,Amulet%20of%20defence%20(t) price
2019-04-11,25000
2019-04-11,26250
2019-04-12,27563
2019-04-13,28936
2019-04-14,30383
2019-04-15,80000
2019-04-16,80000
2019-04-17,82523
2019-04-18,81897
2019-04-19,78639
2019-04-20,74735
2019-04-21,70998
2019-04-22,67448
2019-04-23,64075
2019-04-24,60871
2019-04-25,57919
2019-04-26,55106
2019-04-27,52626
2019-04-28,50820
2019-04-29,48820
2019-04-30,47087
2019-05-01,45942
2019-05-02,44721
2019-05-03,43740
2019-05-04,41968
2019-05-05,40865
2019-05-06,40865
2019-05-07,39899
2019-05-08,40522
2019-05-09,42278
2019-05-10,44362
2019-05-11,46021
2019-05-12,48229
2019-05-13,50161
2019-05-14,51713
2019-05-15,51713
2019-05-16,52406
2019-05-17,52406
2019-05-18,51794
2019-05-19,51794
2019-05-20,50992
2019-05-21,50992
2019-05-22,49105
2019-05-23,46996
2019-05-24,46996
2019-05-25,45873
2019-05-26,45873
2019-05-27,44628
2019-05-28,44628
2019-05-29,42908
2019-05-30,42908
2019-05-31,42396
2019-06-01,42407
2019-06-02,41516
2019-06-03,41376
2019-06-04,42265
2019-06-05,43506
2019-06-06,42727
2019-06-07,42306
2019-06-08,42823
2019-06-09,42443
2019-06-10,42443
2019-06-11,42066
2019-06-12,42066
2019-06-13,41316
2019-06-14,41316
2019-06-15,41965
2019-06-16,43286
2019-06-17,43466
2019-06-18,43466
2019-06-19,44108
2019-06-20,45244
2019-06-21,45244
2019-06-22,45365
2019-06-23,44823
2019-06-24,44823
2019-06-25,44616
2019-06-26,44616
2019-06-27,44667
2019-06-28,44667
2019-06-29,43877
2019-06-30,42824
2019-07-01,42824
2019-07-02,42883
2019-07-03,43152
2019-07-04,43152
2019-07-05,43358
2019-07-06,42498
2019-07-07,42498
2019-07-08,42576
2019-07-09,42730
2019-07-10,41984
2019-07-11,41984
2019-07-12,42103
2019-07-13,42103
2019-07-14,42794
2019-07-15,42794
2019-07-16,42711
2019-07-17,42128
2019-07-18,42128
2019-07-19,41687
2019-07-20,41687
2019-07-21,40802
2019-07-22,40267
2019-07-23,40267
2019-07-24,39379
2019-07-25,39379
2019-07-26,37677
2019-07-27,37222
2019-07-28,37222
2019-07-29,36619
2019-07-30,36307
2019-07-31,36909
2019-08-01,36909
2019-08-02,36994
2019-08-03,36660
2019-08-04,36660
2019-08-05,37311
2019-08-06,37311
2019-08-07,38295
2019-08-08,38295
2019-08-09,38849
2019-08-10,38661
2019-08-11,38661
2019-08-12,39005
2019-08-13,39005
2019-08-14,39525
2019-08-15,40687
2019-08-16,41102
2019-08-17,41102
2019-08-18,40297
2019-08-19,40735
2019-08-20,40735
2019-08-21,41720
2019-08-22,42339
2019-08-23,42339
2019-08-24,43257
2019-08-24,43257
2019-08-25,43257
2019-08-25,43257
2019-08-26,44041
2019-08-26,44041
2019-08-27,44041
2019-08-27,44041
2019-08-28,44542
2019-08-29,44542
2019-08-30,44906
2019-08-31,44906
2019-09-01,45197
2019-09-02,45197
2019-09-03,45171
2019-09-04,45561
2019-09-05,45561
2019-09-06,45812
2019-09-07,45382
2019-09-08,45382
2019-09-09,46123
2019-09-10,46123
2019-09-11,45930
2019-09-12,45930
2019-09-13,45490
2019-09-14,45490
2019-09-15,44690
2019-09-16,43969
2019-09-17,43969
2019-09-18,43969
2019-09-19,43969
2019-09-20,43539
2019-09-21,43539
2019-09-22,42836
2019-09-23,42542
2019-09-24,42542
2019-09-25,43173
2019-09-26,43173
2019-09-27,42614
2019-09-28,42734
2019-09-29,42734
2019-09-30,42067
2019-10-01,42519
2019-10-02,42519
2019-10-03,42332
2019-10-04,42332
2019-10-05,41899
2019-10-06,41550
2019-10-07,41550
