date_obj,Jar%20of%20stone price
2017-10-25,1250000
2017-10-26,1250000
2017-10-27,1250000
2017-10-28,1250000
2017-10-29,1250000
2017-10-30,1250000
2017-10-31,1303505
2017-11-01,1303505
2017-11-02,1303505
2017-11-03,1303505
2017-11-04,1303505
2017-11-05,1303505
2017-11-06,1303505
2017-11-07,1303505
2017-11-08,1303505
2017-11-09,1303505
2017-11-10,1347461
2017-11-11,1347461
2017-11-12,1347461
2017-11-13,1347461
2017-11-14,1347461
2017-11-15,1347461
2017-11-16,1347461
2017-11-17,1347461
2017-11-18,1347461
2017-11-19,1347461
2017-11-20,1347461
2017-11-21,1408955
2017-11-22,1408955
2017-11-23,1408955
2017-11-24,1408955
2017-11-25,1408955
2017-11-26,1408955
2017-11-27,1408955
2017-11-28,1408955
2017-11-29,1408955
2017-11-30,1408955
2017-12-01,1408955
2017-12-02,1408955
2017-12-03,1408955
2017-12-04,1408955
2017-12-05,1408955
2017-12-06,1470940
2017-12-07,1470940
2017-12-08,1470940
2017-12-09,1470940
2017-12-10,1470940
2017-12-11,1470940
2017-12-12,1470940
2017-12-14,1470940
2017-12-15,1470940
2017-12-16,1470940
2017-12-17,1470940
2017-12-18,1470940
2017-12-19,1470940
2017-12-20,1470940
2017-12-21,1470940
2017-12-22,1470940
2017-12-23,1527938
2017-12-24,1527938
2017-12-25,1527938
2017-12-26,1527938
2017-12-27,1527938
2017-12-28,1527938
2017-12-29,1527938
2017-12-30,1527938
2017-12-31,1527938
2018-01-01,1527938
2018-01-02,1527938
2018-01-03,1527938
2018-01-04,1527938
2018-01-05,1527938
2018-01-06,1527938
2018-01-07,1527938
2018-01-08,1527938
2018-01-09,1527938
2018-01-10,1527938
2018-01-11,1527938
2018-01-12,1527938
2018-01-13,1527938
2018-01-14,1527938
2018-01-15,1595833
2018-01-16,1595833
2018-01-17,1595833
2018-01-18,1595833
2018-01-19,1595833
2018-01-20,1595833
2018-01-21,1595833
2018-01-22,1595833
2018-01-23,1595833
2018-01-25,1595833
2018-01-26,1595833
2018-01-27,1669288
2018-01-28,1669288
2018-01-29,1669288
2018-01-30,1669288
2018-01-31,1669288
2018-02-01,1669288
2018-02-02,1669288
2018-02-03,1669288
2018-02-04,1669288
2018-02-05,1669288
2018-02-06,1669288
2018-02-07,1669288
2018-02-08,1743053
2018-02-09,1743053
2018-02-10,1743053
2018-02-11,1743053
2018-02-12,1743053
2018-02-13,1743053
2018-02-14,1743053
2018-02-15,1743053
2018-02-16,1743053
2018-02-17,1743053
2018-02-18,1743053
2018-02-19,1743053
2018-02-20,1743053
2018-02-21,1743053
2018-02-22,1743053
2018-02-23,1743053
2018-02-24,1743053
2018-02-25,1743053
2018-02-26,1819131
2018-02-27,1819131
2018-02-28,1819131
2018-03-01,1819131
2018-03-02,1819131
2018-03-03,1819131
2018-03-04,1819131
2018-03-05,1819131
2018-03-06,1819131
2018-03-07,1819131
2018-03-08,1819131
2018-03-09,1819131
2018-03-10,1819131
2018-03-11,1819131
2018-03-12,1903471
2018-03-13,1903471
2018-03-14,1903471
2018-03-15,1903471
2018-03-16,1903471
2018-03-17,1903471
2018-03-18,1903471
2018-03-19,1903471
2018-03-20,1903471
2018-03-21,1903471
2018-03-23,1903471
2018-03-24,1903471
2018-03-25,1903471
2018-03-26,1903471
2018-03-27,1903471
2018-03-28,1903471
2018-03-29,1903471
2018-03-30,1903471
2018-03-31,1903471
2018-04-01,1903471
2018-04-02,1982840
2018-04-03,1982840
2018-04-04,1982840
2018-04-05,1982840
2018-04-06,1982840
2018-04-07,1982840
2018-04-08,1982840
2018-04-09,1982840
2018-04-10,1982840
2018-04-11,1982840
2018-04-12,1982840
2018-04-13,1982840
2018-04-14,1982840
2018-04-15,1982840
2018-04-16,1982840
2018-04-17,1982840
2018-04-18,1982840
2018-04-19,1982840
2018-04-20,1982840
2018-04-21,1982840
2018-04-22,1982840
2018-04-23,1982840
2018-04-24,1982840
2018-04-25,2065320
2018-04-26,2065320
2018-04-27,2065320
2018-04-28,2065320
2018-04-29,2065320
2018-04-30,2065320
2018-05-01,2065320
2018-05-04,2065320
2018-05-05,2065320
2018-05-06,2065320
2018-05-07,2065320
2018-05-08,2065320
2018-05-09,2065320
2018-05-10,2065320
2018-05-11,2065320
2018-05-12,2065320
2018-05-13,2065320
2018-05-14,2065320
2018-05-15,2065320
2018-05-16,2065320
2018-05-17,2065320
2018-05-18,2155830
2018-05-19,2155830
2018-05-20,2155830
2018-05-21,2155830
2018-05-22,2155830
2018-05-23,2155830
2018-05-24,2155830
2018-05-25,2155830
2018-05-26,2155830
2018-05-27,2155830
2018-05-28,2155830
2018-05-29,2155830
2018-05-30,2155830
2018-05-31,2155830
2018-06-01,2155830
2018-06-02,2155830
2018-06-03,2155830
2018-06-04,2155830
2018-06-05,2155830
2018-06-06,2155830
2018-06-07,2155830
2018-06-08,2155830
2018-06-09,2155830
2018-06-10,2155830
2018-06-11,2253788
2018-06-12,2253788
2018-06-13,2253788
2018-06-14,2253788
2018-06-15,2253788
2018-06-16,2253788
2018-06-17,2253788
2018-06-18,2253788
2018-06-19,2253788
2018-06-20,2253788
2018-06-21,2253788
2018-06-22,2253788
2018-06-23,2253788
2018-06-24,2253788
2018-06-25,2253788
2018-06-26,2253788
2018-06-27,2253788
2018-06-28,2253788
2018-06-29,2253788
2018-06-30,2253788
2018-07-01,2253788
2018-07-02,2253788
2018-07-03,2349178
2018-07-04,2349178
2018-07-05,2349178
2018-07-06,2349178
2018-07-07,2349178
2018-07-08,2349178
2018-07-09,2349178
2018-07-10,2349178
2018-07-11,2349178
2018-07-12,2349178
2018-07-13,2349178
2018-07-14,2349178
2018-07-15,2349178
2018-07-16,2349178
2018-07-17,2349178
2018-07-18,2349178
2018-07-19,2349178
2018-07-20,2349178
2018-07-21,2349178
2018-07-22,2349178
2018-07-23,2349178
2018-07-24,2349178
2018-07-25,2442362
2018-07-26,2442362
2018-07-27,2442362
2018-07-28,2442362
2018-07-29,2442362
2018-07-30,2442362
2018-07-31,2442362
2018-08-01,2442362
2018-08-02,2442362
2018-08-03,2442362
2018-08-04,2442362
2018-08-05,2442362
2018-08-06,2442362
2018-08-07,2442362
2018-08-08,2442362
2018-08-09,2442362
2018-08-10,2442362
2018-08-11,2442362
2018-08-12,2442362
2018-08-14,2498914
2018-08-16,2498914
2018-08-17,2498914
2018-08-18,2498914
2018-08-19,2498914
2018-08-20,2498914
2018-08-21,2498914
2018-08-22,2498914
2018-08-23,2498914
2018-08-24,2498914
2018-08-25,2498914
2018-08-26,2498914
2018-08-27,2498914
2018-08-28,2498914
2018-08-29,2498914
2018-08-30,2498914
2018-08-31,2498914
2018-09-01,2498914
2018-09-02,2498914
2018-09-03,2508201
2018-09-04,2508201
2018-09-05,2508201
2018-09-06,2508201
2018-09-07,2508201
2018-09-08,2508201
2018-09-09,2508201
2018-09-10,2508201
