date_obj,Ensouled%20dog%20head price
2016-01-08,2695
2016-01-09,2695
2016-01-10,2560
2016-01-11,2447
2016-01-12,2340
2016-01-13,2239
2016-01-14,2191
2016-01-15,2089
2016-01-16,1988
2016-01-17,1896
2016-01-18,1806
2016-01-19,1732
2016-01-20,1651
2016-01-21,1579
2016-01-22,1510
2016-01-23,1439
2016-01-24,1376
2016-01-25,1311
2016-01-26,1252
2016-01-27,1189
2016-01-28,1201
2016-01-29,1229
2016-01-30,1229
2016-01-31,1226
2016-02-01,1167
2016-02-02,1122
2016-02-03,1085
2016-02-04,1085
2016-02-05,1056
2016-02-06,1037
2016-02-07,1002
2016-02-08,1002
2016-02-09,959
2016-02-10,919
2016-02-11,962
2016-02-12,962
2016-02-13,1000
2016-02-14,1000
2016-02-15,1008
2016-02-16,1008
2016-02-17,996
2016-02-18,996
2016-02-19,948
2016-02-20,912
2016-02-21,893
2016-02-22,893
2016-02-23,866
2016-02-24,828
2016-02-25,792
2016-02-26,792
2016-02-27,761
2016-02-28,761
2016-02-29,773
2016-03-01,773
2016-03-02,812
2016-03-03,852
2016-03-04,852
2016-03-05,895
2016-03-06,918
2016-03-07,918
2016-03-08,874
2016-03-09,900
2016-03-10,908
2016-03-11,908
2016-03-12,954
2016-03-13,954
2016-03-14,1002
2016-03-15,1053
2016-03-16,1101
2016-03-17,1123
2016-03-18,1124
2016-03-19,1124
2016-03-20,1128
2016-03-21,1128
2016-03-22,1089
2016-03-23,1044
2016-03-24,1081
2016-03-25,1113
2016-03-26,1064
2016-03-27,1017
2016-03-28,1006
2016-03-29,961
2016-03-30,961
2016-03-31,922
2016-04-01,881
2016-04-02,838
2016-04-03,800
2016-04-04,769
2016-04-05,739
2016-04-06,704
2016-04-07,704
2016-04-08,716
2016-04-09,752
2016-04-10,790
2016-04-11,790
2016-04-12,815
2016-04-13,815
2016-04-14,786
2016-04-15,786
2016-04-16,765
2016-04-17,761
2016-04-18,726
2016-04-19,726
2016-04-20,716
2016-04-21,716
2016-04-22,683
2016-04-23,655
2016-04-24,652
2016-04-25,650
2016-04-26,627
2016-04-27,598
2016-04-28,576
2016-04-29,576
2016-04-30,558
2016-05-01,558
2016-05-02,565
2016-05-03,594
2016-05-04,594
2016-05-05,608
2016-05-06,608
2016-05-07,601
2016-05-08,601
2016-05-09,605
2016-05-10,603
2016-05-11,603
2016-05-12,634
2016-05-13,637
2016-05-14,637
2016-05-15,669
2016-05-16,669
2016-05-17,700
2016-05-18,700
2016-05-19,700
2016-05-22,700
2016-05-23,700
2016-05-24,700
2016-05-25,701
2016-05-26,701
2016-05-27,695
2016-05-28,695
2016-05-29,660
2016-05-30,660
2016-05-31,628
2016-06-01,602
2016-06-02,580
2016-06-03,580
2016-06-04,564
2016-06-05,564
2016-06-06,538
2016-06-07,538
2016-06-08,514
2016-06-09,516
2016-06-10,497
2016-06-11,475
2016-06-12,480
2016-06-13,480
2016-06-14,476
2016-06-15,476
2016-06-16,495
2016-06-17,511
2016-06-18,511
2016-06-19,502
2016-06-20,502
2016-06-21,492
2016-06-22,511
2016-06-23,499
2016-06-24,499
2016-06-25,498
2016-06-26,498
2016-06-27,483
2016-06-28,464
2016-06-29,464
2016-06-30,486
2016-07-01,488
2016-07-02,488
2016-07-03,506
2016-07-04,529
2016-07-05,529
2016-07-06,527
