date_obj,Zamorak%20page%201 price
2015-03-26,1033859
2015-03-27,1033859
2015-03-28,1034921
2015-03-29,1034921
2015-03-30,1072390
2015-03-31,1072390
2015-04-01,1119628
2015-04-02,1119628
2015-04-03,1168599
2015-04-04,1221025
2015-04-05,1221025
2015-04-06,1228210
2015-04-07,1228210
2015-04-08,1202379
2015-04-09,1202379
2015-04-10,1241380
2015-04-11,1241380
2015-04-12,1260252
2015-04-13,1260252
2015-04-14,1247056
2015-04-15,1247056
2015-04-16,1225483
2015-04-17,1225483
2015-04-18,1204586
2015-04-19,1204586
2015-04-20,1186932
2015-04-21,1186932
2015-04-22,1213159
2015-04-23,1213159
2015-04-24,1217700
2015-04-25,1217700
2015-04-26,1194042
2015-04-27,1187882
2015-04-28,1187882
2015-04-29,1205793
2015-04-30,1205793
2015-05-01,1199324
2015-05-02,1152768
2015-05-03,1152768
2015-05-04,1099497
2015-05-05,1099497
2015-05-06,1048311
2015-05-07,1000625
2015-05-08,1000625
2015-05-09,950745
2015-05-10,903207
2015-05-11,903207
2015-05-12,872516
2015-05-13,872516
2015-05-14,862481
2015-05-15,862481
2015-05-16,884731
2015-05-17,920609
2015-05-18,920609
2015-05-19,931659
2015-05-20,931659
2015-05-21,931659
2015-05-22,916954
2015-05-23,916954
2015-05-24,897794
2015-05-25,896079
2015-05-26,896079
2015-05-27,891296
2015-05-28,882275
2015-05-29,872213
2015-05-30,879151
2015-05-31,879151
2015-06-01,909266
2015-06-02,909266
2015-06-03,919999
2015-06-04,919999
2015-06-05,933376
2015-06-06,958810
2015-06-07,971687
2015-06-08,971687
2015-06-09,966658
2015-06-10,972232
2015-06-11,972232
2015-06-12,990661
2015-06-13,1001772
2015-06-14,1001772
2015-06-15,984793
2015-06-16,963744
2015-06-17,963744
2015-06-18,998242
2015-06-19,1032455
2015-06-20,1054006
2015-06-21,1054006
2015-06-22,1054401
2015-06-23,1054401
2015-06-24,1068273
2015-06-25,1068273
2015-06-26,1054573
2015-06-27,1054573
2015-06-28,1066671
2015-06-29,1066671
2015-06-30,1098241
2015-07-01,1132806
2015-07-02,1132806
2015-07-03,1174312
2015-07-04,1176327
2015-07-05,1176327
2015-07-06,1150182
2015-07-07,1142374
2015-07-08,1121161
2015-07-09,1121161
2015-07-10,1090743
2015-07-11,1090743
2015-07-12,1072825
2015-07-13,1114519
2015-07-14,1146957
2015-07-15,1146957
2015-07-16,1182015
2015-07-17,1233190
2015-07-18,1233190
2015-07-19,1293084
2015-07-20,1352349
2015-07-21,1352349
2015-07-22,1412337
2015-07-23,1412337
2015-07-24,1477149
2015-07-25,1477149
2015-07-26,1543184
2015-07-27,1614454
2015-07-28,1650206
2015-07-29,1607216
2015-07-30,1607216
2015-07-31,1614656
2015-08-01,1614656
2015-08-02,1595242
2015-08-03,1595242
2015-08-04,1583198
2015-08-05,1585189
2015-08-06,1585189
2015-08-07,1547008
2015-08-08,1512505
2015-08-09,1512532
2015-08-10,1480014
2015-08-11,1471220
2015-08-12,1471220
2015-08-13,1417022
2015-08-14,1389261
2015-08-15,1389261
2015-08-16,1371737
2015-08-17,1352640
2015-08-18,1352640
2015-08-19,1356038
2015-08-20,1356038
2015-08-21,1353097
