date_obj,Mystic%20robe%20top%20(dark) price
2015-03-04,84299
2015-03-05,84299
2015-03-06,82501
2015-03-07,81043
2015-03-08,81675
2015-03-09,83789
2015-03-10,81271
2015-03-11,82526
2015-03-12,83832
2015-03-13,83765
2015-03-14,83785
2015-03-15,82489
2015-03-16,81356
2015-03-17,82765
2015-03-18,82765
2015-03-19,81486
2015-03-20,81597
2015-03-21,83120
2015-03-22,85184
2015-03-23,85184
2015-03-24,82714
2015-03-25,80083
2015-03-26,80504
2015-03-27,80504
2015-03-28,82123
2015-03-29,84945
2015-03-30,85766
2015-03-31,85514
2015-04-01,85514
2015-04-02,85373
2015-04-03,82893
2015-04-04,83349
2015-04-05,82264
2015-04-06,80616
2015-04-07,81777
2015-04-08,81777
2015-04-09,80773
2015-04-10,82950
2015-04-11,81892
2015-04-12,82201
2015-04-13,82257
2015-04-14,82257
2015-04-15,80544
2015-04-16,80544
2015-04-17,81559
2015-04-18,82072
2015-04-19,81369
2015-04-20,81369
2015-04-21,80833
2015-04-22,80833
2015-04-23,81338
2015-04-24,81338
2015-04-25,82008
2015-04-26,82286
2015-04-27,81910
2015-04-28,81267
2015-04-29,81267
2015-04-30,82005
2015-05-01,82838
2015-05-02,84721
2015-05-03,84721
2015-05-04,82735
2015-05-05,81163
2015-05-06,81108
2015-05-07,80242
2015-05-08,78920
2015-05-09,79841
2015-05-10,81087
2015-05-11,81087
2015-05-12,79996
2015-05-13,79996
2015-05-14,81762
2015-05-15,83234
2015-05-16,83234
2015-05-17,82042
2015-05-18,82714
2015-05-19,82028
2015-05-20,82028
2015-05-21,82552
2015-05-22,82421
2015-05-23,81964
2015-05-24,81819
2015-05-25,82029
2015-05-26,82647
2015-05-27,82647
2015-05-28,82581
2015-05-29,82124
2015-05-30,81997
2015-05-31,82401
2015-06-01,80974
2015-06-02,80974
2015-06-03,80504
2015-06-04,81298
2015-06-05,81195
2015-06-06,81151
2015-06-07,81439
2015-06-08,81762
2015-06-09,82179
2015-06-10,81157
2015-06-11,81253
2015-06-12,81873
2015-06-13,81712
2015-06-14,80789
2015-06-15,81893
2015-06-16,81880
2015-06-17,81224
2015-06-18,81146
2015-06-19,82262
2015-06-20,81795
2015-06-21,80715
2015-06-22,81212
2015-06-23,81709
2015-06-24,81678
2015-06-25,81678
2015-06-26,81490
2015-06-27,81490
2015-06-28,81287
2015-06-29,81721
2015-06-30,80048
2015-07-01,81224
2015-07-02,81224
2015-07-03,81093
2015-07-04,81522
2015-07-05,83425
2015-07-06,82823
2015-07-07,82061
2015-07-08,81570
2015-07-09,81570
2015-07-10,80550
2015-07-11,78800
2015-07-12,80153
2015-07-13,80873
2015-07-14,81847
2015-07-15,80668
2015-07-16,79623
2015-07-17,79380
2015-07-18,80806
2015-07-19,81632
2015-07-20,80528
2015-07-21,82269
2015-07-22,83404
2015-07-23,83404
2015-07-24,81801
2015-07-25,81770
2015-07-26,80478
2015-07-27,77934
2015-07-28,79929
2015-07-29,80814
2015-07-30,81485
2015-07-31,80233
2015-08-01,80553
2015-08-02,83139
2015-08-03,82509
2015-08-04,81960
2015-08-05,80704
2015-08-06,81807
2015-08-07,82958
2015-08-08,81808
2015-08-09,81280
2015-08-10,81784
2015-08-11,82629
2015-08-12,82629
2015-08-13,83060
2015-08-14,82510
2015-08-15,82943
2015-08-16,80441
2015-08-17,82244
2015-08-18,83115
2015-08-19,81023
2015-08-20,81429
2015-08-21,82324
2015-08-22,82875
2015-08-23,83081
2015-08-24,83281
2015-08-25,83281
2015-08-26,81086
2015-08-27,80545
2015-08-28,81195
2015-08-29,81103
2015-08-30,80497
2015-08-31,81302
2015-09-02,80730
2015-09-07,81889
2015-09-08,81082
2015-09-10,81016
2015-09-14,83731
2015-09-16,83445
2015-09-22,81155
2015-09-23,79906
2015-09-24,79906
2015-09-25,81171
2015-09-27,84726
2015-09-28,86283
2015-09-29,85743
2015-09-30,85155
2015-10-05,83362
2015-10-06,83112
2015-10-07,83179
2015-10-08,83340
2015-10-09,83878
2015-10-10,83878
2015-10-11,83553
2015-10-12,82222
2015-10-13,82222
2015-10-14,81335
2015-10-15,81420
2015-10-16,80854
2015-10-17,80854
2015-10-18,82251
2015-10-19,81642
2015-10-20,82095
2015-10-22,81831
2015-10-23,83224
2015-10-24,82449
2015-10-25,84021
2015-10-26,84145
2015-10-27,84145
2015-10-29,81443
2015-10-30,81721
2015-10-31,82485
2015-11-01,82485
2015-11-02,83732
2015-11-03,84280
2015-11-04,84945
2015-11-05,85513
2015-11-06,85513
2015-11-07,83893
2015-11-08,83633
2015-11-09,82874
2015-11-10,82433
2015-11-11,82784
2015-11-12,82135
2015-11-13,83175
2015-11-14,84119
2015-11-15,84632
2015-11-16,83953
2015-11-17,83341
2015-11-18,84315
2015-11-19,83955
2015-11-20,83868
2015-11-21,83868
2015-11-22,82451
2015-11-23,82451
2015-11-24,82664
2015-11-25,84235
2015-11-26,84235
2015-11-27,84868
2015-11-28,83755
2015-11-29,83268
2015-11-30,84227
2015-12-01,83996
2015-12-02,83581
2015-12-03,83700
2015-12-04,84090
2015-12-05,83815
2015-12-06,83866
2015-12-07,84760
2015-12-08,84640
2015-12-09,83317
2015-12-10,82808
2015-12-11,83767
2015-12-12,84130
2015-12-13,84194
2015-12-14,84194
2015-12-15,83046
2015-12-16,82625
2015-12-17,84012
2015-12-18,83364
2015-12-19,83739
2015-12-20,83145
2015-12-21,82768
2015-12-22,82573
2015-12-23,82262
2015-12-24,81971
2015-12-25,81800
2015-12-26,81934
2015-12-27,81866
2015-12-28,82312
2015-12-29,82537
2015-12-30,82345
2015-12-31,82077
2016-01-01,81691
2016-01-02,81809
2016-01-03,82371
2016-01-04,83164
2016-01-05,83071
2016-01-06,82719
2016-01-07,82448
2016-01-08,82489
2016-01-09,82564
2016-01-10,81949
2016-01-11,82541
2016-01-12,82280
2016-01-13,82443
2016-01-14,82472
2016-01-15,82354
2016-01-16,82320
2016-01-17,81995
2016-01-18,82009
2016-01-19,82282
2016-01-20,82286
2016-01-21,82166
2016-01-22,82430
2016-01-23,82750
2016-01-24,82995
2016-01-25,82454
2016-01-26,82160
2016-01-27,83465
2016-01-28,83465
2016-01-29,83024
2016-01-30,83024
2016-01-31,84258
2016-02-01,84491
2016-02-02,84806
2016-02-03,86811
2016-02-04,86986
2016-02-05,85353
2016-02-06,83877
2016-02-07,81320
2016-02-08,80473
2016-02-09,82176
2016-02-10,82030
2016-02-11,81307
2016-02-12,80202
2016-02-13,81022
2016-02-14,82266
2016-02-15,82258
2016-02-16,82027
2016-02-17,81807
2016-02-18,81863
2016-02-19,82001
2016-02-20,82191
2016-02-21,82832
2016-02-22,82832
2016-02-23,83221
2016-02-24,83075
2016-02-25,83115
2016-02-26,83115
2016-02-27,82826
2016-02-28,82777
2016-02-29,82471
