date_obj,Bronze%20platebody%20(g) price
2015-03-26,205938
2015-03-27,205938
2015-03-28,201110
2015-03-29,199396
2015-03-30,199396
2015-03-31,192903
2015-04-01,192903
2015-04-02,186345
2015-04-03,180968
2015-04-04,174910
2015-04-05,174910
2015-04-06,170103
2015-04-07,167557
2015-04-08,167557
2015-04-09,164197
2015-04-10,161677
2015-04-11,162626
2015-04-12,162626
2015-04-13,162847
2015-04-14,162847
2015-04-15,161083
2015-04-16,161083
2015-04-17,159230
2015-04-18,159230
2015-04-19,158463
2015-04-20,158463
2015-04-21,157247
2015-04-22,157247
2015-04-23,161073
2015-04-24,161073
2015-04-25,165316
2015-04-26,165316
2015-04-27,170050
2015-04-28,173363
2015-04-29,173363
2015-04-30,181336
2015-05-01,188399
2015-05-02,189926
2015-05-03,189926
2015-05-04,184727
2015-05-05,184727
2015-05-06,182308
2015-05-07,182308
2015-05-08,174939
2015-05-09,167879
2015-05-10,160671
2015-05-11,160671
2015-05-12,152810
2015-05-13,152810
2015-05-14,145327
2015-05-15,145327
2015-05-16,140451
2015-05-17,137740
2015-05-18,136258
2015-05-19,136258
2015-05-20,136554
2015-05-21,136554
2015-05-22,136136
2015-05-23,136132
2015-05-24,134574
2015-05-25,130674
2015-05-26,127729
2015-05-27,127729
2015-05-28,124419
2015-05-29,124419
2015-05-30,122063
2015-05-31,122063
2015-06-01,118934
2015-06-02,118934
2015-06-03,120707
2015-06-04,120707
2015-06-05,125620
2015-06-06,125620
2015-06-07,127703
2015-06-08,127703
2015-06-09,130315
2015-06-10,132630
2015-06-11,132630
2015-06-12,132624
2015-06-13,132624
2015-06-14,131835
2015-06-15,131835
2015-06-16,133166
2015-06-17,133166
2015-06-18,136299
2015-06-19,136299
2015-06-20,141607
2015-06-21,141607
2015-06-22,143745
2015-06-23,143745
2015-06-24,141951
2015-06-25,141951
2015-06-26,141681
2015-06-27,141681
2015-06-28,145189
2015-06-29,145189
2015-06-30,148965
2015-07-01,148965
2015-07-02,149414
2015-07-03,151063
2015-07-04,151063
2015-07-05,153680
2015-07-06,153680
2015-07-07,155047
2015-07-08,155047
2015-07-09,157711
2015-07-10,157711
2015-07-11,159251
2015-07-12,159251
2015-07-13,162009
2015-07-14,162009
2015-07-15,165230
2015-07-16,165230
2015-07-17,168971
2015-07-18,168971
2015-07-19,169142
2015-07-20,169142
2015-07-21,170300
2015-07-22,171799
2015-07-23,171799
2015-07-24,173796
2015-07-25,173796
2015-07-26,177559
2015-07-27,183344
2015-07-28,183344
2015-07-29,189573
2015-07-30,189573
2015-07-31,196046
2015-08-01,196046
2015-08-02,199261
2015-08-03,199261
2015-08-04,204695
2015-08-05,204695
2015-08-06,203847
2015-08-07,203847
2015-08-08,202712
2015-08-09,202712
2015-08-10,196645
2015-08-11,196645
2015-08-12,190405
2015-08-13,190405
2015-08-14,186323
2015-08-15,186323
2015-08-16,184172
2015-08-17,184172
2015-08-18,177988
2015-08-19,182412
2015-08-20,182412
2015-08-21,181610
2015-08-22,184108
2015-08-23,184108
2015-08-24,184473
2015-08-25,184473
2015-08-26,184520
2015-08-27,185324
2015-08-28,185324
2015-08-29,187171
2015-08-30,187171
2015-08-31,187070
2015-09-01,187070
2015-09-02,182603
2015-09-03,182603
2015-09-04,183368
2015-09-05,183368
2015-09-06,184342
2015-09-07,184342
2015-09-08,186826
2015-09-09,186826
2015-09-10,186865
2015-09-11,186865
2015-09-12,185793
2015-09-13,185793
2015-09-14,184997
2015-09-15,184113
2015-09-16,184113
2015-09-17,184506
2015-09-18,184506
2015-09-19,183017
2015-09-20,183017
2015-09-21,181886
2015-09-22,181886
2015-09-23,179180
2015-09-24,179180
2015-09-25,179180
2015-09-27,181232
2015-09-28,182847
2015-09-29,182847
2015-09-30,184706
2015-10-05,185269
2015-10-06,186327
2015-10-07,186327
2015-10-08,181108
2015-10-09,182038
2015-10-10,182038
2015-10-11,179911
2015-10-12,179911
2015-10-13,178368
2015-10-14,178368
2015-10-15,174044
2015-10-16,174044
2015-10-17,173962
2015-10-18,173962
2015-10-19,171462
2015-10-20,171462
2015-10-22,167009
2015-10-23,166468
2015-10-24,166468
2015-10-25,165698
2015-10-26,165698
2015-10-27,170618
2015-10-29,174986
2015-10-30,174986
2015-10-31,179983
2015-11-01,179983
2015-11-02,184213
2015-11-03,184213
2015-11-04,189824
2015-11-05,189824
2015-11-06,190282
2015-11-07,190282
2015-11-08,193657
2015-11-09,193657
2015-11-10,195448
2015-11-11,196140
2015-11-12,196140
2015-11-13,199977
2015-11-14,199977
2015-11-15,202205
2015-11-16,202205
2015-11-17,203531
2015-11-18,203531
2015-11-19,206656
2015-11-20,206656
2015-11-21,206417
2015-11-22,201575
2015-11-23,201575
2015-11-24,199195
2015-11-25,199920
2015-11-26,199920
2015-11-27,200890
2015-11-28,200890
2015-11-29,202851
2015-11-30,202851
2015-12-01,200522
2015-12-02,200522
2015-12-03,197361
2015-12-04,197361
2015-12-05,195380
2015-12-06,193458
2015-12-07,193458
2015-12-08,191265
2015-12-09,191265
2015-12-10,195102
2015-12-11,195102
2015-12-12,196743
2015-12-13,196743
2015-12-14,201085
2015-12-15,205545
2015-12-16,207620
2015-12-17,207620
2015-12-18,211949
2015-12-19,211949
2015-12-20,213541
2015-12-21,213541
2015-12-22,218741
2015-12-23,218741
2015-12-24,221990
2015-12-25,221990
2015-12-26,221739
2015-12-27,221739
2015-12-28,218498
2015-12-29,215399
2015-12-30,215399
2015-12-31,210393
2016-01-01,210393
2016-01-02,206723
2016-01-03,206248
2016-01-04,206248
2016-01-05,204232
2016-01-06,204232
2016-01-07,204549
2016-01-08,204549
2016-01-09,200768
2016-01-10,200768
2016-01-11,200834
2016-01-12,201846
2016-01-13,201846
2016-01-14,201643
2016-01-15,201643
2016-01-16,199709
2016-01-17,199709
2016-01-18,196367
2016-01-19,196367
2016-01-20,195780
2016-01-21,195780
2016-01-22,195645
2016-01-23,195645
2016-01-24,193713
2016-01-25,193713
2016-01-26,191423
2016-01-27,194072
2016-01-28,194072
2016-01-29,198089
2016-01-30,198089
2016-01-31,201284
2016-02-01,201284
2016-02-02,204463
2016-02-03,204463
2016-02-04,211183
2016-02-05,211183
2016-02-06,210508
2016-02-07,210508
2016-02-08,210325
2016-02-09,210325
2016-02-10,208087
2016-02-11,208087
2016-02-12,208489
2016-02-13,208612
2016-02-14,208612
2016-02-15,204784
2016-02-16,204784
2016-02-17,200843
2016-02-18,200843
2016-02-19,197632
2016-02-20,197632
2016-02-21,198270
2016-02-22,198270
2016-02-23,196850
2016-02-24,196850
2016-02-25,199263
2016-02-26,199263
2016-02-27,203023
2016-02-28,203023
2016-02-29,202459
2016-03-01,200822
2016-03-02,200822
2016-03-03,203803
2016-03-04,203803
2016-03-05,205163
2016-03-06,208917
2016-03-07,208917
2016-03-08,212904
2016-03-09,212904
2016-03-10,215831
2016-03-11,215831
2016-03-12,216445
2016-03-13,216445
2016-03-14,218133
2016-03-15,218133
2016-03-16,221358
