date_obj,Anchovies price
2015-03-26,88
2015-03-27,88
2015-03-28,83
2015-03-29,83
2015-03-30,78
2015-03-31,78
2015-04-01,74
2015-04-02,74
2015-04-03,70
2015-04-04,70
2015-04-05,66
2015-04-06,66
2015-04-07,62
2015-04-08,62
2015-04-09,62
2015-04-10,58
2015-04-11,58
2015-04-12,55
2015-04-13,55
2015-04-14,55
2015-04-15,52
2015-04-16,52
2015-04-17,49
2015-04-18,49
2015-04-19,47
2015-04-20,47
2015-04-21,47
2015-04-22,46
2015-04-23,46
2015-04-24,44
2015-04-25,44
2015-04-26,44
2015-04-27,44
2015-04-28,44
2015-04-29,44
2015-04-30,44
2015-05-01,44
2015-05-02,45
2015-05-03,45
2015-05-04,45
2015-05-05,44
2015-05-06,44
2015-05-07,44
2015-05-08,43
2015-05-09,43
2015-05-10,43
2015-05-11,43
2015-05-12,43
2015-05-13,43
2015-05-14,42
2015-05-15,42
2015-05-16,42
2015-05-17,43
2015-05-18,43
2015-05-19,43
2015-05-20,43
2015-05-21,44
2015-05-22,44
2015-05-23,44
2015-05-24,46
2015-05-25,46
2015-05-26,46
2015-05-27,49
2015-05-28,49
2015-05-29,52
2015-05-30,52
2015-05-31,55
2015-06-01,55
2015-06-02,56
2015-06-03,56
2015-06-04,56
2015-06-05,59
2015-06-06,59
2015-06-07,62
2015-06-08,62
2015-06-09,62
2015-06-10,66
2015-06-11,66
2015-06-12,66
2015-06-13,69
2015-06-14,69
2015-06-15,69
2015-06-16,73
2015-06-17,73
2015-06-18,76
2015-06-19,76
2015-06-20,80
2015-06-21,80
2015-06-22,80
2015-06-23,84
2015-06-24,84
2015-06-25,84
2015-06-26,89
2015-06-27,89
2015-06-28,89
2015-06-29,94
2015-06-30,94
2015-07-01,99
2015-07-02,99
2015-07-03,99
2015-07-04,104
2015-07-05,104
2015-07-06,104
2015-07-07,110
2015-07-08,110
2015-07-09,116
2015-07-10,116
2015-07-11,122
2015-07-12,122
2015-07-13,125
2015-07-14,125
2015-07-15,127
2015-07-16,127
2015-07-17,128
2015-07-18,128
2015-07-19,128
2015-07-20,124
2015-07-21,124
2015-07-22,119
2015-07-23,119
2015-07-24,116
2015-07-25,116
2015-07-26,116
2015-07-27,113
2015-07-28,113
2015-07-29,110
2015-07-30,110
2015-07-31,110
2015-08-01,105
2015-08-02,105
2015-08-03,99
2015-08-04,99
2015-08-05,94
2015-08-06,94
2015-08-07,93
2015-08-08,93
2015-08-09,92
2015-08-10,92
2015-08-11,91
2015-08-12,91
2015-08-13,91
2015-08-14,92
2015-08-15,92
2015-08-16,92
2015-08-17,96
2015-08-18,96
2015-08-19,99
2015-08-20,99
2015-08-21,103
2015-08-22,103
2015-08-23,103
2015-08-24,108
2015-08-25,108
2015-08-26,108
2015-08-27,109
2015-08-28,109
2015-08-29,109
2015-08-30,107
2015-08-31,107
2015-09-01,109
2015-09-02,109
2015-09-03,109
2015-09-04,110
2015-09-05,110
2015-09-06,110
2015-09-07,110
2015-09-08,110
2015-09-09,107
2015-09-10,107
2015-09-11,102
2015-09-12,102
2015-09-13,102
2015-09-14,99
2015-09-15,99
2015-09-16,99
2015-09-17,99
2015-09-18,99
2015-09-19,99
2015-09-20,98
2015-09-21,98
2015-09-22,98
2015-09-23,97
2015-09-24,97
2015-09-25,97
2015-09-27,96
2015-09-28,93
2015-09-29,93
2015-09-30,94
2015-10-05,98
2015-10-06,102
2015-10-07,102
2015-10-08,102
2015-10-09,106
2015-10-10,106
2015-10-11,106
2015-10-12,111
2015-10-13,111
2015-10-14,111
