date_obj,Bandos%20full%20helm price
2015-03-26,27371
2015-03-27,27371
2015-03-28,27355
2015-03-29,26483
2015-03-30,25780
2015-03-31,25136
2015-04-01,25136
2015-04-02,24640
2015-04-03,24755
2015-04-04,24786
2015-04-05,24131
2015-04-06,23341
2015-04-07,22233
2015-04-08,22233
2015-04-09,21749
2015-04-10,21450
2015-04-11,21393
2015-04-12,21144
2015-04-13,21080
2015-04-14,21080
2015-04-15,21333
2015-04-16,21333
2015-04-17,21538
2015-04-18,21428
2015-04-19,21339
2015-04-20,21339
2015-04-21,21229
2015-04-22,21429
2015-04-23,21806
2015-04-24,21806
2015-04-25,21913
2015-04-26,22060
2015-04-27,21941
2015-04-28,21771
2015-04-29,21771
2015-04-30,21622
2015-05-01,21828
2015-05-02,22240
2015-05-03,22240
2015-05-04,22427
2015-05-05,22023
2015-05-06,22281
2015-05-07,22860
2015-05-08,23036
2015-05-09,23098
2015-05-10,23305
2015-05-11,23305
2015-05-12,23076
2015-05-13,22840
2015-05-14,22107
2015-05-15,22107
2015-05-16,21651
2015-05-17,21283
2015-05-18,20842
2015-05-19,20842
2015-05-20,20602
2015-05-21,20602
2015-05-22,20513
2015-05-23,20513
2015-05-24,20813
2015-05-25,20852
2015-05-26,21238
2015-05-27,21228
2015-05-28,21185
2015-05-29,21375
2015-05-30,21018
2015-05-31,21018
2015-06-01,20869
2015-06-02,20869
2015-06-03,20735
2015-06-04,21201
2015-06-05,21037
2015-06-06,21248
2015-06-07,21220
2015-06-08,21220
2015-06-09,21250
2015-06-10,21163
2015-06-11,21163
2015-06-12,21183
2015-06-13,21235
2015-06-14,21557
2015-06-15,21512
2015-06-16,20930
2015-06-17,21270
2015-06-18,21487
2015-06-19,21856
2015-06-20,21886
2015-06-21,21886
2015-06-22,21649
2015-06-23,21743
2015-06-24,21673
2015-06-25,21673
2015-06-26,21473
2015-06-27,21473
2015-06-28,21484
2015-06-29,21484
2015-06-30,21838
2015-07-01,22379
2015-07-02,22379
2015-07-03,22902
2015-07-04,22902
2015-07-05,23791
2015-07-06,23791
2015-07-07,23711
2015-07-08,23358
2015-07-09,23358
2015-07-10,23540
2015-07-11,23540
2015-07-12,23209
2015-07-13,22637
2015-07-14,22215
2015-07-15,21838
2015-07-16,21838
2015-07-17,21483
