date_obj,Dragonstone price
2015-03-26,20169
2015-03-27,20169
2015-03-28,20169
2015-03-29,20063
2015-03-30,20063
2015-03-31,19834
2015-04-01,19834
2015-04-02,19326
2015-04-03,19326
2015-04-04,19284
2015-04-05,19284
2015-04-06,19090
2015-04-07,19090
2015-04-08,18393
2015-04-09,18393
2015-04-10,17904
2015-04-11,17904
2015-04-12,17298
2015-04-13,17298
2015-04-14,16965
2015-04-15,16965
2015-04-16,16616
2015-04-17,16616
2015-04-18,16604
2015-04-19,16604
2015-04-20,16878
2015-04-21,16878
2015-04-22,16878
2015-04-23,16947
2015-04-24,16947
2015-04-25,16684
2015-04-26,16684
2015-04-27,16238
2015-04-28,16939
2015-04-29,16939
2015-04-30,17786
2015-05-01,17786
2015-05-02,18665
2015-05-03,18665
2015-05-04,19493
2015-05-05,19493
2015-05-06,20468
2015-05-07,20468
2015-05-08,21480
2015-05-09,21480
2015-05-10,20994
2015-05-11,20994
2015-05-12,20696
2015-05-13,20696
2015-05-14,21402
2015-05-15,21402
2015-05-16,21402
2015-05-17,20878
2015-05-18,20878
2015-05-19,20581
2015-05-20,20581
2015-05-21,20581
2015-05-22,20061
2015-05-23,20061
2015-05-24,19421
2015-05-25,19421
2015-05-26,19527
2015-05-27,19527
2015-05-28,19988
2015-05-29,19988
2015-05-30,20396
2015-05-31,20396
2015-06-01,21029
2015-06-02,21029
2015-06-03,21029
2015-06-04,20978
2015-06-05,20978
2015-06-06,20831
2015-06-07,20831
2015-06-08,20423
2015-06-09,20423
2015-06-10,20527
2015-06-11,20527
2015-06-12,20317
2015-06-13,20317
2015-06-14,20195
2015-06-15,20195
2015-06-16,20546
2015-06-17,20546
2015-06-18,20455
2015-06-19,20455
2015-06-20,20430
2015-06-21,20430
2015-06-22,20203
2015-06-23,20203
2015-06-24,20450
2015-06-25,20450
2015-06-26,20419
2015-06-27,20419
2015-06-28,20288
2015-06-29,20288
2015-06-30,20408
2015-07-01,20408
2015-07-02,20760
2015-07-03,20872
2015-07-04,20872
2015-07-05,20783
2015-07-06,20783
2015-07-07,20888
2015-07-08,20888
2015-07-09,21229
2015-07-10,21229
2015-07-11,21233
2015-07-12,21233
2015-07-13,21930
2015-07-14,21930
2015-07-15,21787
2015-07-16,21787
2015-07-17,21659
2015-07-18,21659
2015-07-19,22063
2015-07-20,22063
2015-07-21,22087
2015-07-22,22035
2015-07-23,22035
2015-07-24,22147
2015-07-25,22147
2015-07-26,22813
2015-07-27,22813
2015-07-28,23671
2015-07-29,24111
2015-07-30,24111
2015-07-31,24498
2015-08-01,24498
2015-08-02,24616
2015-08-03,24616
2015-08-04,25319
2015-08-05,25364
2015-08-06,25364
2015-08-07,25596
2015-08-08,25596
2015-08-09,25484
2015-08-10,25484
2015-08-11,25529
2015-08-12,25529
2015-08-13,25529
2015-08-14,25352
2015-08-15,25352
2015-08-16,25352
2015-08-17,25453
2015-08-18,25453
2015-08-19,25705
2015-08-20,25705
2015-08-21,25705
