date_obj,Magic%20logs price
2015-03-26,1174
2015-03-27,1173
2015-03-28,1177
2015-03-29,1178
2015-03-30,1151
2015-03-31,1163
2015-04-01,1174
2015-04-02,1185
2015-04-03,1197
2015-04-04,1211
2015-04-05,1217
2015-04-06,1219
2015-04-07,1233
2015-04-08,1241
2015-04-09,1229
2015-04-10,1214
2015-04-11,1196
2015-04-12,1190
2015-04-13,1189
2015-04-14,1191
2015-04-15,1190
2015-04-16,1187
2015-04-17,1188
2015-04-18,1193
2015-04-19,1186
2015-04-20,1187
2015-04-21,1188
2015-04-22,1194
2015-04-23,1205
2015-04-24,1211
2015-04-25,1230
2015-04-26,1228
2015-04-27,1221
2015-04-28,1219
2015-04-29,1207
2015-04-30,1202
2015-05-01,1174
2015-05-02,1154
2015-05-03,1152
2015-05-04,1142
2015-05-05,1142
2015-05-06,1167
2015-05-07,1171
2015-05-08,1176
2015-05-09,1178
2015-05-10,1175
2015-05-11,1174
2015-05-12,1170
2015-05-13,1166
2015-05-14,1165
2015-05-15,1165
2015-05-16,1167
2015-05-17,1164
2015-05-18,1166
2015-05-19,1166
2015-05-20,1167
2015-05-21,1176
2015-05-22,1170
2015-05-23,1167
2015-05-24,1150
2015-05-25,1143
2015-05-26,1157
2015-05-27,1159
2015-05-28,1163
2015-05-29,1163
2015-05-30,1150
2015-05-31,1138
2015-06-01,1133
2015-06-02,1149
2015-06-03,1149
2015-06-04,1158
2015-06-05,1158
2015-06-06,1150
2015-06-07,1126
2015-06-08,1115
2015-06-09,1091
2015-06-10,1071
2015-06-11,1079
2015-06-12,1087
2015-06-13,1073
2015-06-14,1071
2015-06-15,1061
2015-06-16,1067
2015-06-17,1079
2015-06-18,1102
2015-06-19,1106
2015-06-20,1088
2015-06-21,1096
2015-06-22,1094
2015-06-23,1101
2015-06-24,1112
2015-06-25,1122
2015-06-26,1118
2015-06-27,1124
2015-06-28,1121
2015-06-29,1114
2015-06-30,1116
2015-07-01,1121
2015-07-02,1124
2015-07-03,1126
2015-07-04,1121
2015-07-05,1120
2015-07-06,1123
2015-07-07,1122
2015-07-08,1126
2015-07-09,1134
2015-07-10,1130
2015-07-11,1119
2015-07-12,1116
2015-07-13,1110
2015-07-14,1103
2015-07-15,1100
2015-07-16,1102
2015-07-17,1098
2015-07-18,1094
2015-07-19,1083
2015-07-20,1056
2015-07-21,1096
2015-07-22,1105
2015-07-23,1140
2015-07-24,1115
2015-07-25,1102
2015-07-26,1100
2015-07-27,1100
2015-07-28,1125
2015-07-29,1134
2015-07-30,1126
2015-07-31,1134
2015-08-01,1117
2015-08-02,1124
2015-08-03,1120
2015-08-04,1151
2015-08-05,1160
2015-08-06,1171
2015-08-07,1166
2015-08-08,1158
2015-08-09,1131
2015-08-10,1115
2015-08-11,1120
2015-08-12,1127
2015-08-13,1129
2015-08-14,1131
2015-08-15,1119
2015-08-16,1114
2015-08-17,1105
2015-08-18,1138
2015-08-19,1161
2015-08-20,1189
2015-08-21,1172
2015-08-22,1170
2015-08-23,1165
2015-08-24,1148
2015-08-25,1185
2015-08-26,1211
2015-08-27,1206
2015-08-28,1191
2015-08-29,1167
2015-08-30,1129
