date_obj,Sandwich%20lady%20top price
2019-04-11,200000
2019-04-11,205599
2019-04-12,206686
2019-04-13,199235
2019-04-14,189429
2019-04-15,140000
2019-04-16,140000
2019-04-17,133000
2019-04-18,126350
2019-04-19,120032
2019-04-20,114030
2019-04-21,108328
2019-04-22,102911
2019-04-23,97765
2019-04-24,92876
2019-04-25,88232
2019-04-26,83820
2019-04-27,79629
2019-04-28,75647
2019-04-29,71864
2019-04-30,68270
2019-05-01,64856
2019-05-02,61613
2019-05-03,58532
2019-05-04,55605
2019-05-05,52824
2019-05-06,50182
2019-05-07,47672
2019-05-08,45288
2019-05-09,43184
2019-05-10,41024
2019-05-11,39238
2019-05-12,37276
2019-05-13,35493
2019-05-14,33718
2019-05-15,32245
2019-05-16,30994
2019-05-17,29735
2019-05-18,28312
2019-05-19,27088
2019-05-20,25955
2019-05-21,24811
2019-05-22,23820
2019-05-23,22695
2019-05-24,21767
2019-05-25,20725
2019-05-26,19826
2019-05-27,18842
2019-05-28,18141
2019-05-29,17766
2019-05-30,17734
2019-05-31,17725
2019-06-01,17355
2019-06-02,16973
2019-06-03,16947
2019-06-04,16792
2019-06-05,17240
2019-06-06,18073
2019-06-07,18524
2019-06-08,18254
2019-06-09,17961
2019-06-10,17961
2019-06-11,17597
2019-06-12,17597
2019-06-13,17245
2019-06-14,16479
2019-06-15,16479
2019-06-16,16360
2019-06-17,16869
2019-06-18,16869
2019-06-19,16501
2019-06-20,16078
2019-06-21,16078
2019-06-22,15324
2019-06-23,14711
2019-06-24,14711
2019-06-25,13975
2019-06-26,13975
2019-06-27,13521
2019-06-28,13521
2019-06-29,13216
2019-06-30,13328
2019-07-01,13328
2019-07-02,13533
2019-07-03,13993
2019-07-04,13993
2019-07-05,14693
2019-07-06,14693
2019-07-07,15416
2019-07-08,15837
2019-07-09,16110
2019-07-10,16194
2019-07-11,16194
2019-07-12,16217
2019-07-13,16217
2019-07-14,16157
2019-07-15,16157
2019-07-16,16676
2019-07-17,16745
2019-07-18,16745
2019-07-19,16980
2019-07-20,16980
2019-07-21,17052
2019-07-22,17081
2019-07-23,17081
2019-07-24,17398
2019-07-25,17398
2019-07-26,17917
2019-07-27,17780
2019-07-28,17780
2019-07-29,17111
2019-07-30,16530
2019-07-31,16530
2019-08-01,16262
2019-08-02,16262
2019-08-03,15899
2019-08-04,15899
2019-08-05,15636
2019-08-06,15636
2019-08-07,15281
2019-08-08,15281
2019-08-09,15253
2019-08-10,14917
2019-08-11,14917
2019-08-12,14245
2019-08-13,14245
2019-08-14,13917
2019-08-15,13566
2019-08-16,13216
2019-08-17,13216
2019-08-18,12823
2019-08-19,12441
2019-08-20,12441
2019-08-21,12053
2019-08-22,11734
2019-08-23,11734
2019-08-24,11407
2019-08-24,11407
2019-08-25,11407
2019-08-25,11407
2019-08-26,11120
2019-08-26,11120
2019-08-27,11120
2019-08-27,11120
2019-08-28,11155
2019-08-29,11155
2019-08-30,10860
2019-08-31,10860
2019-09-01,10723
2019-09-02,10723
2019-09-03,10442
2019-09-04,10442
2019-09-05,10227
2019-09-06,10227
2019-09-07,10196
2019-09-08,10343
2019-09-09,10343
2019-09-10,10616
2019-09-11,10955
2019-09-12,10955
2019-09-13,11445
2019-09-14,11445
2019-09-15,11752
2019-09-16,11960
2019-09-17,11960
