date_obj,Iron%20full%20helm%20(t) price
2015-03-26,124608
2015-03-27,124608
2015-03-28,124202
2015-03-29,120881
2015-03-30,118506
2015-03-31,118506
2015-04-01,115523
2015-04-02,115488
2015-04-03,111747
2015-04-04,107856
2015-04-05,105622
2015-04-06,105573
2015-04-07,108453
2015-04-08,108453
2015-04-09,107937
2015-04-10,104400
2015-04-11,102507
2015-04-12,103215
2015-04-13,103302
2015-04-14,103302
2015-04-15,104467
2015-04-16,106325
2015-04-17,108701
2015-04-18,113071
2015-04-19,117254
2015-04-20,117254
2015-04-21,121242
2015-04-22,121242
2015-04-23,125188
2015-04-24,125188
2015-04-25,125353
2015-04-26,125353
2015-04-27,122540
2015-04-28,117626
2015-04-29,117626
2015-04-30,113291
2015-05-01,108361
2015-05-02,104469
2015-05-03,104469
2015-05-04,100216
2015-05-05,95431
2015-05-06,94575
2015-05-07,92308
2015-05-08,89885
2015-05-09,89579
2015-05-10,88926
2015-05-11,88926
2015-05-12,87292
2015-05-13,87292
2015-05-14,85285
2015-05-15,84370
2015-05-16,84370
2015-05-17,82750
2015-05-18,82019
2015-05-19,82019
2015-05-20,79772
2015-05-21,79772
2015-05-22,78963
2015-05-23,78339
2015-05-24,79854
2015-05-25,78975
2015-05-26,78503
2015-05-27,78503
2015-05-28,77282
2015-05-29,77282
2015-05-30,77017
2015-05-31,77017
2015-06-01,77403
2015-06-02,77403
2015-06-03,78449
2015-06-04,78449
2015-06-05,78383
2015-06-06,80733
2015-06-07,83250
2015-06-08,83250
2015-06-09,84886
2015-06-10,87006
2015-06-11,87006
2015-06-12,88659
2015-06-13,89979
2015-06-14,92368
2015-06-15,92368
2015-06-16,96311
2015-06-17,96311
2015-06-18,101127
2015-06-19,101127
2015-06-20,105224
2015-06-21,105224
2015-06-22,108551
2015-06-23,108551
2015-06-24,109222
2015-06-25,109222
2015-06-26,108991
2015-06-27,108991
2015-06-28,107344
2015-06-29,107344
2015-06-30,107344
2015-07-01,107344
2015-07-02,103133
2015-07-03,100653
2015-07-04,100653
2015-07-05,97410
2015-07-06,97410
2015-07-07,95314
2015-07-08,95408
2015-07-09,95408
2015-07-10,95181
2015-07-11,95181
2015-07-12,94507
2015-07-13,95219
2015-07-14,96134
2015-07-15,98260
2015-07-16,98260
2015-07-17,100990
2015-07-18,100990
2015-07-19,105552
2015-07-20,109065
2015-07-21,109065
2015-07-22,113354
2015-07-23,113354
2015-07-24,115884
2015-07-25,115884
2015-07-26,120570
2015-07-27,123891
2015-07-28,126261
2015-07-29,127537
2015-07-30,127537
2015-07-31,129398
2015-08-01,129398
2015-08-02,130560
2015-08-03,130560
2015-08-04,132491
2015-08-05,130566
2015-08-06,130566
2015-08-07,129741
2015-08-08,129745
2015-08-09,127537
2015-08-10,127824
2015-08-11,125265
2015-08-12,125265
2015-08-13,124363
2015-08-14,124713
2015-08-15,124713
2015-08-16,126157
2015-08-17,124680
2015-08-18,124680
2015-08-19,124138
2015-08-20,124138
2015-08-21,123088
2015-08-22,121393
2015-08-23,121393
2015-08-24,121155
2015-08-25,121155
2015-08-26,120284
2015-08-27,119188
2015-08-28,119188
2015-08-29,118964
2015-08-30,118964
2015-08-31,121365
2015-09-01,125071
2015-09-02,125071
2015-09-03,128292
2015-09-04,131080
2015-09-05,131080
2015-09-06,131120
2015-09-07,128770
2015-09-08,132379
2015-09-09,132379
2015-09-10,135833
