date_obj,Teal%20robe%20bottoms price
2015-03-04,8400
2015-03-05,8400
2015-03-06,8400
2015-03-07,8400
2015-03-08,8400
2015-03-09,8400
2015-03-10,8400
2015-03-11,8400
2015-03-12,8400
2015-03-13,8400
2015-03-14,8400
2015-03-15,8400
2015-03-16,8400
2015-03-17,8400
2015-03-18,8400
2015-03-19,8400
2015-03-20,8400
2015-03-21,8400
2015-03-22,8400
2015-03-23,8400
2015-03-24,8400
2015-03-25,8400
2015-03-26,8400
2015-03-27,8400
2015-03-28,8400
2015-03-29,8400
2015-03-30,8400
2015-03-31,8400
2015-04-01,8400
2015-04-02,8185
2015-04-03,8185
2015-04-04,8185
2015-04-05,8185
2015-04-06,8185
2015-04-07,8185
2015-04-08,8185
2015-04-09,8185
2015-04-10,8185
2015-04-11,8185
2015-04-12,8185
2015-04-13,8185
2015-04-14,8185
2015-04-15,8185
2015-04-16,8185
2015-04-17,8185
2015-04-18,8185
2015-04-19,8185
2015-04-20,8185
2015-04-21,8185
2015-04-22,8185
2015-04-23,8185
2015-04-24,8185
2015-04-25,8185
2015-04-26,8185
2015-04-27,8185
2015-04-28,8185
2015-04-29,8185
2015-04-30,8185
2015-05-01,8185
2015-05-02,8185
2015-05-03,8185
2015-05-04,8185
2015-05-05,8185
2015-05-06,8185
2015-05-07,8185
2015-05-08,8185
2015-05-09,8185
2015-05-10,7822
2015-05-11,7822
2015-05-12,7822
2015-05-13,7822
2015-05-14,7822
2015-05-15,7822
2015-05-16,7822
2015-05-17,7822
2015-05-18,7822
2015-05-19,7822
2015-05-20,7822
2015-05-21,7822
2015-05-22,7822
2015-05-23,7822
2015-05-24,7822
2015-05-25,7822
2015-05-26,7822
2015-05-27,7822
2015-05-28,7822
2015-05-29,7822
2015-05-30,7822
2015-05-31,7822
2015-06-01,7822
2015-06-02,7822
2015-06-03,7822
2015-06-04,7822
2015-06-05,7822
2015-06-06,7822
2015-06-07,7440
2015-06-08,7440
2015-06-09,7440
2015-06-10,7440
2015-06-11,7440
2015-06-12,7440
2015-06-13,7440
2015-06-14,7440
2015-06-15,7440
2015-06-16,7440
2015-06-17,7440
2015-06-18,7440
2015-06-19,7440
2015-06-20,7440
2015-06-21,7440
2015-06-22,7440
2015-06-23,7440
2015-06-24,7440
2015-06-25,7440
2015-06-26,7440
2015-06-27,7440
2015-06-28,7440
2015-06-29,7440
2015-06-30,7440
2015-07-01,7440
2015-07-02,7440
2015-07-03,7440
2015-07-04,7440
2015-07-05,7440
2015-07-06,7440
2015-07-07,7440
2015-07-08,7081
2015-07-09,7081
2015-07-10,7081
2015-07-11,7081
2015-07-12,7081
2015-07-13,7081
2015-07-14,7081
2015-07-15,7081
2015-07-16,7081
2015-07-17,7081
2015-07-18,7081
2015-07-19,7081
2015-07-20,7081
2015-07-21,7081
2015-07-22,7081
2015-07-23,7081
2015-07-24,7081
2015-07-25,7081
2015-07-26,7081
2015-07-27,7081
2015-07-28,7081
2015-07-29,7081
2015-07-30,7081
2015-07-31,7081
2015-08-01,7081
2015-08-02,7081
2015-08-03,6780
2015-08-04,6780
2015-08-05,6780
2015-08-06,6780
2015-08-07,6780
2015-08-08,6780
2015-08-09,6780
2015-08-10,6780
2015-08-11,6780
2015-08-12,6780
2015-08-13,6780
2015-08-14,6780
2015-08-15,6780
2015-08-16,6780
2015-08-17,6780
2015-08-18,6780
2015-08-19,6780
2015-08-20,6780
2015-08-21,6780
2015-08-22,6780
2015-08-23,6780
2015-08-24,6780
2015-08-25,6780
2015-08-26,6780
2015-08-27,6448
2015-08-28,6448
2015-08-29,6448
2015-08-30,6448
2015-08-31,6448
2015-09-02,6448
2015-09-07,6448
2015-09-08,6448
2015-09-10,6448
2015-09-14,6448
2015-09-16,6448
2015-09-22,6448
2015-09-23,6448
2015-09-24,6448
2015-09-25,6448
2015-09-27,6134
2015-09-28,6134
2015-09-29,6134
2015-09-30,6134
2015-10-05,6134
2015-10-06,6134
2015-10-07,6134
2015-10-08,6134
2015-10-09,6134
