date_obj,Feldip%20hills%20teleport price
2015-03-26,1389
2015-03-27,1389
2015-03-28,1389
2015-03-29,1324
2015-03-30,1324
2015-03-31,1261
2015-04-01,1261
2015-04-02,1202
2015-04-03,1202
2015-04-04,1141
2015-04-05,1141
2015-04-06,1085
2015-04-07,1085
2015-04-08,1034
2015-04-09,1034
2015-04-10,984
2015-04-11,984
2015-04-12,937
2015-04-13,937
2015-04-14,892
2015-04-15,892
2015-04-16,851
2015-04-17,851
2015-04-18,811
2015-04-19,811
2015-04-20,811
2015-04-21,772
2015-04-22,772
2015-04-23,736
2015-04-24,736
2015-04-25,736
2015-04-26,703
2015-04-27,703
2015-04-28,669
2015-04-29,669
2015-04-30,638
2015-05-01,638
2015-05-02,606
2015-05-03,606
2015-05-04,581
2015-05-05,581
2015-05-06,554
2015-05-07,554
2015-05-08,560
2015-05-09,560
2015-05-10,564
2015-05-11,564
2015-05-12,564
2015-05-13,539
2015-05-14,539
2015-05-15,514
2015-05-16,514
2015-05-17,524
2015-05-18,524
2015-05-19,524
2015-05-20,550
2015-05-21,550
2015-05-22,560
2015-05-23,560
2015-05-24,560
2015-05-25,545
2015-05-26,545
2015-05-27,545
2015-05-28,531
2015-05-29,531
2015-05-30,531
2015-05-31,531
2015-06-01,531
2015-06-02,531
2015-06-03,531
2015-06-04,529
2015-06-05,529
2015-06-06,549
2015-06-07,549
2015-06-08,567
2015-06-09,567
2015-06-10,560
2015-06-11,560
2015-06-12,560
2015-06-13,559
2015-06-14,559
2015-06-15,564
2015-06-16,564
2015-06-17,551
2015-06-18,551
2015-06-19,544
2015-06-20,544
2015-06-21,530
2015-06-22,530
2015-06-23,518
2015-06-24,518
2015-06-25,508
2015-06-26,508
2015-06-27,510
2015-06-28,510
2015-06-29,500
2015-06-30,500
2015-07-01,499
2015-07-02,499
2015-07-03,521
2015-07-04,521
2015-07-05,539
2015-07-06,539
2015-07-07,559
2015-07-08,559
2015-07-09,578
2015-07-10,578
2015-07-11,586
2015-07-12,586
2015-07-13,584
2015-07-14,584
2015-07-15,574
2015-07-16,574
2015-07-17,569
2015-07-18,569
2015-07-19,564
2015-07-20,564
2015-07-21,569
2015-07-22,573
2015-07-23,573
2015-07-24,591
2015-07-25,591
2015-07-26,601
2015-07-27,601
2015-07-28,605
2015-07-29,605
2015-07-30,604
2015-07-31,604
2015-08-01,609
2015-08-02,638
2015-08-03,638
2015-08-04,649
2015-08-05,649
2015-08-06,652
2015-08-07,652
2015-08-08,668
2015-08-09,668
2015-08-10,676
2015-08-11,676
2015-08-12,701
2015-08-13,701
2015-08-14,713
2015-08-15,713
2015-08-16,740
2015-08-17,740
2015-08-18,766
2015-08-19,766
2015-08-20,792
2015-08-21,792
2015-08-22,827
2015-08-23,827
2015-08-24,867
2015-08-25,867
2015-08-26,867
2015-08-27,874
2015-08-28,874
2015-08-29,846
2015-08-30,846
2015-08-31,848
2015-09-01,848
2015-09-02,848
2015-09-03,875
2015-09-04,918
2015-09-05,918
2015-09-06,963
2015-09-07,963
2015-09-08,990
2015-09-09,990
2015-09-10,1015
2015-09-11,1015
2015-09-12,1054
2015-09-13,1054
2015-09-14,1030
2015-09-15,1030
2015-09-16,1001
2015-09-17,1001
2015-09-18,984
2015-09-19,984
2015-09-20,994
2015-09-21,994
2015-09-22,977
2015-09-23,977
2015-09-24,977
2015-09-25,998
2015-09-27,982
2015-09-28,982
2015-09-29,955
2015-09-30,955
2015-10-05,898
2015-10-06,898
2015-10-07,865
2015-10-08,865
2015-10-09,834
2015-10-10,834
2015-10-11,806
2015-10-12,806
2015-10-13,786
2015-10-14,786
2015-10-15,809
2015-10-16,809
2015-10-17,809
2015-10-18,850
2015-10-19,850
2015-10-20,874
2015-10-22,874
2015-10-23,890
2015-10-24,890
2015-10-25,871
2015-10-26,871
2015-10-27,871
2015-10-29,896
2015-10-30,888
2015-10-31,888
2015-11-01,888
2015-11-02,878
2015-11-03,878
2015-11-04,878
2015-11-05,915
2015-11-06,915
2015-11-07,961
2015-11-08,961
2015-11-09,961
2015-11-10,1001
2015-11-11,1001
2015-11-12,1007
2015-11-13,1007
2015-11-14,1007
2015-11-15,1016
2015-11-16,1016
2015-11-17,1003
2015-11-18,1003
2015-11-19,1003
2015-11-20,1003
2015-11-21,1003
2015-11-22,994
2015-11-23,994
2015-11-24,994
2015-11-25,994
2015-11-26,994
2015-11-27,994
2015-11-28,949
2015-11-29,949
2015-11-30,908
2015-12-01,908
2015-12-02,867
2015-12-03,867
2015-12-04,827
2015-12-05,827
2015-12-06,790
2015-12-07,790
2015-12-08,794
2015-12-09,794
2015-12-10,792
2015-12-11,792
2015-12-12,781
2015-12-13,781
2015-12-14,754
2015-12-15,738
2015-12-16,738
2015-12-17,733
2015-12-18,733
2015-12-19,708
2015-12-20,689
2015-12-21,689
2015-12-22,698
2015-12-23,698
2015-12-24,708
2015-12-25,708
2015-12-26,710
2015-12-27,715
2015-12-28,715
2015-12-29,724
2015-12-30,724
2015-12-31,754
2016-01-01,754
2016-01-02,792
2016-01-03,832
2016-01-04,874
2016-01-05,874
2016-01-06,918
2016-01-07,918
2016-01-08,946
2016-01-09,946
2016-01-10,970
2016-01-11,970
2016-01-12,998
2016-01-13,998
2016-01-14,1017
2016-01-15,1017
2016-01-16,997
2016-01-17,997
2016-01-18,953
2016-01-19,953
2016-01-20,910
2016-01-21,910
2016-01-22,864
2016-01-23,864
2016-01-24,820
2016-01-25,783
2016-01-26,783
2016-01-27,766
2016-01-28,766
2016-01-29,750
2016-01-30,750
2016-01-31,765
2016-02-01,775
2016-02-02,775
2016-02-03,810
2016-02-04,810
2016-02-05,840
2016-02-06,853
2016-02-07,853
2016-02-08,869
2016-02-09,869
2016-02-10,874
2016-02-11,874
2016-02-12,866
2016-02-13,872
2016-02-14,872
2016-02-15,885
2016-02-16,885
2016-02-17,906
2016-02-18,906
2016-02-19,952
2016-02-20,1000
2016-02-21,1039
2016-02-22,1039
2016-02-23,1091
